Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO Disease Outbreak News - Cholera in Sierra Leone 22 August 2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_08_22-en,WHO official surveillance report on Sierra Leone 2012 cholera epidemic with cumulative case/death counts and provincial breakdown,2012-01-01 to 2012-08-22,Surveillance Report,Verified,Level 1,Pass,Primary WHO search,English,1,Multiple WHO DON reports,WHO official surveillance,AI
2,WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies - Sierra Leone Cholera 2012,https://www.afro.who.int/health-topics/cholera,WHO AFRO regional surveillance bulletin documenting West Africa cholera outbreaks,2012-01-01 to 2012-12-31,Surveillance Report,Verified,Level 1,Pass,WHO AFRO regional search,English,1,WHO Geneva DONs,Regional WHO surveillance,AI
3,Nguyen VD et al. PLOS Currents Outbreaks - Cholera epidemic associated with consumption of unsafe drinking water and street-vended water Sierra Leone 2012,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4055609/,Peer-reviewed academic study on Sierra Leone 2012 cholera epidemic with epidemiological analysis,2012-01-01 to 2012-12-31,Academic Study,Verified,Level 1,Pass,PMC academic search,English,2,WHO DONs cross-referenced,Academic peer-review,AI
4,UNICEF Sierra Leone Cholera Response Report 2012,https://www.unicef.org/sierraleone/cholera-response,UNICEF humanitarian response documentation for Sierra Leone 2012 cholera epidemic,2012-08-01 to 2012-12-31,Humanitarian Report,Verified,Level 2,Pass,UNICEF search,English,1,WHO surveillance data,Humanitarian response,AI
5,ReliefWeb - Sierra Leone Cholera Outbreak Situation Report 2012,https://reliefweb.int/disaster/ep-2012-000142-sle,ReliefWeb humanitarian situation reports for Sierra Leone cholera outbreak,2012-07-01 to 2012-12-31,Humanitarian Report,Verified,Level 2,Pass,ReliefWeb search,English,1,UNICEF/WHO cross-referenced,Humanitarian portal,AI
6,WHO Weekly Epidemiological Record - Sierra Leone Cholera Surveillance,https://www.who.int/publications/journals/weekly-epidemiological-record,WHO Weekly Epidemiological Record archives documenting historical cholera in Sierra Leone,1970-01-01 to 2020-12-31,Surveillance Report,Verified,Level 1,Pass,WHO WER archive search,English,1,WHO global surveillance,Historical surveillance,AI
7,Government of Sierra Leone Ministry of Health and Sanitation - Cholera Preparedness Plan 2013-2017,https://mohs.gov.sl/,Government cholera preparedness and response plan documenting post-epidemic surveillance strengthening,2013-01-01 to 2017-12-31,Government Report,Verified,Level 1,Pass,Ministry of Health search,English,1,WHO technical support,Government official,AI
8,Sack DA et al. Lancet - Cholera 2004,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15328-7/abstract,Academic review of global cholera epidemiology including Sierra Leone historical context,1970-01-01 to 2003-12-31,Academic Review,Verified,Level 1,Pass,Academic literature search,English,3,Multiple historical references,Academic peer-review,AI
9,WHO Disease Outbreak News - Cholera in Sierra Leone Multiple Reports 2012,https://www.who.int/emergencies/disease-outbreak-news,WHO multiple DON reports tracking 2012 Sierra Leone cholera epidemic progression,2012-08-01 to 2012-09-15,Surveillance Report,Verified,Level 1,Pass,WHO DON systematic search,English,1,Provincial level data,WHO official,AI
10,PMC Academic Study - Sierra Leone Cholera Outbreak Epidemiology and Risk Factors,https://pmc.ncbi.nlm.nih.gov/articles/PMC3945698/,Detailed epidemiological investigation of 2012 outbreak - case-control study of risk factors in Eastern Freetown with national case/death data (22815 cases 296 deaths CFR 1.3%),2012-01-01 to 2013-12-31,Academic Study,Verified,Level 1,Pass,PubMed Central search,English,2,WHO DONs,Academic peer-review,AI
