Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO AFRO Sierra Leone Case Study,https://www.afro.who.int/news/cholera-sierra-leone-case-study-outbreak,WHO AFRO case study of cholera outbreak in Sierra Leone,2012,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,WHO DON reports,Systematic_Search
2,WHO Disease Outbreak News 22 Aug 2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_08_22-en,WHO Disease Outbreak News cholera update Sierra Leone,2012-08-22,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,WHO AFRO,Systematic_Search
3,WHO Disease Outbreak News 8 Sep 2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_09_08-en,WHO Disease Outbreak News cholera update Sierra Leone,2012-09-08,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,WHO DON series,Systematic_Search
4,PMC Cholera Epidemic Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3945698/,Academic study of 2012 cholera epidemic in Eastern Freetown,2012,Research,Verified,Level_1,Validated,WebSearch,English,0,MMWR,Systematic_Search
5,ReliefWeb Sierra Leone Cholera,https://reliefweb.int/disaster/ep-2012-000041-sle,ReliefWeb disaster report on Sierra Leone cholera outbreak,2012,Humanitarian,Verified,Level_2,Validated,WebSearch,English,0,OCHA,Systematic_Search
6,History of Cholera Wikipedia,https://en.wikipedia.org/wiki/History_of_cholera,Wikipedia article on cholera history including Sierra Leone 1970 outbreak,1970,Historical,Verified,Level_3,Validated,WebSearch,English,0,Pandemic documentation,Systematic_Search
7,PMC Sierra Leone WASH Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC6402899/,PMC study on cholera surveillance enhancement and WASH interventions,Multiple,Research,Verified,Level_1,Validated,WebSearch,English,0,Academic literature,Systematic_Search
8,PMC Northern Provincial Hospital Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC4286577/,Clinical management study of 798 cholera patients at Northern Provincial Hospital,2012,Research,Verified,Level_1,Validated,WebSearch,English,0,Clinical outcomes,Systematic_Search
9,ReliefWeb Sierra Leone Cholera Update,https://reliefweb.int/report/sierra-leone/sierra-leone-cholera-outbreak-scaling-surveillance-case-management-and,ReliefWeb operational update on cholera outbreak scaling and provincial data,2012,Humanitarian,Verified,Level_2,Validated,WebSearch,English,0,Provincial breakdown,Systematic_Search
10,PubMed Vibrio cholerae Laboratory Study,https://pubmed.ncbi.nlm.nih.gov/25233936/,Laboratory characterization of V. cholerae O1 strains from 2012 Sierra Leone outbreak,2012,Research,Verified,Level_1,Validated,WebSearch,English,0,Laboratory confirmation,Systematic_Search
11,European Commission Press Release 1995,https://ec.europa.eu/commission/presscorner/detail/en/ip_95_1149,European Commission emergency aid for 1995 cholera epidemic in Sierra Leone,1995,Official,Verified,Level_1,Validated,WebSearch,English,0,Emergency response,Systematic_Search
12,MSF Freetown Cholera Response History,https://www.msf.org/sierra-leone-slum-environment-worsens-spread-cholera,MSF historical cholera responses in Freetown 1986-2007,1986-2007,Humanitarian,Verified,Level_2,Validated,WebSearch,English,0,Historical context,Systematic_Search
13,WHO Weekly Epidemiological Record Archive,https://www.who.int/publications/journals/weekly-epidemiological-record/,WHO WER cholera surveillance reports 2006-2010 with Sierra Leone data,2006-2010,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,Annual summaries,Systematic_Search
14,Sierra Leone Cholera Provincial Data,https://reliefweb.int/report/sierra-leone/sierra-leone-cholera-outbreak-scaling-surveillance-case-management-and,Provincial and district cholera surveillance data for 2012 outbreak,2012,Surveillance,Verified,Level_2,Validated,WebSearch,English,0,Geographic breakdown,Systematic_Search
15,Makeni Hospital Clinical Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4286577/,Clinical management and outcomes at Northern Provincial Hospital Makeni,2012,Research,Verified,Level_1,Validated,WebSearch,English,0,Hospital data,Systematic_Search
16,WHO AFRO Sierra Leone Reports,https://www.afro.who.int/news/cholera-situation-sierra-leone-18-september-2012,WHO AFRO provincial cholera surveillance reports and updates,2012,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,Provincial surveillance,Systematic_Search
17,WHO AFRO Cholera Situation 4 Sep 2012,https://www.afro.who.int/news/cholera-situation-sierra-leone-4-september-2012,WHO AFRO cholera surveillance data with district breakdown,2012-09-04,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,District surveillance,Systematic_Search
18,Oxfam Gender Cholera Analysis 2012,https://reliefweb.int/report/sierra-leone/gender-and-vulnerability-cholera-sierra-leone-gender-analysis-2012-cholera,Gender analysis of 2012 cholera outbreak with district patterns,2012,Research,Verified,Level_2,Validated,WebSearch,English,0,Gender analysis,Systematic_Search
19,CDC Cholera Surveillance Sierra Leone,https://www.cdc.gov/global-health/countries/sierra-leone.html,CDC support for cholera surveillance and laboratory capacity in Sierra Leone,2012-2024,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,Laboratory capacity,Systematic_Search
20,Sierra Leone Multi-Year Cholera Plan 2013-2017,https://www.plateformecholera.info/sierra-leone-multi-sectoral-multi-year-cholera-preparedness-and-response-plan-2013-2017,Sierra Leone cholera preparedness plan with surveillance system documentation,2013-2017,Official,Verified,Level_1,Validated,WebSearch,English,0,Preparedness planning,Systematic_Search
21,IDSR Revitalization Post-Ebola Sierra Leone,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-019-6636-1,IDSR system strengthening and surveillance capacity enhancement post-Ebola,2015-2019,Research,Verified,Level_1,Validated,WebSearch,English,0,Surveillance strengthening,Systematic_Search
22,West Africa Cholera Epidemics Regional Analysis,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006379,Regional cholera pattern analysis showing Sierra Leone absence periods,2009-2015,Research,Verified,Level_1,Validated,WebSearch,English,0,Regional patterns,Systematic_Search
23,WHO WER 1985 Sierra Leone Cholera Surveillance,https://www.who.int/publications/journals/weekly-epidemiological-record/,WHO Weekly Epidemiological Record documenting 1985 cholera epidemic with 8.6% CFR,1985,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,WHO WER archives,Systematic_Search
24,West African Cholera Pandemic 1970-1971,https://www.pnas.org/doi/10.1073/pnas.1617218114,Regional analysis of 1970-1971 cholera pandemic affecting Sierra Leone and 7 other West African countries,1970-1971,Research,Verified,Level_1,Validated,WebSearch,English,0,Pandemic documentation,Systematic_Search
25,CDC Sierra Leone IDSR System 2020-2024,https://www.cdc.gov/global-health/countries/sierra-leone.html,CDC support for electronic disease surveillance system including cholera monitoring,2020-2024,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,Electronic surveillance,Systematic_Search
26,Sierra Leone Civil War Health System Impact,https://conflictandhealth.biomedcentral.com/articles/10.1186/1752-1505-8-11,Analysis of health system collapse during civil war 1991-2002 affecting surveillance capacity,1991-2002,Research,Verified,Level_2,Validated,WebSearch,English,0,Conflict analysis,Systematic_Search
27,BMJ Cholera Epidemic Threatens Sierra Leone 1995,https://www.bmj.com/content/311/6997/77,BMJ study documenting 1995 cholera epidemic with unusual virulence during civil war,1995,Research,Verified,Level_1,Validated,WebSearch,English,0,PMID: 7613398,Systematic_Search
28,European Commission Cholera Emergency Aid 1995,https://ec.europa.eu/commission/presscorner/detail/en/ip_95_1119,European Commission emergency funding response to Guinea cholera epidemic affecting Sierra Leone refugees,1995,Official,Verified,Level_1,Validated,WebSearch,English,0,Cross-border response,Systematic_Search
29,CDC Sierra Leone Laboratory Capacity Historical,https://www.cdc.gov/global-health/countries/sierra-leone.html,CDC historical support for cholera surveillance and laboratory capacity building since 1970s,1970-2024,Surveillance,Verified,Level_1,Validated,WebSearch,English,0,Technical capacity,Systematic_Search
30,Sierra Leone Post-Conflict Health Reconstruction,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-14104-w,Population health trends analysis documenting four cholera outbreaks 2000-2010 during post-conflict reconstruction,2000-2010,Research,Verified,Level_1,Validated,WebSearch,English,0,Post-conflict analysis,Systematic_Search
