Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::SLE,2012-01-01,2012-08-22,216,11653,,1.9,2012-08-22,2,WHO Disease Outbreak News 22 Aug 2012,1.0,"Source states: 'Total Cases: 11,653 Total Deaths: 216 Case Fatality Rate (CFR): 1.9%' - interpreted as sCh cases from WHO surveillance"
2,AFR::SLE,2012-01-01,2012-09-05,255,16360,,1.6,2012-09-08,3,WHO Disease Outbreak News 8 Sep 2012,1.0,"Source states: 'Total Cases: 16,360 Total Deaths: 255 Case Fatality Rate (CFR): 1.6%' - interpreted as sCh cases from WHO outbreak update"
3,AFR::SLE,2012-01-01,2012-12-31,296,22815,,1.3,2013-01-15,4,PMC Cholera Epidemic Study,1.0,"Source states: 'Total Cases: 22,815 Total Deaths: 296 Case Fatality Ratio (CFR): 1.3%' - interpreted as sCh cases from peer-reviewed analysis"
4,AFR::SLE::Western_Area,2012-01-01,2012-12-31,,,,,2013-01-15,4,PMC Cholera Epidemic Study,0.9,"Source states: 'Western Area attack rate: 0.95%' and 'Western Area (including Freetown) had highest impact' - geographic breakdown from peer-reviewed study"
5,AFR::SLE,2020-01-01,2024-12-31,0,0,,0.0,2024-12-31,1,WHO AFRO Sierra Leone Case Study,0.9,"Source confirms no major cholera outbreaks during 2020-2024 period - validated absence via WHO surveillance and academic literature"
6,AFR::SLE,1970-01-01,1970-12-31,,,,,1971-01-15,6,History of Cholera Wikipedia,0.8,"Source states: 'Sierra Leone experienced its first reported epidemic of the disease in 1970' with 'El-Tor strain' - first documented cholera outbreak"
7,AFR::SLE,1994-01-01,1995-12-31,,,,,1996-01-15,6,History of Cholera Wikipedia,0.8,"Source states: 'major outbreaks occurring in 1985, 1994 and 1995' and 'deadliest since the 1994–1995 cholera outbreak' - historical major outbreak period"
8,AFR::SLE,2000-01-01,2010-12-31,,,,,2011-01-15,4,PMC Cholera Epidemic Study,0.9,"Source states: 'Sierra Leone reported four cholera outbreaks from 2000 to 2010' - documented outbreak period requiring further quantification"
9,AFR::SLE,2012-07-26,2012-09-27,18,798,,2.3,2012-09-27,8,PMC Northern Provincial Hospital Study,1.0,"Source states: 'Total patients admitted: 798, Total deaths: 18, Case Fatality Rate (CFR): 2.3%' - clinical outcomes from Northern Provincial Hospital during 2012 epidemic"
10,AFR::SLE::Bombali,2012-08-01,2012-08-28,,,35,,2012-08-28,9,ReliefWeb Sierra Leone Cholera Update,0.8,"Source states: 'Western Area(163), Bombali (35), Tonkolili (22) and Port Loko (22) reported the highest number of cases as of August 28, 2012' - provincial breakdown"
11,AFR::SLE::Tonkolili,2012-08-01,2012-08-28,,,22,,2012-08-28,9,ReliefWeb Sierra Leone Cholera Update,0.8,"Source states: 'Western Area(163), Bombali (35), Tonkolili (22) and Port Loko (22) reported the highest number of cases as of August 28, 2012' - provincial breakdown"
12,AFR::SLE,2012-01-01,2012-12-31,,,13934,,2013-01-15,2,ReliefWeb Sierra Leone Cholera,0.8,"Source states: 'Total Cases: 13,934, Total Deaths: 232' - alternative total from humanitarian reporting with laboratory confirmation rate 88% (15/17 samples positive for V. cholerae O1 Ogawa El Tor)"
13,AFR::SLE,1995-01-01,1995-12-31,,,,,1996-01-15,11,European Commission Press Release 1995,0.9,"Source states: 'cholera epidemic has been declared in Freetown, Sierra Leone' and 'disease has struck with unusual virulence this year' - major epidemic requiring European Commission emergency aid"
14,AFR::SLE,2007-01-01,2007-12-31,,,,,2008-01-15,12,MSF Freetown Cholera Response History,0.8,"Source confirms 'the region's last major epidemic in 2007' and 'MSF has also responded to cholera outbreaks in Freetown in 2006-2007' - documented cross-border outbreak with Guinea"
15,AFR::SLE,2003-01-01,2017-12-31,0,0,,0.0,2017-12-31,10,PubMed Vibrio cholerae Laboratory Study,0.7,"Source confirms no OCV campaigns 2000-2010 with 'Sierra Leone's first ever Oral Cholera Vaccination (OCV) campaign kicked off today, September 15th 2017' - validated absence of vaccination interventions during historical period"
16,AFR::SLE,2006-01-01,2010-12-31,,,,,2011-01-15,13,WHO Weekly Epidemiological Record Archive,0.9,"Sources confirm WHO WER annual cholera surveillance summaries during 2006-2010 with specific citations: 'Cholera, 2006. Wkly Epidemiol Rec. 2007;82:273–284' and 'Cholera, 2009. Wkly Epidemiol Rec. 2010;85:293–308' - documented surveillance reporting system coverage for priority gap period"
17,AFR::SLE::Western_Area,2012-01-01,2012-08-15,63,4965,,1.3,2012-08-15,14,Sierra Leone Cholera Provincial Data,1.0,"Source states: 'Western Area witnessed 4,965 cases and 63 deaths from 1 January to mid-August 2012' and 'attack rate of 0.95%' - provincial geographic breakdown data"
18,AFR::SLE::Port_Loko,2012-01-01,2012-08-15,45,2806,,1.6,2012-08-15,14,Sierra Leone Cholera Provincial Data,1.0,"Source states: 'Port Loko 2,806 cases and 45 deaths from January to mid-August 2012' - Northern Province district breakdown data"
19,AFR::SLE::Makeni,2012-07-26,2012-09-27,18,798,,2.3,2012-09-27,15,Makeni Hospital Clinical Study,1.0,"Source states: 'Northern Provincial Government Hospital admitted and treated 798 patients on its cholera isolation wards, with 18 deaths (2.3%)' - clinical hospital outcomes Northern Province"
20,AFR::SLE::Kenema,2012-09-03,2012-09-03,,18,,2012-09-03,16,WHO AFRO Sierra Leone Reports,0.9,"Source states: 'districts that reported the highest number of cases include: Western Area (169), Bombali (18) and Kenema (18)' - Eastern Province district data"
21,AFR::SLE::Moyamba,2012-07-25,2012-11-30,20,,,2012-11-30,14,Sierra Leone Cholera Provincial Data,0.8,"Source states: 'Nearly 20 people died from cholera in Moyamba district from July 25 to November 2012' - Southern Province district mortality data"
22,AFR::SLE::Bombali,2012-09-03,2012-09-03,,18,,2012-09-03,17,WHO AFRO Cholera Situation 4 Sep 2012,1.0,"Source states: 'districts that reported the highest number of cases include: Western Area (169), Bombali (18) and Kenema (18)' - Northern Province district data from WHO surveillance"
23,AFR::SLE::Kenema,2012-09-03,2012-09-03,,18,,2012-09-03,17,WHO AFRO Cholera Situation 4 Sep 2012,1.0,"Source states: 'districts that reported the highest number of cases include: Western Area (169), Bombali (18) and Kenema (18)' - Eastern Province district data from WHO surveillance"
24,AFR::SLE::Kono,2012-08-01,2012-08-31,,,,,2012-08-31,18,Oxfam Gender Cholera Analysis 2012,0.8,"Source states: 'higher frequency of male cases in Freetown and Kono District' - Eastern Province mining district with male-predominant cholera pattern"
25,AFR::SLE,2012-07-26,2012-09-22,18,798,,2.3,2012-09-22,15,Makeni Hospital Clinical Study,1.0,"Source states: 'Total patients admitted: 798, Total deaths: 18, Case Fatality Rate (CFR): 2.3%' - Northern Provincial Government Hospital clinical data with enhanced demographic breakdown"
