Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO Disease Outbreak News - Cholera Benin 2022,https://www.who.int/emergencies/disease-outbreak-news/item/cholera-benin,WHO official report on Benin cholera outbreak waves in 2021-2022,2021-03-01 to 2022-01-16,Surveillance report,Active,Level 1,Validated,WHO official search,English,0,WHO AFRO,Direct search,AI
2,IFRC Emergency Plan of Action Final Report - Benin Cholera 2016,https://reliefweb.int/report/benin/benin-cholera-mdrbj015-emergency-plan-action-final-report,IFRC report on 2016 Benin cholera outbreak response,2016-08-09 to 2016-12-08,Emergency response report,Active,Level 1,Validated,ReliefWeb search,English,0,IFRC/Benin Red Cross,Direct search,AI
3,Dynamics of cholera epidemics from Benin to Mauritania - PLOS NTD 2018,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006379,Academic study analyzing cholera epidemics in West Africa 2009-2015,2009-01-01 to 2015-12-31,Academic research paper,Active,Level 1,Validated,Academic search,English,0,PLOS NTD/Institut Pasteur,Direct search,AI
4,WHO Cholera Surveillance 2003 - Benin,https://www.who.int/emergencies/disease-outbreak-news/item/2003_11_20-en,WHO surveillance report on 2003 Benin cholera cases,2003-01-01 to 2003-11-15,Surveillance report,Active,Level 1,Validated,WHO search,English,0,WHO,Direct search,AI
5,WHO Cholera Surveillance 2008 - Benin,https://pubmed.ncbi.nlm.nih.gov/21695873/,"Gbary AR, Dossou JP, Sossou RA, Mongbo V, Massougbodji A. Aspects epidemiologiques et medico-cliniques de l'epidemie de cholera dans le departement du Littoral au Benin en 2008. Med Trop (Mars) 2011;71(2):157-161, PMID 21695873. Peer-reviewed study of the 2008 Littoral/Cotonou epidemic: onset 26 July 2008 in Cotonou, 21 weeks duration, 404 patient files reviewed, V. cholerae O1 in 19 of 36 stool samples, attack rates by quartier 15.86-172.98 per 100,000 (highest in Agbodjedo, Hlacomey and Enagnon). NOT a WHO surveillance product - the original Source name is a misnomer retained only because live rows cite it.",2008-07-26 to 2008-12-31,Academic research paper,Active,Level 1,Validated,PubMed search,French,0,Med Trop Journal,Direct search,AI
6,Seventh Cholera Pandemic - West Africa,https://en.wikipedia.org/wiki/Seventh_cholera_pandemic,Documentation of 1970-1971 West African cholera outbreak including Benin,1970-01-01 to 1971-12-31,Historical documentation,Active,Level 2,Validated,Historical search,English,1,Multiple sources,Direct search,AI
7,Cholera Outbreaks in LMICs Systematic Review - MDPI 2024,https://www.mdpi.com/2076-2607/12/12/2504,Systematic review confirming no cholera outbreaks reported in 2020 globally,2020-01-01 to 2020-12-31,Academic systematic review,Active,Level 1,Validated,Academic search,English,0,MDPI Microorganisms,Direct search,AI
8,Le choléra sévit au Bénin et fait 7 morts - Linfo/mesvaccins.net 2025,https://www.linfo.re/monde/afrique/647617-le-cholera-sevit-a-benin-et-fait-7-morts,"News report by LINFO.re dated 14 July 2014 (byline: 'cree le 14.07.2014 a 18h03 - mis a jour le 15.07.2014 a 09h51'; AFP-sourced, quoting Benin Ministry of Health figures and Dr Didier Abgozognibe, coordinating physician of the health zone) on a cholera outbreak in the Allada-Ze-Toffo health zone, Atlantique department, southern Benin: 150 cases and 7 deaths as of Monday 14 July 2014. CORRECTION: this source was previously catalogued in this file as a 2025 report with Date_Range 2025-08-01 to 2025-10-31. That was wrong. Verified via Internet Archive CDX (first capture 2014-07-17) and the archived 2014-07-17 snapshot: https://web.archive.org/web/20140717063913/http://www.linfo.re/monde/afrique/647617-le-cholera-sevit-a-benin-et-fait-7-morts . Use the archive URL - the live page is now behind a Cloudflare JS challenge.",2025-08-01 to 2025-10-31,News media report,Superseded,Level 3,Validated,French news search,French,0,mesvaccins.net; agenceafrique,Direct search,AI
9,WHO Weekly Epidemiological Record - Cholera in 1979 (WER 1980;55(18):129-130),https://iris.who.int/handle/10665/223030,WER annual global cholera review for 1979; Table 2 lists all countries notifying cholera to WHO. Text explicitly names Benin among countries that reported cholera in 1978 but did NOT report cases in 1979.,1979-01-01 to 1979-12-31,WHO annual cholera surveillance article,Active,Level 1,Pending,"IRIS handle scan for WER annual cholera articles (OAI-PMH GetRecord), after WebSearch: WHO Weekly Epidemiological Record Cholera in 1979",English/French,0,WHO GHO cholera annual series,"IRIS handle scan for WER annual cholera articles (OAI-PMH GetRecord), after WebSearch: WHO Weekly Epidemiological Record Cholera in 1979",AI
10,WHO Weekly Epidemiological Record - Cholera in 1985 (WER 1986;61(26):197-198),https://iris.who.int/handle/10665/225862,WER annual global cholera review for 1985; Table 2 lists the 19 African countries notifying cholera in 1985. Benin is not among them.,1985-01-01 to 1985-12-31,WHO annual cholera surveillance article,Active,Level 1,Pending,IRIS handle scan for WER annual cholera articles; WebSearch: iris.who.int CHOLERA IN 1985 Weekly Epidemiological Record,English/French,0,WHO GHO cholera annual series,IRIS handle scan for WER annual cholera articles; WebSearch: iris.who.int CHOLERA IN 1985 Weekly Epidemiological Record,AI
11,WHO Weekly Epidemiological Record - Cholera in 1987 (WER 1988;63(20):145-146),https://iris.who.int/handle/10665/226718,"WER annual global cholera review for 1987; Table 2 'Cases of cholera notified to WHO, 1987' lists the 17 African countries reporting. Benin is not among them.",1987-01-01 to 1987-12-31,WHO annual cholera surveillance article,Active,Level 1,Pending,WebSearch: iris.who.int Weekly Epidemiological Record 1988 CHOLERA IN 1987,English/French,0,WHO GHO cholera annual series,WebSearch: iris.who.int Weekly Epidemiological Record 1988 CHOLERA IN 1987,AI
12,WHO Weekly Epidemiological Record - Cholera in 1988 (WER 1989;64(19):141-142),https://iris.who.int/handle/10665/227140,WER annual global cholera review for 1988; Table 2 lists the 12 African countries notifying cholera in 1988. Benin is not among them.,1988-01-01 to 1988-12-31,WHO annual cholera surveillance article,Active,Level 1,Pending,IRIS handle scan for WER annual cholera articles (OAI-PMH),English/French,0,MMWR Cholera-Worldwide 1989; WHO GHO,IRIS handle scan for WER annual cholera articles (OAI-PMH),AI
13,WHO Weekly Epidemiological Record - Cholera in 1989 (WER 1990;65(19):141-142),https://iris.who.int/handle/10665/227598,WER annual global cholera review for 1989; Table 2 lists the 16 African countries notifying cholera in 1989. Benin is not among them.,1989-01-01 to 1989-12-31,WHO annual cholera surveillance article,Active,Level 1,Pending,IRIS handle scan for WER annual cholera articles (OAI-PMH),English/French,0,MMWR Cholera-Worldwide 1989 (cites WER 1990;65:141-2),IRIS handle scan for WER annual cholera articles (OAI-PMH),AI
14,WHO Weekly Epidemiological Record - Cholera in 1990 (WER 1991;66(19):133-136),https://iris.who.int/handle/10665/228010,WER annual global cholera review for 1990; Table 2 lists the 10 African countries notifying cholera in 1990 (addendum WER 1991;66(20) adds Zaire). Benin is not among them.,1990-01-01 to 1990-12-31,WHO annual cholera surveillance article,Active,Level 1,Pending,IRIS handle scan for WER annual cholera articles (OAI-PMH),English/French,0,Addendum WER 1991;66(20),IRIS handle scan for WER annual cholera articles (OAI-PMH),AI
15,"WHO Weekly Epidemiological Record - Cholera, 2007 (WER 2008;83(31):269-283)",https://iris.who.int/handle/10665/241184,WER annual global cholera review for 2007; Table 1 lists the 34 African countries reporting cholera to WHO in 2007. Benin is not among them and is not mentioned anywhere in the article.,2007-01-01 to 2007-12-31,WHO annual cholera surveillance article,Active,Level 1,Pending,IRIS handle scan after WebSearch: Cholera in 2007 Weekly Epidemiological Record 2008 83 269,English/French,0,WHO GHO cholera annual series (no Benin record for 2007),IRIS handle scan after WebSearch: Cholera in 2007 Weekly Epidemiological Record 2008 83 269,AI
16,"LINFO.re/AFP - Le cholera sevit au Benin et fait 7 morts (14 July 2014, Internet Archive)",https://web.archive.org/web/20140717063913/http://www.linfo.re/monde/afrique/647617-le-cholera-sevit-a-benin-et-fait-7-morts,"AFP-sourced LINFO.re report, byline 'cree le 14.07.2014 a 18h03 - mis a jour le 15.07.2014 a 09h51'. Cholera outbreak in the Allada-Ze-Toffo health zone (communes of Allada, Ze, Toffo), Atlantique department, southern Benin: 150 cases and 7 deaths as of Monday 14 July 2014, per Benin Ministry of Health counts; quotes Dr Didier Abgozognibe, zone coordinating physician, that many cases went unreported. Archived snapshot used because the live page is behind a Cloudflare JS challenge. SUPERSEDES metadata Index 8 of this file, which mis-attributed the same article to 2025.",2014-06-01 to 2014-07-14,"News media report (AFP-sourced, quoting Benin Ministry of Health)",Active,Level 3,Pending,Internet Archive CDX re-dating of linfo.re article 647617 after WHO 2025 tables were found not to contain Benin,French,0,Supersedes metadata Index 8; WHO/JHU Benin 2014 national annual 832 cases 12 deaths,Internet Archive CDX re-dating of linfo.re article 647617 after WHO 2025 tables were found not to contain Benin,AI
17,WHO Multi-country outbreak of cholera - Epidemiological update #33 (27 January 2026),https://cdn.who.int/media/docs/default-source/documents/emergencies/situation-reports/20260127_multi-country_outbreak-of-cholera_epidemiological_update_33.pdf,"WHO monthly global cholera update. Table 1 'Reported cholera and AWD cases and deaths by WHO Region, as of 28 December 2025' gives cumulative 1 Jan - 28 Dec 2025 counts for every reporting country. The African Region block lists 22 countries (Angola, Burundi, Cameroon, Chad, Congo, Cote d'Ivoire, DRC, Ethiopia, Ghana, Kenya, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Sudan, Togo, Uganda, Tanzania, Zambia, Zimbabwe). BENIN IS ABSENT from the table and the word Benin does not occur anywhere in the report.",2025-01-01 to 2025-12-28,WHO global surveillance situation report,Active,Level 1,Pending,WebSearch: Benin cholera outbreak November December 2025 cases deaths update,English,0,WHO DON 2025-DON579; UNICEF WCA 30 Jul 2025; WHO AFRO 2025 cholera bulletin,WebSearch: Benin cholera outbreak November December 2025 cases deaths update,AI
18,WHO Multi-country outbreak of cholera - Epidemiological update #38 (30 June 2026),https://cdn.who.int/media/docs/default-source/documents/emergencies/situation-reports/20260630_multi-country_outbreak-of-cholera_epidemiological_update_38.pdf,"WHO monthly global cholera update, data as of 31 May 2026. Table 1 lists every country reporting cases 1 Jan - 31 May 2026; the African Region block names 15 countries (Angola, Burundi, Congo, DRC, Ethiopia, Kenya, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Sudan, Tanzania, Zambia, Zimbabwe). BENIN IS ABSENT and the word Benin does not occur anywhere in the report. Epidemiological update #35 (27 March 2026) checked in the same way, with the same result.",2026-01-01 to 2026-05-31,WHO global surveillance situation report,Active,Level 1,Pending,WebSearch: Benin cholera 2026 outbreak cases deaths WHO situation report,English,0,WHO epi update #35 (27 Mar 2026); ECDC cholera worldwide overview,WebSearch: Benin cholera 2026 outbreak cases deaths WHO situation report,AI
19,ECDC Cholera worldwide overview - monthly update as of 26 August 2026,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,"ECDC's monthly global cholera roundup, latest update 26 August 2026. Enumerates by name every country reporting new cholera cases worldwide and gives cumulative 2026 counts per country for Africa (Angola, Burundi, Cameroon, Central African Republic, Chad, DRC, Kenya, Malawi, Mozambique, Nigeria, Somalia, South Africa, South Sudan, Sudan). BENIN IS NOT MENTIONED ANYWHERE in the page. Cumulative global: 'Since 1 January 2026 and as of 26 August 2026, 212 857 cholera cases, including 1 943 deaths, have been reported worldwide.'",2026-01-01 to 2026-08-26,Regional public-health agency surveillance summary,Active,Level 2,Pending,WebSearch: ECDC cholera monthly 2026 Benin cases,English,0,WHO epi update #38,WebSearch: ECDC cholera monthly 2026 Benin cases,AI
20,"UNICEF West and Central Africa press release - 80,000 children at high risk of cholera (30 July 2025)",https://www.unicef.org/press-releases/80000-children-high-risk-cholera-outbreaks-spread-across-12-countries-west-and,"UNICEF regional statement, Dakar, 30 July 2025. Distinguishes countries with active outbreaks from countries merely at risk: 'The heightened risk of cholera spreading is driven by active outbreaks in the Democratic Republic of the Congo (DRC) and Nigeria... Chad, Republic of Congo, Ghana, Cote d'Ivoire, and Togo are also grappling with ongoing epidemics, while Niger, Liberia, Benin, Central Africa Republic, Cameroon, remain under close surveillance due to their vulnerability.' Benin is explicitly in the at-risk-but-not-outbreak group as of 30 July 2025.",2025-01-01 to 2025-07-30,UN agency press release / regional situation summary,Active,Level 2,Pending,WebSearch: UNICEF West and Central Africa cholera situation report 2025 Benin cases,English,0,WHO epi update #33; WHO DON 2025-DON579,WebSearch: UNICEF West and Central Africa cholera situation report 2025 Benin cases,AI
21,"WHO Weekly Epidemiological Record - Cholera, 2024 (WER 2025;100(36):347-364)",https://iris.who.int/handle/10665/382541,"WHO annual global cholera review for 2024. CRITICAL METHODOLOGICAL ANCHOR: Table 2 is titled 'Countries that reported 0 cases and deaths in 2024, fulfilling the public health surveillance service of zero reporting' and Benin is NAMED in its Africa (32) list - so WHO itself treats Benin as a zero-reporting country for 2024, matching the JHU/WHO baseline value of 0. Benin is correspondingly absent from Table 1 (cases and deaths by country). CAUTION for later agents: Table 4 (cases by gender and age group, 2024) shows a row labelled 'Benin - Benin 504 401 1.26 74 (8) 831 (92)'. That row is a LABELLING ERROR: 504+401 = 905, which is exactly Burundi's Table 1 total for 2024 (905 cases), and the following rows (Cameroon, Comoros) match their own Table 1 totals, so the Africa block of Table 4 is shifted by one label and the first row is Burundi, not Benin. Do not extract 905 cases for Benin 2024 from this table.",2024-01-01 to 2024-12-31,WHO annual cholera surveillance article,Active,Level 1,Pending,"IRIS handle probe of WER 2025 vol 100 issues, following the 1979-2007 WER annual-table method",English/French,0,JHU/WHO baseline Benin 2024 = 0 cases 0 deaths,"IRIS handle probe of WER 2025 vol 100 issues, following the 1979-2007 WER annual-table method",AI
22,GTFCC 11th Annual Meeting - Benin country progress report (Ministere de la Sante du Benin / COUSP),https://www.gtfcc.org/wp-content/uploads/2025/05/11th-annual-meeting-of-the-global-task-force-on-cholera-control-gtfcc-country-progress-reports.pdf,"Benin country progress report submitted to the GTFCC by the Ministere de la Sante du Benin / Agence Nationale des Soins de Sante Primaires / Centre des Operations des Urgences de Sante Publique (focal point Dr GLELE AHO Letonhan R.G, COUSP Coordinator), pages 3-8 of the compiled country-reports PDF. States: 'Nombre total de cas de cholera: 279 cas, dont 10 confirmes en laboratoire durant les 12 derniers mois'; 'Nombre de deces lies au cholera: 1 deces (Juin 2023 - Juin 2024)'; 'Nombre de deces communautaires: 0 deces (Juin 2023 - Juin 2024)'. UNRESOLVED CONFLICT - NOT YET EXTRACTED AS A DATA ROW: this 279-case figure for June 2023 - June 2024 contradicts WHO, which lists Benin among the zero-reporting countries for 2024 (WER 2025;100(36) Table 2, metadata Index 21) and whose JHU-integrated baseline gives Benin 28 cases for 2023 and 0 for 2024. Agent 5 should adjudicate before any row is written; do not extract without resolving. Also records that Benin migrated cholera notification to DHIS2 and had 0% OCV coverage.",2023-06-01 to 2024-06-30,National authority progress report to GTFCC,Active,Level 1,Pending,WebSearch: plateformecholera.info Benin cholera donnees historiques cas annuels,French,0,"Metadata Index 21 (WER Cholera 2024 Table 2); JHU/WHO baseline 2023=28, 2024=0",WebSearch: plateformecholera.info Benin cholera donnees historiques cas annuels,AI
23,"GTFCC 10th Annual Meeting - Situation cholera au Benin (Republique du Benin, Glele Aho, June 2023)",https://www.gtfcc.org/wp-content/uploads/2023/03/10th-annual-meeting-gtfcc-2023-28-benin-rodrigue-glele-aho.pdf,"Benin Ministry of Health / COUSP presentation to the 10th GTFCC annual meeting (26-28 June 2023). States: '2021-2022: Au total de la 1ere Semaine epidemiologique de 2021 a la 44eme semaine epidemiologique de 2022, 1784 cas dont 55 confirmes et 24 deces ont ete enregistres (letalite de 1,3%)'. Foci named: Cotonou, Abomey-Calavi, Come, Djougou, Parakou, Karimama; also Kpomasse, Nikki, Perere, Tchaourou, Savalou, Porto-Novo, Grand-Popo, Bopa. NOT EXTRACTED AS A DATA ROW - the period is already covered by JHU/WHO annual rows (2021: 1298 cases 23 deaths; 2022: 433 cases 2 deaths = 1731/25, consistent with 1784/24), so a row would double-count. Kept in the registry because it is the authoritative national source for the 15 cholera HOTSPOT COMMUNES identified from 2016-2021 data - Atlantique (Abomey-Calavi, Allada, Kpomasse, So-Ava, Ze), Borgou (Parakou, Nikki, Tchaourou), Collines (Savalou), Donga (Djougou), Littoral (Cotonou), Oueme (Adjohoun, Aguegues, Dangbo, Seme-Kpodji), plus medium-risk Ouidah and Come - which Agent 2 should use for sub-national targeting.",2021-01-04 to 2022-11-06,National authority presentation to GTFCC,Active,Level 1,Pending,WebSearch: choleora Benin 2026 cas epidemie Cotonou Littoral Atlantique So-Ava,French,0,GTFCC 11th annual meeting country report,WebSearch: choleora Benin 2026 cas epidemie Cotonou Littoral Atlantique So-Ava,AI
24,"WHO Disease Outbreak News 2025-DON579 - Cholera, Multi-country (29 August 2025)",https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON579,"WHO DON covering 1 January to 17 August 2025: '409 222 cholera/Acute Watery Diarrhoea (AWD) cases and 4738 deaths were reported globally, from 31 countries'. Benin does not appear anywhere in the 34 kB of page text. NOTE FOR LATER AGENTS: the earlier BEN recent-gap log (data/BEN/search_log_recent_update_2026-06-19.txt) asserted that WHO global sitreps confirmed ACTIVE cholera transmission in Benin Jan-Sept 2025. That assertion was traced to a search-engine summary and is NOT supported by this DON or by WHO epidemiological update #33; it should not be relied on.",2025-01-01 to 2025-08-17,WHO Disease Outbreak News,Active,Level 1,Pending,WebSearch: Benin no cholera cases 2025 zero reported WHO annual cholera report Benin absent,English,0,WHO epi update #33; UNICEF WCA 30 Jul 2025,WebSearch: Benin no cholera cases 2025 zero reported WHO annual cholera report Benin absent,AI
25,WHO Weekly Epidemiological Record 2026;101(35) - Multi-country outbreak of cholera (4 September 2026),https://www.who.int/publications/journals/weekly-epidemiological-record/wer101-35,"From July 2026 WHO moved the monthly cholera epidemiological update into the Weekly Epidemiological Record. WER 2026;101(35), 4 September 2026, pp.193-202, carries Table 1 'Reported cholera and AWD cases and deaths by WHO Region, as of 26 July 2026', naming 19 African-Region reporting countries: Angola, Burundi, Cameroon, Central African Republic, Chad, Congo, DRC, Ethiopia, Kenya, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Africa, South Sudan, United Republic of Tanzania, Zambia, Zimbabwe. BENIN IS ABSENT; the string 'Benin' does not occur in the issue. IMPORTANT CAVEAT carried by this table and by epidemiological updates #35 and #38, footnote **: 'Missing data in this report do not imply the absence of cholera or AWD cases or deaths in the respective country.' This is why the 2026 zero rows in this dataset are labelled Inferred_Absence rather than Documented_Absence. Checked also: WER 2026;101(36-37) of 18 September 2026 (the latest issue as of this run) contains NO cholera annual article and no cholera table - the only Benin figure in it is in the global LEPROSY table (Table 5), which must not be mistaken for cholera data. The WER annual 'Cholera, 2025' article, which would carry the definitive zero-reporting country list for 2025, had not been published as of 19 September 2026.",2026-01-01 to 2026-07-26,WHO global surveillance update published in WER,Active,Level 1,Pending,"Probe of who.int/publications/journals/weekly-epidemiological-record/wer101-{n} for n=28..39, then IRIS REST bitstream download",English,0,"WHO epi updates #33, #35, #38; ECDC worldwide overview","Probe of who.int/publications/journals/weekly-epidemiological-record/wer101-{n} for n=28..39, then IRIS REST bitstream download",AI
