Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 21158),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection21158.csv,JHU cholera database entry with 3240 observations. Frequency: Weekly. Updated: 2025-03-17,2019-12-30 to 2021-01-10,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,JHU Cholera Database (UID: 21195),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection21195.csv,JHU cholera database entry with 2376 observations. Frequency: Weekly. Updated: 2025-03-17 Source tags: Unified,2019-12-30 to 2021-01-10,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,JHU Cholera Database (UID: 21400),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection21400.csv,JHU cholera database entry with 6 observations. Frequency: Other (94). Updated: 2025-03-17,2021-03-01 to 2022-01-16,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,JHU Cholera Database (UID: 878),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection878.csv,JHU cholera database entry with 3 observations. Frequency: Other (7). Updated: 2024-02-09,2008-09-28 to 2008-10-09,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,UNICEF Country Programme Report (UID: 5101),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection5101.csv,JHU cholera database entry with 9079 observations. Frequency: Other (7). Updated: 2025-03-17 Source tags: UNICEFcp,2012-12-31 to 2024-03-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,JHU Cholera Database (UID: 3541),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection3541.csv,JHU cholera database entry with 34 observations. Frequency: Other (5). Updated: 2024-02-09,2016-08-09 to 2016-09-03,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,JHU Cholera Database (UID: 877),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection877.csv,JHU cholera database entry with 1 observations. Frequency: Other (41). Updated: 2024-02-09,2008-07-01 to 2008-08-11,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,JHU Cholera Database (UID: 815),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection815.csv,JHU cholera database entry with 1 observations. Frequency: Other (38). Updated: 2024-02-09,2012-10-23 to 2012-11-30,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,JHU Cholera Database (UID: 805),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection805.csv,JHU cholera database entry with 62 observations. Frequency: Other (32). Updated: 2024-02-09,2013-08-26 to 2014-01-27,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,JHU Cholera Database (UID: 21143),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection21143.csv,JHU cholera database entry with 1 observations. Frequency: Other (270). Updated: 2024-02-09,2020-01-01 to 2020-09-27,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
11,JHU Cholera Database (UID: 21209),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection21209.csv,JHU cholera database entry with 74 observations. Frequency: Other (27). Updated: 2025-03-17,2014-12-29 to 2022-12-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
12,JHU Cholera Database (UID: 809),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection809.csv,JHU cholera database entry with 4 observations. Frequency: Other (20). Updated: 2024-02-09,2013-08-28 to 2013-09-30,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
13,JHU Cholera Database (UID: 881),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection881.csv,JHU cholera database entry with 1 observations. Frequency: Other (2). Updated: 2024-02-09,2013-09-23 to 2013-09-25,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
14,JHU Cholera Database (UID: 20595),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection20595.csv,JHU cholera database entry with 1 observations. Frequency: Other (17). Updated: 2024-02-09,2005-09-22 to 2005-10-09,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
15,JHU Cholera Database (UID: 800),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection800.csv,JHU cholera database entry with 5 observations. Frequency: Other (167). Updated: 2024-02-09,2013-08-01 to 2014-06-30,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
16,JHU Cholera Database (UID: 879),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection879.csv,JHU cholera database entry with 2 observations. Frequency: Other (16). Updated: 2024-02-09,2010-01-13 to 2010-01-29,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
17,JHU Cholera Database (UID: 880),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection880.csv,JHU cholera database entry with 1 observations. Frequency: Other (147). Updated: 2024-02-09,2010-06-01 to 2010-10-26,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
18,WHO Annual Cholera Report (UID: 302),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Benin/ObservationCollection302.csv,JHU cholera database entry with 54 observations. Frequency: Annual. Updated: 2024-09-25 Source tags: WHOannual,1970-01-01 to 2023-12-31,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
