Source,URL,Description,Date_Range,Data_Type,Status
WHO Global Health Observatory,https://apps.who.int/gho/athena/data/xmart.csv?target=GHO/CHOLERA_0000000001&profile=crosstable&filter=COUNTRY:*;REGION:AFR;&ead=&x-sideaxis=COUNTRY;YEAR&x-topaxis=GHO,Annual cholera case numbers for Angola,2006-2016,Annual Cases,Active
WHO Disease Outbreak News 2006,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_10-en,Initial 2006 outbreak report,2006,Outbreak Cases,Active
WHO Disease Outbreak News 2006 Update 1,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_06a-en,2006 outbreak update with case progression,2006,Outbreak Cases,Active
WHO Disease Outbreak News 2006 Update 2,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_09-en,Final 2006 outbreak update,2006,Outbreak Cases,Active
WHO Disease Outbreak News 2025,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,Current Angola cholera outbreak,2025,Outbreak Cases,Active
WHO AFRO Cholera Bulletin,https://www.afro.who.int/health-topics/disease-outbreaks/cholera-who-african-region,Regional cholera surveillance updates,2020-2025,Regional Surveillance,Active
WHO AFRO Weekly Bulletin,https://www.afro.who.int/publications/weekly-regional-cholera-bulletin-4-march-2024,Weekly regional cholera bulletin,2024,Weekly Surveillance,Active
ReliefWeb UNICEF 2006 Report,https://reliefweb.int/report/angola/cholera-angola-update-18-may-2006,UNICEF Angola cholera update May 2006,2006,Outbreak Response,Active
ReliefWeb UNICEF Situation Report,https://reliefweb.int/report/angola/cholera-outbreak-unicef-angola-situation-report-26-may-2006,UNICEF cholera outbreak situation report,2006,Outbreak Response,Active
UNICEF Angola 2025 Flash Update,https://reliefweb.int/report/angola/unicef-angola-flash-update-no-1-cholera-07-14-january-2025,UNICEF flash update current outbreak,2025,Outbreak Response,Active
UNICEF Angola 2025 Situation Report,https://reliefweb.int/report/angola/unicef-angola-situation-report-no-4-cholera-outbreak-11-march-2025,UNICEF situation report current outbreak,2025,Outbreak Response,Active
Frontiers in Microbiology,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00354/full,Vibrio cholerae O1 epidemic variants in Angola 1992-2006,1992-2006,Academic Research,Active
PMC Regional Burden Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11891530/,Cholera burden in WHO African region 2000-2023,2000-2023,Academic Research,Active
PMC Subnational Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9439956/,Cholera outbreaks in sub-Saharan Africa 2010-2019,2010-2019,Academic Research,Active
Lancet Global Health,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(22)00007-9/fulltext,Seasonality of cholera in sub-Saharan Africa,Multi-year,Academic Research,Active
PMC DRC Cross-border,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8684622/,Cholera spread in western DRC 1973-2018,1973-2018,Academic Research,Active
ECDC Cholera Surveillance,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,Monthly cholera surveillance updates,Ongoing,Global Surveillance,Active
WHO AFRO Angola Data Management,https://www.afro.who.int/countries/angola/news/angola-enhances-data-management-combat-cholera-outbreak,Angola data management capacity building,2025,Surveillance Enhancement,Active
WHO AFRO Response Capacity,https://www.afro.who.int/countries/angola/news/cholera-outbreak-angola-strengthening-response-capacity-and-promoting-community-resilience,Angola cholera response capacity building,2025,Outbreak Response,Active
WHO AFRO Preparedness,https://www.afro.who.int/countries/angola/news/angola-reinforces-cholera-preparedness-and-response-measures,Angola cholera preparedness measures,2025,Surveillance Enhancement,Active
CIDRAP News,https://www.cidrap.umn.edu/cholera/cholera-spreading-across-angola-more-8500-cases,Cholera spreading across Angola news report,2025,News Coverage,Active
Lancet Commentary,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(25)00240-5/fulltext,Angola cholera outbreak wake-up call commentary,2025,Academic Commentary,Active
UNICEF Eastern Southern Africa,https://www.unicef.org/esa/reports/cholera-outbreak-eastern-and-southern-africa-2024,Regional cholera outbreak report,2024,Regional Report,Active
WHO Multi-country Report,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250210_multi-country_outbreak-of-cholera_sitrep--23.pdf,Multi-country cholera outbreak situation report,2025,Regional Surveillance,Active
Global Alliance Against Cholera,https://www.choleraalliance.org/en/news/cholera-outbreak-angola,Cholera outbreak in Angola news,2025,News Coverage,Active
