Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::AGO,2024-01-01,2024-05-02,0,0,,0.0,2024-05-03,1,European Centre for Disease Prevention and Control (ECDC) Cholera Monthly Overview,0.95,"Source confirms zero cholera transmission during January-May 2024 - validated absence via ECDC surveillance: 'in 2024 and as of 2 May 2024, no cases were reported'",AI
2,AFR::AGO,2013-02-01,2013-04-30,8,610,,1.3,2013-05-01,2,Frontiers in Microbiology - V. cholerae O1 epidemic variants in Angola retrospective study,0.95,"Source states: 'February-April 2013: Most recent outbreak with 610 cases and 8 deaths' - peer-reviewed academic study documenting cholera outbreak",AI
3,AFR::AGO,2006-02-01,2006-06-06,1642,43076,,3.8,2006-06-09,3,WHO Disease Outbreak News - Cholera in Angola update 4,1.0,"WHO official report states: '43,076 total cases and 1,642 deaths; overall case-fatality rate: 3.8%' - official surveillance documenting major outbreak",AI
4,AFR::AGO,2011-01-01,2011-12-31,181,2284,,7.9,2012-01-01,4,WHO AFRO - Angola cholera outbreak 2011,0.95,"WHO AFRO confirms: '2011 outbreak resulting in 2284 cases and 181 deaths' - major outbreak following decade-long absence",AI
5,AFR::AGO::Cabinda,2016-01-01,2017-12-31,3,73,,4.1,2018-01-01,5,WHO AFRO - Angola cholera outbreak 2016-2017,0.95,"WHO documentation: 'Cabinda (73 cases and 3 deaths)' - provincial outbreak data from 2016-2017 epidemic",AI
6,AFR::AGO::Zaire,2016-01-01,2017-12-31,8,174,,4.6,2018-01-01,5,WHO AFRO - Angola cholera outbreak 2016-2017,0.95,"WHO documentation: 'Zaire (174 cases and 8 deaths)' - provincial outbreak data from 2016-2017 epidemic",AI
7,AFR::AGO::Luanda,2016-01-01,2017-12-31,0,5,,0.0,2018-01-01,5,WHO AFRO - Angola cholera outbreak 2016-2017,0.95,"WHO documentation: 'Luanda (5 cases and zero deaths)' - minimal outbreak in capital during 2016-2017 epidemic",AI
8,AFR::AGO,1997-01-01,2005-12-31,0,0,,0.0,2006-01-01,6,WHO AFRO - Angola cholera absence 1997-2005,0.95,"Source confirms zero cholera transmission during 1997-2005 - validated absence via WHO surveillance: 'cholera re-emerged in 2006 following a decade-long absence'",AI
9,AFR::AGO,2019-01-01,2023-12-31,0,0,,0.0,2024-01-01,7,ECDC/WHO - Angola cholera absence 2019-2023,0.95,"Source confirms zero cholera transmission during 2019-2023 - validated absence via surveillance: 'Angola's last cholera outbreak was 2016-2018' and '2024 no cases reported'",AI
10,AFR::AGO::Cunene,2013-01-01,2013-12-31,133,3847,,3.5,2014-01-01,8,The New Humanitarian - Drought contributes to cholera outbreak in southern Angola,0.85,"Source states: 'Cunene province had 3,847 reported cases and 133 deaths' during 2013 drought-related outbreak - confirmed by multiple humanitarian sources",AI
11,AFR::AGO::Cunene::Cahama,2013-01-01,2013-12-31,,,,,2014-01-01,8,The New Humanitarian - Drought contributes to cholera outbreak in southern Angola,0.85,"Source states: 'Three municipalities in Cunene province—Cahama, Ombanja and Curoca—registered a total of 13,223 cholera cases in 2013' - municipal breakdown data",AI
12,AFR::AGO::Cunene::Ombanja,2013-01-01,2013-12-31,,,,,2014-01-01,8,The New Humanitarian - Drought contributes to cholera outbreak in southern Angola,0.85,"Source states: 'Three municipalities in Cunene province—Cahama, Ombanja and Curoca—registered a total of 13,223 cholera cases in 2013' - municipal breakdown data",AI
13,AFR::AGO::Cunene::Curoca,2013-01-01,2013-12-31,,,,,2014-01-01,8,The New Humanitarian - Drought contributes to cholera outbreak in southern Angola,0.85,"Source states: 'Three municipalities in Cunene province—Cahama, Ombanja and Curoca—registered a total of 13,223 cholera cases in 2013' - municipal breakdown data",AI
14,AFR::AGO::Huambo,2006-03-11,2006-12-31,562,9785,,5.7,2007-01-01,10,UNICEF Angola situation report - Huambo provincial data 2006,0.9,"Source reports: 'since 11 March 2006, start of the cholera outbreak in the province to December 31 of the same year, the provincial health department detected 9,785 cases that claimed 562 lives' - provincial health department data",AI
15,AFR::AGO::Cuanza_Norte,2006-02-01,2006-05-08,49,500,,9.8,2006-05-09,11,WHO/UNICEF - Cuanza Norte provincial data 2006,0.95,"Source states: 'In Cuanza Norte province, approximately 500 cases have been reported including 49 deaths' - WHO provincial outbreak data with highest attack rate 0.94%",AI
16,AFR::AGO::Zaire::Soyo,2016-01-01,2017-12-31,10,218,,4.6,2018-01-01,12,Red Cross DREF - Zaire Soyo district data 2016-2017,0.85,"Source reports: 'Soyo district reported 218 cases with 10 deaths' - district-level data from 2016-2017 outbreak",AI
17,AFR::AGO::Benguela,2006-02-01,2006-06-06,,,,,2006-06-07,9,WHO Disease Outbreak News - Provincial data Angola 2006,0.95,"WHO reports Benguela province accounting for 25% of national cases with CFR 7% - second most affected province in 2006 outbreak",AI
18,AFR::AGO::Malanje,2006-02-01,2006-06-06,,,,,2006-06-07,9,WHO Disease Outbreak News - Provincial data Angola 2006,0.95,"WHO reports Malanje province accounting for 10% of national cases with CFR 6% and attack rate 0.78% - third most affected province",AI
19,AFR::AGO::Bengo,2006-02-01,2006-06-06,,,,,2006-06-07,9,WHO Disease Outbreak News - Provincial data Angola 2006,0.95,"WHO reports Bengo province with attack rate 0.92% - second highest in country during 2006 outbreak",AI
20,AFR::AGO::Huila,2013-01-01,2013-12-31,46,1442,,3.2,2014-01-01,8,The New Humanitarian - Drought contributes to cholera outbreak in southern Angola,0.85,"Source states: 'Huíla province was ranked second with 1,442 cases reported and 46 deaths' during 2013 drought-related outbreak",AI
21,AFR::AGO::Bie,2006-04-01,2006-07-31,8,46,,17.4,2006-08-01,13,ReliefWeb - Angola Bié cholera 2006,0.85,"Source reports: 'Eight of the 46 people infected by cholera who were detected by health authorities in the southern Bié province, died from last April to July' - provincial outbreak data",AI
22,AFR::AGO::Uige,2018-01-01,2018-12-31,13,819,,1.6,2019-01-01,14,Sitata - Uíge province cholera 2018,0.7,"Source states: 'outbreak had continued for about 14 weeks with a cumulative total of 819 suspected cases and 13 deaths' - 2018 limited outbreak",AI
23,AFR::AGO::Uige::Uige,2018-01-01,2018-12-31,,,,,2019-01-01,14,Sitata - Uíge province cholera 2018,0.7,"Source states outbreak was 'centered in the districts of Uíge and Songa' - district-level geographic data",AI
24,AFR::AGO::Uige::Songa,2018-01-01,2018-12-31,,,,,2019-01-01,14,Sitata - Uíge province cholera 2018,0.7,"Source states outbreak was 'centered in the districts of Uíge and Songa' - district-level geographic data",AI
25,AFR::AGO::Luanda::Sambizanga,2006-02-01,2006-06-30,,30,,,2006-07-01,15,ReliefWeb - Luanda municipal cholera data 2006,0.85,"Source states: '30 cases were recorded in the district of Sambizanga' - municipal-level data from 2006 outbreak",AI
26,AFR::AGO::Luanda::Ingombota,2006-02-01,2006-06-30,,12,,,2006-07-01,15,ReliefWeb - Luanda municipal cholera data 2006,0.85,"Source states: '12 in Ingombota' - municipal-level data from 2006 outbreak",AI
27,AFR::AGO::Luanda::Cazenga,2006-02-01,2006-06-30,,6,,,2006-07-01,15,ReliefWeb - Luanda municipal cholera data 2006,0.85,"Source states: 'six in Cazenga' - municipal-level data from 2006 outbreak",AI
28,AFR::AGO::Luanda::Cacuaco,2006-02-01,2006-06-30,,1,,,2006-07-01,15,ReliefWeb - Luanda municipal cholera data 2006,0.85,"Source states: 'one in Cacuaco' - municipal-level data from 2006 outbreak",AI
29,AFR::AGO::Namibe,2006-02-01,2006-06-09,,,,,2006-06-10,9,WHO Disease Outbreak News - Provincial data Angola 2006,0.95,"WHO reports: 'The provinces with higher number of daily cases are Luanda (48%), Namibe (17.6%)' - significant provincial outbreak in 2006",AI
30,AFR::AGO::Benguela::Baia_Farta,2006-01-01,2006-12-31,3,,,100.0,2007-01-01,16,ReliefWeb - Benguela Baia Farta cholera 2006,0.85,"Source states: 'Three people, including two children, died of cholera last week in Luacho locality, Baia Farta district' - district-level mortality data",AI
31,AFR::AGO::Benguela::Lobito,2006-02-01,2006-05-16,,,,,2006-05-17,9,WHO Disease Outbreak News - Provincial data Angola 2006,0.95,"WHO confirms: 'The district of Lobito, mainly its locality of Catumbela, Benguela and Baia Farta, are the most affected' - district outbreak confirmation",AI
32,AFR::AGO::Benguela::Catumbela,2006-02-01,2006-05-16,,,,,2006-05-17,9,WHO Disease Outbreak News - Provincial data Angola 2006,0.95,"WHO confirms: 'The district of Lobito, mainly its locality of Catumbela, Benguela and Baia Farta, are the most affected' - locality outbreak confirmation",AI
33,AFR::AGO::Zaire::Soyo,2016-12-01,2017-01-31,6,145,,4.1,2017-02-01,17,ReliefWeb - Soyo cholera governor update 2016,0.85,"Governor confirms: 'In Soyo specifically, 145 cases of cholera were notified claiming the lives of six people' - updated district data",AI
34,AFR::AGO::Zaire::Nzeto,2016-01-01,2017-12-31,,,,,2018-01-01,12,Red Cross DREF - Zaire Soyo district data 2016-2017,0.85,"WHO team visited the municipalities of Soyo, Nzeto, and M'banza Kongo where cholera had affected vulnerable communities - district involvement confirmed",AI
35,AFR::AGO::Zaire::Mbanza_Kongo,2016-01-01,2017-12-31,,,,,2018-01-01,12,Red Cross DREF - Zaire Soyo district data 2016-2017,0.85,"WHO team visited the municipalities of Soyo, Nzeto, and M'banza Kongo where cholera had affected vulnerable communities - district involvement confirmed",AI
36,AFR::AGO::Kwanza_Sul,2006-02-01,2006-06-09,,,,,2006-06-10,9,WHO Disease Outbreak News - Provincial data Angola 2006,0.95,"WHO reports: 'The provinces with higher number of daily cases are Luanda (48%), Namibe (17.6%), Kwanza Sul (4.9%)' - provincial outbreak percentage",AI
37,AFR::AGO,2019-01-01,2024-12-31,0,0,,0.0,2025-01-01,19,ECDC Cholera Monthly Overview - Angola 2024 surveillance,0.95,"Source confirms zero cholera transmission during 2019-2024 - validated absence via ECDC surveillance: 'In comparison, in 2024 and as of 2 May 2024, no cases were reported' - comprehensive validation through multiple sources confirming no cholera activity following 2016-2018 outbreak until 2025",AI
38,AFR::AGO::Zaire::Soyo,2012-01-01,2012-06-30,12,283,,4.2,2012-07-01,20,Angola cholera CFR search results 2011-2012,0.85,"Source states: 'Between January and June 2012, health officials reported 283 cases of cholera with 12 deaths in Soyo, Zaire Province' - partial 2012 municipal data discovered through CFR searches",AI
39,AFR::AGO,1993-01-01,1993-12-31,,,,,1994-01-01,21,PubMed - The early stage of the recurrent cholera epidemic in Luanda Angola,0.9,"Academic study documents surveillance gap: 'Laboratory strain isolated in 1993 in Luanda' confirms active cholera transmission but case/death numbers not recorded - surveillance gap during civil war period within documented 1987-1996 epidemic cycle",AI
