Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status
1,WHO Disease Outbreak News 2006 Initial,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_10-en,Initial 2006 outbreak report with 30612 cases and 1156 deaths,2006,Outbreak Cases,Active,Level 1,Validated
2,WHO Disease Outbreak News 2006 Update 3,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_06a-en,2006 outbreak update with 41475 cases and 1576 deaths,2006,Outbreak Cases,Active,Level 1,Validated
3,WHO Disease Outbreak News 2006 Update 4,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_09-en,Final 2006 outbreak update with 43076 cases and 1642 deaths,2006,Outbreak Cases,Active,Level 1,Validated
4,WHO Disease Outbreak News 2025,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,Current Angola cholera outbreak 8543 cases 329 deaths,2025,Outbreak Cases,Active,Level 1,Validated
5,WHO AFRO Cholera Flash Update 2,https://www.afro.who.int/countries/angola/publication/who-angola-cholera-flash-update-2,WHO Angola cholera flash update with detailed epidemiological data,2025,Regional Surveillance,Active,Level 1,Validated
6,WHO AFRO Weekly Cholera Bulletin March 2024,https://www.afro.who.int/publications/weekly-regional-cholera-bulletin-4-march-2024,Regional cholera bulletin with Africa-wide surveillance data,2024,Regional Surveillance,Active,Level 1,Validated
7,WHO AFRO Monthly Cholera Bulletin August 2024,https://www.afro.who.int/publications/monthly-regional-cholera-bulletin-august-2024,Monthly regional cholera surveillance bulletin,2024,Regional Surveillance,Active,Level 1,Validated
8,WHO Multi-country Cholera Report February 2025,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250210_multi-country_outbreak-of-cholera_sitrep--23.pdf,Multi-country cholera outbreak situation report,2025,Regional Surveillance,Active,Level 1,Validated
9,UNICEF Angola Humanitarian Report Jan-Jun 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-january-june-2018,Comprehensive humanitarian situation report with cholera data,2018,Humanitarian Response,Active,Level 2,Validated
10,UNICEF Angola Humanitarian Report February 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-february-2018,Monthly humanitarian situation report,2018,Humanitarian Response,Active,Level 2,Validated
11,UNICEF Angola Humanitarian Report April 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-april-2018,Monthly humanitarian situation report,2018,Humanitarian Response,Active,Level 2,Validated
12,UNICEF Angola Humanitarian Report October 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-october-2018,Monthly humanitarian situation report,2018,Humanitarian Response,Active,Level 2,Validated
13,UNICEF Angola Situation Report No 3 Cholera 2025,https://www.unicef.org/documents/unicef-angola-situation-report-no-3-cholera-outbreak-17-february-2025,Current outbreak situation report with vaccination data,2025,Humanitarian Response,Active,Level 2,Validated
14,UNICEF Angola Situation Report No 4 Cholera 2025,https://reliefweb.int/report/angola/unicef-angola-situation-report-no-4-cholera-outbreak-11-march-2025,Current outbreak situation report,2025,Humanitarian Response,Active,Level 2,Validated
15,Frontiers Microbiology Vibrio Study 1992-2006,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00354/full,Molecular epidemiology study of cholera strains 1992-2006,1992-2006,Academic Research,Active,Level 1,Validated
16,PubMed Vibrio cholerae Angola Study,https://pubmed.ncbi.nlm.nih.gov/24348465/,PubMed listing of Angola Vibrio cholerae epidemiological study,1992-2006,Academic Research,Active,Level 1,Validated
17,PMC Cholera Spread Western DRC Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8684622/,Cross-border cholera transmission study including Angola,1973-2018,Academic Research,Active,Level 1,Validated
18,Lancet Angola Cholera Wake-up Call,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(25)00240-5/fulltext,Commentary on Angola cholera outbreak as wake-up call,2025,Academic Commentary,Active,Level 1,Validated
19,The Lancet Global Health Seasonality Study,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(22)00007-9/fulltext,Seasonality of cholera in sub-Saharan Africa study,Multi-year,Academic Research,Active,Level 1,Validated
20,ReliefWeb Angola Cholera Response DREF,https://reliefweb.int/report/angola/angola-cholera-response-dref-operational-update-mdrao011,Red Cross cholera response operational update,2025,Humanitarian Response,Active,Level 2,Validated
21,CIDRAP Cholera News Angola 2025,https://www.cidrap.umn.edu/cholera/cholera-spreading-across-angola-more-8500-cases,News report on current cholera outbreak,2025,News Coverage,Active,Level 3,Validated
22,Cholera Alliance Global News,https://www.choleraalliance.org/en/news/angola-faces-its-most-severe-cholera-outbreak-2006,News coverage of Angola cholera situation,2025,News Coverage,Active,Level 3,Validated
23,WHO Angola Data Management Enhancement,https://www.afro.who.int/countries/angola/news/angola-enhances-data-management-combat-cholera-outbreak,News on Angola cholera surveillance capacity building,2025,Surveillance Enhancement,Active,Level 1,Validated
24,WHO Angola Cholera Response Strengthening,https://www.afro.who.int/countries/angola/news/cholera-outbreak-angola-strengthening-response-capacity-and-promoting-community-resilience,News on Angola cholera response capacity,2025,Surveillance Enhancement,Active,Level 1,Validated
25,WHO Angola Cholera Preparedness,https://www.afro.who.int/countries/angola/news/angola-reinforces-cholera-preparedness-and-response-measures,News on Angola cholera preparedness measures,2025,Surveillance Enhancement,Active,Level 1,Validated
