Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO AFRO Cholera Outbreak After-Action Review ZAF 2023,https://www.afro.who.int/countries/south-africa/news/cholera-outbreak-response-and-after-action-review,WHO AFRO report on South Africa 2023 cholera outbreak response and after-action review with final case statistics,2023-02-01 to 2023-07-31,Outbreak Report,Active,Level 1,Validated,WebSearch+WebFetch,English,1,WHO AFRO Rapid Response Report,Direct Discovery,AI
2,WHO AFRO Rapid Response Ends Cholera Outbreak ZAF 2023,https://www.afro.who.int/countries/south-africa/news/rapid-response-ends-cholera-outbreak,WHO AFRO documentation of successful containment of South Africa 2023 cholera outbreak with detailed statistics,2023-02-01 to 2023-07-31,Outbreak Report,Active,Level 1,Validated,WebFetch,English,1,WHO AFRO AAR ZAF 2023,Direct Discovery,AI
3,SA Government Health Update Cholera Outbreak June 2023,https://www.gov.za/speeches/health-update-response-cholera-outbreak-south-africa-8-jun-2023-0000,South African Government official health update on cholera outbreak response with provincial breakdown as of June 8 2023,2023-02-01 to 2023-06-08,Government Report,Active,Level 1,Validated,WebSearch+WebFetch,English,1,WHO AFRO AAR ZAF 2023,Direct Discovery,AI
4,CDC Emerging Infectious Diseases Imported Cholera South Africa 2023,https://wwwnc.cdc.gov/eid/article/29/8/23-0750_article,CDC EID article on imported cholera cases in South Africa February 2023 with detailed case investigation,2023-02-01 to 2023-02-28,Academic/Peer-reviewed,Active,Level 1,Validated,WebSearch+WebFetch,English,2,WHO AFRO AAR ZAF 2023,Direct Discovery,AI
5,WHO AFRO Swift Response Imported Cholera Limpopo 2024,https://www.afro.who.int/countries/south-africa/news/who-south-africas-swift-response-imported-cholera-cases-limpopo-province,WHO AFRO documentation of imported cholera cases in Limpopo and Gauteng provinces January 2024,2024-01-16 to 2024-01-20,Outbreak Report,Active,Level 1,Validated,WebSearch+WebFetch,English,1,WHO AFRO ZAF 2024,Direct Discovery,AI
6,TimesLive South Africa Cholera Cases February 2024,https://www.timeslive.co.za/news/south-africa/2024-02-05-cholera-on-the-rise-with-46-suspected-five-lab-confirmed-cases/,News report on South Africa cholera situation early 2024 with 46 suspected and 5 confirmed cases from health minister statement,2024-01-01 to 2024-02-01,News Media,Active,Level 3,Validated,WebSearch+WebFetch,English,2,WHO AFRO ZAF 2024,Direct Discovery,AI
7,CDC EID Emergence Vibrio cholerae ST75 South Africa 2018-2020,https://wwwnc.cdc.gov/eid/article/27/11/21-1144_article,CDC EID article documenting genomic surveillance of V. cholerae strains in South Africa 2018-2020 with confirmation of zero cases 2015-2017,2015-01-01 to 2020-01-31,Academic/Peer-reviewed,Active,Level 1,Validated,WebSearch+WebFetch,English,2,NICD ZAF surveillance,Direct Discovery,AI
8,WHO Disease Outbreak News Cholera South Africa 2000 Update 8,https://www.who.int/emergencies/disease-outbreak-news/item/2000_12_06-en,WHO Disease Outbreak News update 8 on South Africa KwaZulu-Natal cholera outbreak with 6548 cases as of December 5 2000,2000-08-01 to 2000-12-05,WHO Disease Outbreak News,Active,Level 1,Validated,WebSearch+WebFetch,English,1,WHO DON ZAF 2000-2001,Direct Discovery,AI
9,WHO Disease Outbreak News Cholera South Africa 2001 Update 13,https://www.who.int/emergencies/disease-outbreak-news/item/2001_01_26-en,WHO Disease Outbreak News update 13 on South Africa KwaZulu-Natal cholera with 27431 cases as of January 25 2001,2000-08-01 to 2001-01-25,WHO Disease Outbreak News,Active,Level 1,Validated,WebSearch+WebFetch,English,1,WHO DON ZAF 2000-2001,Direct Discovery,AI
10,WHO Disease Outbreak News Cholera South Africa 2001 Update 16,https://www.who.int/emergencies/disease-outbreak-news/item/2001_02_23-en,WHO Disease Outbreak News update 16 on South Africa KwaZulu-Natal cholera with 56092 cases as of February 23 2001,2000-08-01 to 2001-02-23,WHO Disease Outbreak News,Active,Level 1,Validated,WebSearch+WebFetch,English,1,WHO DON ZAF 2000-2001,Direct Discovery,AI
