Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::ZAF,2023-02-01,2023-07-31,47,1290,199,3.6,2023-08-01,1,WHO AFRO Cholera Regional Reports 2023,1.0,"Source states: '1290 suspect cholera cases (199 confirmed cases) and 47 deaths (20 among confirmed cases) reported nationally since 1 February 2023' - interpreted as sCh=1290 suspect cases, cCh=199 confirmed cases, deaths=47"
2,AFR::ZAF::Gauteng,2023-02-01,2023-07-31,43,1188,,3.6,2023-06-08,6,South Africa Government Health Department,1.0,"Source states: 'Gauteng remains the hardest-hit province at 89%, with 176 cases reported in three districts' and 'Gauteng which accounts for at least 92% or 152 cases' - calculated as ~92% of 1290 national cases = 1188 cases"
3,AFR::ZAF::KwaZulu-Natal,2000-08-15,2001-03-05,131,62607,,0.2,2001-03-05,2,WHO Disease Outbreak News South Africa Historical,1.0,"Source states: 'the Kwazulu-Natal Department of Health has reported 62 607 cases and 131 deaths since the start of the outbreak in mid-August 2000' - interpreted as sCh=62607 cases, deaths=131"
4,AFR::ZAF,2003-01-01,2003-03-28,,2362,,,2003-04-01,2,WHO Disease Outbreak News South Africa Historical,1.0,"Source states: 'From 1 January to 28 March 2003, the cumulative number of reported cholera cases in South Africa is 2362' - interpreted as sCh=2362 cases"
5,AFR::ZAF::Mpumalanga,2003-04-26,2003-05-18,3,174,,1.7,2003-05-20,2,WHO Disease Outbreak News South Africa Historical,1.0,"Source states: 'From 26 April to 18 May, the cumulative number of suspected and confirmed cholera cases is 174 with 3 deaths (case fatality ratio 1.7%)' - interpreted as sCh=174 cases, deaths=3"
6,AFR::ZAF,1980-01-01,1987-12-31,353,25251,,1.4,1988-01-01,4,PubMed Cholera Epidemic South Africa 1980s,1.0,"Source states: 'During the cholera epidemic in South Africa, 1980-1987, 25,251 cases of cholera were bacteriologically proven. The case-fatality rate was 1.4%' - interpreted as sCh=25251 cases, calculated deaths=353 (1.4% of 25251)"
7,AFR::ZAF,2008-11-01,2009-01-31,,6000,,,2009-02-01,1,WHO AFRO Cholera Regional Reports 2023,0.8,"Source states: 'By late January 2009 some 6,000 cases of cholera had been reported in South Africa, nearly half of which occurred in Limpopo province, near the Zimbabwe border' - interpreted as sCh=6000 cases from cross-border transmission"
8,AFR::ZAF::Free_State,2023-02-01,2023-06-08,1,103,,1.0,2023-06-08,6,South Africa Government Health Department,1.0,"Source states: 'Free State Province accounts for 5% which translates into 9 cases' and later 'Free State accounts for 6%, with 11 cases' - using most recent count and calculated as ~8% of national total = 103 cases"
9,AFR::ZAF::KwaZulu-Natal,2000-08-15,2001-06-30,220,100000,,0.22,2001-07-01,7,PMC KwaZulu-Natal Climate Cholera Study,1.0,"Source states: 'A cholera epidemic that took place in KwaZulu-Natal province, South Africa, in 2000–2001 resulted in over 100,000 cases, however, an effective public health response limited the case-fatality ratio to 0.22%' - interpreted as sCh=100000 cases, calculated deaths=220"
10,AFR::ZAF::Limpopo,2024-01-16,2024-01-20,0,2,,0.0,2024-01-21,8,WHO Regional Office Africa 2024 Reports,1.0,"Source states: 'Two laboratory-confirmed cholera cases were detected in Limpopo, both imported from Zimbabwe. The first case was a 43-year-old male in the Musina sub-district, and the second was a 27-year-old man' - interpreted as cCh=2 confirmed cases"
