Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO AFRO Cholera Regional Reports 2023,https://www.afro.who.int/countries/south-africa/news/rapid-response-ends-cholera-outbreak,WHO African Region cholera surveillance and outbreak response documentation for South Africa 2023,2023-02-01 to 2023-07-31,Surveillance_Data,Validated,Level_1,Validated,WebSearch_Systematic,English,1,WHO_Disease_Outbreak_News,TIER_1_Priority_Source
2,WHO Disease Outbreak News South Africa Historical,https://www.who.int/emergencies/disease-outbreak-news/item/2001_03_05-en,WHO historical disease outbreak news reports for South Africa cholera outbreaks,2000-2003,Outbreak_Reports,Validated,Level_1,Validated,WebSearch_Systematic,English,1,WHO_Weekly_Bulletins,TIER_1_Priority_Source
3,CDC Emerging Infectious Diseases 2023 South Africa,https://wwwnc.cdc.gov/eid/article/29/8/23-0750_article,CDC peer-reviewed analysis of imported cholera cases in South Africa with genomic characterization,2023-02-01 to 2023-02-28,Academic_Research,Validated,Level_1,Validated,WebSearch_Systematic,English,2,PMC_Database,TIER_1_Priority_Source
4,PubMed Cholera Epidemic South Africa 1980s,https://pubmed.ncbi.nlm.nih.gov/2024209/,Epidemiological analysis of cholera epidemic in South Africa 1980-1987 with case fatality analysis,1980-1987,Academic_Research,Validated,Level_1,Validated,WebSearch_Systematic,English,2,Historical_Surveillance,TIER_1_Priority_Source
5,NICD South Africa Cholera Surveillance,https://www.nicd.ac.za/cholera-dashboard/,National Institute for Communicable Diseases cholera surveillance dashboard and outbreak monitoring,2023-2024,Surveillance_Data,Validated,Level_1,Validated,WebSearch_Systematic,English,1,Department_of_Health,TIER_1_Priority_Source
6,South Africa Government Health Department,https://www.gov.za/news/media-statements/health-update-response-cholera-outbreak-south-africa-08-jun-2023,Official government health department outbreak response updates and case count documentation,2023-02-01 to 2023-06-08,Government_Reports,Validated,Level_1,Validated,WebSearch_Systematic,English,1,Provincial_Health_Departments,TIER_1_Priority_Source
7,PMC KwaZulu-Natal Climate Cholera Study,https://www.sciencedirect.com/science/article/abs/pii/S1438463907000417,Academic research on climate and cholera relationships in KwaZulu-Natal with epidemiological data,2000-2001,Academic_Research,Validated,Level_1,Validated,WebSearch_Systematic,English,2,Climate_Environmental_Studies,TIER_2_Academic_Source
8,WHO Regional Office Africa 2024 Reports,https://www.afro.who.int/countries/south-africa/news/who-south-africas-swift-response-imported-cholera-cases-limpopo-province,WHO documentation of 2024 imported cholera cases in Limpopo Province from Zimbabwe,2024-01-16 to 2024-01-20,Surveillance_Data,Validated,Level_1,Validated,WebSearch_Systematic,English,1,Cross_Border_Surveillance,TIER_1_Priority_Source
9,PubMed Molecular Epidemiology 2008-2009,https://pubmed.ncbi.nlm.nih.gov/24101643/,Laboratory analysis and molecular characterization of 720 Vibrio cholerae strains from South Africa outbreak,2008-11-01 to 2009-04-30,Academic_Research,Validated,Level_1,Validated,WebSearch_Systematic,English,3,Molecular_Surveillance,TIER_1_Priority_Source
10,ReliefWeb UNICEF South Africa Response,https://www.unicef.org/southafrica/stories/race-against-time-contain-cholera-outbreak-and-save-lives,UNICEF humanitarian response documentation and case tracking for 2023 outbreak,2023-05-01 to 2023-07-31,Humanitarian_Reports,Validated,Level_2,Validated,WebSearch_Systematic,English,1,UNICEF_Response,TIER_2_Humanitarian_Source
11,Mpumalanga Health Cholera Update 2009,https://www.gov.za/news/mpumalanga-health-cholera-update-12-feb-2009,Official Mpumalanga provincial health department outbreak statistics and municipal breakdown,2008-11-01 to 2009-04-30,Government_Reports,Validated,Level_1,Validated,WebSearch_Geographic,English,1,Provincial_Health_Departments,TIER_1_Provincial_Source
12,ASM Journal Clinical Microbiology Mpumalanga 2008,https://journals.asm.org/doi/10.1128/jcm.00293-11,Laboratory analysis of multidrug-resistant V. cholerae outbreak strains in Mpumalanga 2008,2008-05-01 to 2008-07-31,Academic_Research,Validated,Level_1,Validated,WebSearch_Geographic,English,3,Laboratory_Surveillance,TIER_1_Academic_Source
13,Nelson Mandela Bay Municipality 2023,https://www.dailymaverick.co.za/article/2023-12-12-cholera-case-confirmed-in-nelson-mandela-bay-sewage-spill-may-be-the-cause/,Municipal health services cholera case notification and environmental investigation,2023-12-07 to 2023-12-12,Municipal_Reports,Validated,Level_2,Validated,WebSearch_Geographic,English,1,Municipal_Health_Services,TIER_2_Municipal_Source
14,Free State Insider Cholera Cases 2023,https://theinsider.co.za/2023/05/24/cholera-cases-continue-to-climb-in-free-state-province/,Free State provincial cholera outbreak coverage focusing on Fezile Dabi District Municipality,2023-05-17 to 2023-05-24,Provincial_Reports,Validated,Level_2,Validated,WebSearch_Geographic,English,1,Provincial_Media,TIER_2_Provincial_Source
15,North West Health Rustenburg Cholera 2025,https://newsnote.co.za/north-west-health-confirms-a-case-of-cholera-in-rustenburg/,North West Department of Health cholera case confirmation and outbreak response in Rustenburg,2025-04-05 to 2025-04-07,Government_Reports,Validated,Level_1,Validated,WebSearch_Geographic,English,1,Provincial_Health_Departments,TIER_1_Provincial_Source
16,Polity Limpopo Musina Cholera 2023,https://www.polity.org.za/article/limpopo-records-first-cholera-case-as-zimbabwean-national-is-admitted-to-musina-hospital-2023-05-31,Limpopo provincial health cholera case documentation for Musina Hospital cross-border case,2023-05-31 to 2023-05-31,Government_Reports,Validated,Level_1,Validated,WebSearch_Geographic,English,1,Provincial_Health_Departments,TIER_1_Provincial_Source
17,CDC Emerging Infectious Diseases NICD Surveillance 2015-2017,https://wwwnc.cdc.gov/eid/article/27/11/21-1144_article,CDC publication documenting NICD cholera surveillance data showing zero cases 2015-2017,2015-01-01 to 2017-12-31,Academic_Research,Validated,Level_1,Validated,WebSearch_ZeroTransmission,English,2,NICD_Surveillance,TIER_1_Academic_Source
