Index,Location,TL,TR,Primary,Phantom,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,quality_status,extraction_method,processing_notes
1,AFR::AGO,2025-01-01,2025-03-23,true,false,329,8543,,3.9,2025-03-28,1,WHO Disease Outbreak News 2025 Angola,1.0,VALIDATED,Direct extraction,16 of 21 provinces affected
2,AFR::AGO::Luanda,2025-01-01,2025-03-23,true,false,,4143,,,,2025-03-28,1,WHO Disease Outbreak News 2025 Angola,1.0,VALIDATED,Direct extraction,48.5% of total cases
3,AFR::AGO::Bengo,2025-01-01,2025-03-23,true,false,,2485,,,,2025-03-28,1,WHO Disease Outbreak News 2025 Angola,1.0,VALIDATED,Direct extraction,29.1% of total cases
4,AFR::AGO,2025-01-01,2025-03-20,true,false,298,7950,,3.8,2025-03-20,2,WHO AFRO Angola Data Management 2025,1.0,VALIDATED,Direct extraction,14 provinces affected - 95% cases in 3 adjacent provinces
5,AFR::AGO,2006-02-19,2006-05-08,true,false,1156,30612,,3.8,2006-05-10,3,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Direct extraction,Outbreak period Feb 19 - May 8
6,AFR::AGO::Luanda,2006-02-19,2006-05-08,true,false,,15306,,1.0,2006-05-10,3,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Calculated from percentage,50% of cases in Luanda
7,AFR::AGO::Benguela,2006-02-19,2006-05-08,true,false,,7653,,7.0,2006-05-10,3,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Calculated from percentage,25% of cases in Benguela
8,AFR::AGO::Malanje,2006-02-19,2006-05-08,true,false,,3061,,6.0,2006-05-10,3,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Calculated from percentage,10% of cases in Malanje
9,AFR::AGO::Kwanza Norte,2006-02-19,2006-05-08,true,false,,3061,,5.0,2006-05-10,3,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Calculated from percentage,10% of cases in Kwanza Norte
10,AFR::AGO,2006-02-19,2006-05-31,true,false,1576,41475,,3.8,2006-06-06,4,WHO Disease Outbreak News 2006 Update 2,1.0,VALIDATED,Direct extraction,13 of 18 provinces affected
11,AFR::AGO::Luanda,2006-02-19,2006-05-31,true,false,,21152,,,,2006-06-06,4,WHO Disease Outbreak News 2006 Update 2,1.0,VALIDATED,Calculated from percentage,51% of cases in Luanda
12,AFR::AGO::Benguela,2006-02-19,2006-05-31,true,false,,7880,,,,2006-06-06,4,WHO Disease Outbreak News 2006 Update 2,1.0,VALIDATED,Calculated from percentage,19% of cases in Benguela
13,AFR::AGO,2006-02-19,2006-06-09,true,false,1642,43076,,3.8,2006-06-09,5,WHO Disease Outbreak News 2006 Update 3,1.0,VALIDATED,Direct extraction,14 of 18 provinces affected
14,AFR::AGO::Luanda,2006-02-19,2006-06-09,true,false,,21969,,,,2006-06-09,5,WHO Disease Outbreak News 2006 Update 3,1.0,VALIDATED,Calculated from percentage,51% of cases in Luanda
15,AFR::AGO::Benguela,2006-02-19,2006-06-09,true,false,,7754,,,,2006-06-09,5,WHO Disease Outbreak News 2006 Update 3,1.0,VALIDATED,Calculated from percentage,18% of cases in Benguela
16,AFR::AGO,2006-02-13,2006-05-26,true,false,1451,39267,,4.0,2006-05-26,6,UNICEF Angola Situation Report 2006,0.9,VALIDATED,Direct extraction,35% cases children under 5 years
17,AFR::AGO,2017-01-01,2017-06-30,true,false,24,455,,,2017-06-30,7,UNICEF Angola Humanitarian Report 2017,0.9,VALIDATED,Direct extraction,Outbreak began December 2016
18,AFR::AGO::Luanda,2017-01-01,2017-06-30,true,false,,1,,,2017-06-30,7,UNICEF Angola Humanitarian Report 2017,0.9,VALIDATED,Direct extraction,1 case in Luanda
19,AFR::AGO::Zaire,2017-01-01,2017-06-30,true,false,10,218,,,2017-06-30,7,UNICEF Angola Humanitarian Report 2017,0.9,VALIDATED,Direct extraction,Soyo municipality 218 cases
20,AFR::AGO::Cabinda,2017-01-01,2017-06-30,true,false,14,236,,,2017-06-30,7,UNICEF Angola Humanitarian Report 2017,0.9,VALIDATED,Direct extraction,236 cases 14 deaths Cabinda
21,AFR::AGO,2018-01-01,2018-06-30,true,false,15,890,,,2018-06-30,8,UNICEF Angola Humanitarian Report 2018,0.9,VALIDATED,Direct extraction,Affected provinces Uige Cabinda Luanda
22,AFR::AGO::Luanda,2018-05-01,2018-06-30,true,false,6,33,3,,2018-06-30,8,UNICEF Angola Humanitarian Report 2018,0.9,VALIDATED,Direct extraction,New outbreak declared May 2018
23,AFR::AGO,2013-02-01,2013-04-30,true,false,8,610,,,2013-04-30,9,Frontiers Angola V. cholerae Study 1992-2006,0.8,VALIDATED,Direct extraction,Academic study data February-April 2013
24,AFR::AGO,1987-04-01,1996-12-31,true,false,1460,16000,,,1996-12-31,9,Frontiers Angola V. cholerae Study 1992-2006,0.8,VALIDATED,Historical synthesis,Major epidemic 1987 started northeast spread all 18 provinces
25,AFR::AGO,2006-02-13,2006-04-07,true,false,205,4500,,,2006-04-07,10,MSF Angola Cholera Response 2006,0.8,VALIDATED,Direct extraction,Official numbers as of April 7 outbreak declared Feb 13
26,AFR::AGO::Luanda,2006-02-13,2006-04-07,true,false,,2500,,,2006-04-07,10,MSF Angola Cholera Response 2006,0.8,VALIDATED,Direct extraction,Over 2500 patients treated in MSF centers
27,AFR::AGO::Cuanza Norte,2006-02-13,2006-04-07,true,false,49,500,,,2006-04-07,10,MSF Angola Cholera Response 2006,0.8,VALIDATED,Direct extraction,500 cases 49 deaths Cuanza Norte
28,AFR::AGO::Benguela,2006-02-13,2006-04-07,true,false,63,676,,,2006-04-07,10,MSF Angola Cholera Response 2006,0.8,VALIDATED,Direct extraction,676 cases 63 deaths Benguela
29,AFR::AGO::Bengo,2006-02-13,2006-04-07,true,false,33,790,,,2006-04-07,10,MSF Angola Cholera Response 2006,0.8,VALIDATED,Direct extraction,790 cases 33 deaths Bengo
30,AFR::AGO,1973-01-01,1973-12-31,true,false,,,,,,11,PMC DRC-Angola Cross-border Study,0.8,VALIDATED,Historical reference,Cross-border transmission from Angola to DRC Kongo Central
31,AFR::AGO,1977-01-01,1977-12-31,true,false,,,,,,11,PMC DRC-Angola Cross-border Study,0.8,VALIDATED,Historical reference,Cross-border transmission from Angola to DRC Kongo Central
32,AFR::AGO::Luanda,1971-12-01,1971-12-31,true,false,,,,,,11,PMC DRC-Angola Cross-border Study,0.7,PROVISIONAL,Historical reference,Initial wave from West African coast
33,AFR::AGO::Luanda,1992-01-01,1992-03-31,true,false,,350,57,,1992-03-31,12,PubMed Luanda Early 1990s Study,0.8,VALIDATED,Direct extraction,Luanda province Q1 1992 recurring epidemic rainy season
34,AFR::AGO,2010-01-01,2010-12-31,true,false,,1484,,,2010-12-31,13,WHO GHO Annual Surveillance Data,1.0,VALIDATED,WHO GHO database,WHO annual surveillance data 2010
35,AFR::AGO,2011-01-01,2011-12-31,true,false,,1810,,,2011-12-31,13,WHO GHO Annual Surveillance Data,1.0,VALIDATED,WHO GHO database,WHO annual surveillance data 2011
36,AFR::AGO,2012-01-01,2012-12-31,true,false,,1215,,,2012-12-31,13,WHO GHO Annual Surveillance Data,1.0,VALIDATED,WHO GHO database,WHO annual surveillance data 2012
37,AFR::AGO,2013-01-01,2013-12-31,true,false,,6655,,,2013-12-31,13,WHO GHO Annual Surveillance Data,1.0,VALIDATED,WHO GHO database,WHO annual surveillance data 2013
38,AFR::AGO,2014-01-01,2014-12-31,true,false,,213,,,2014-12-31,13,WHO GHO Annual Surveillance Data,1.0,VALIDATED,WHO GHO database,WHO annual surveillance data 2014
39,AFR::AGO,2016-01-01,2016-12-31,true,false,,78,,,2016-12-31,13,WHO GHO Annual Surveillance Data,1.0,VALIDATED,WHO GHO database,WHO annual surveillance data 2016
40,AFR::AGO,2025-01-07,2025-01-26,true,false,45,1081,,,2025-01-26,14,WHO Angola Flash Update 2 January 2025,1.0,VALIDATED,Direct extraction,CFR 4.2% 6 provinces affected 28 municipalities
41,AFR::AGO::Luanda,2025-01-07,2025-01-26,true,false,,748,,,2025-01-26,14,WHO Angola Flash Update 2 January 2025,1.0,VALIDATED,Direct extraction,Most affected province first case Cacuaco Municipality
42,AFR::AGO::Luanda::Cazenga,2006-02-01,2006-05-22,true,false,32,2615,,,2006-05-22,15,ReliefWeb Cazenga Cholera 2006,0.9,VALIDATED,Direct extraction,Densely populated district nearly 1 million residents
