Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO Multi-Country Cholera Outbreak Reports 2024-2025,https://www.who.int/publications/m/item/multi-country-cholera-outbreak--external-situation-report--24--20-march-2025,WHO surveillance reports confirming countries reporting cholera outbreaks - CIV absent,2024-2025,Surveillance,Validated,Level_1,Confirmed,WebSearch_systematic,English,1,WHO_AFRO_bulletins,Priority_source_WHO
2,PubMed Five Years Cholera Surveillance Ivory Coast 2001-2005,https://pubmed.ncbi.nlm.nih.gov/19583033/,Comprehensive surveillance study during political crisis period with detailed outbreak data,2001-2005,Research,Validated,Level_1,Confirmed,WebSearch_academic,English,2,Institut_Pasteur_reports,Academic_database_search
3,WHO Disease Outbreak News 2002 Cholera Côte d'Ivoire,https://www.who.int/emergencies/disease-outbreak-news/item/2002_08_13a-en,WHO official outbreak report with case and death counts,2002,Surveillance,Validated,Level_1,Confirmed,WebSearch_WHO_archives,English,1,WHO_country_reports,WHO_institutional_search
4,ReliefWeb Cholera Outbreak Côte d'Ivoire 2011,https://reliefweb.int/report/côte-divoire/cholera-outbreak-côte-divoire,Humanitarian response documentation of Abidjan outbreak with detailed statistics,2011,Humanitarian,Validated,Level_2,Confirmed,WebSearch_humanitarian,English,1,UNICEF_response_reports,ReliefWeb_systematic_search
5,WHO Weekly Epidemiological Record Cholera 2014,Multiple WHO WER sources,Official WHO surveillance data for 2014 multi-district outbreak,2014,Surveillance,Validated,Level_1,Confirmed,WebSearch_WHO_WER,English,1,WHO_AFRO_regional_reports,WHO_systematic_module
6,Côte d'Ivoire Ministry of Health Press Release 2025,https://web.sante.gouv.ci/actualite/231,Official government announcement of 2025 outbreak in Abidjan with case fatality data,2025,Official_government,Validated,Level_1,Confirmed,WebSearch_French_language,French,1,INSP_surveillance_reports,Ministry_health_search
7,Institut Pasteur Abidjan Laboratory Reports 2001-2025,Multiple laboratory sources,Vibrio cholerae laboratory confirmation and strain analysis across multiple outbreaks,2001-2025,Laboratory,Validated,Level_1,Confirmed,WebSearch_cross_reference,French/English,2,Academic_research_citations,Citation_network_following
8,WHO AFRO Regional Cholera Surveillance System,https://www.afro.who.int/health-topics/disease-outbreaks/cholera-who-african-region,Regional surveillance framework showing CIV surveillance integration and reporting patterns,2001-2025,Surveillance,Validated,Level_1,Confirmed,WebSearch_WHO_regional,English,1,Country_specific_WHO_reports,Regional_surveillance_search
9,African Cholera Surveillance Network Africhol Reports,https://pubmed.ncbi.nlm.nih.gov/28813542/,Multi-country surveillance network with CIV participation and Institut Pasteur Abidjan involvement,2009-2015,Research,Validated,Level_1,Confirmed,WebSearch_academic_network,English,2,Multi_country_surveillance_studies,Academic_consortium_search
10,West Africa Regional Cholera Epidemic 2005 Documentation,https://press.un.org/en/2005/afr1240.doc.htm,UN documentation of West Africa cholera epidemic with country-specific case and death data,2005,Surveillance,Validated,Level_2,Confirmed,WebSearch_regional_context,English,1,UN_OCHA_regional_reports,Cross_border_validation_search
11,Lancet Cholera Seasonality Sub-Saharan Africa Study,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(22)00007-9/fulltext,Statistical modeling study showing unique CIV seasonal patterns vs neighboring countries,2000-2020,Research,Validated,Level_1,Confirmed,WebSearch_academic_modeling,English,3,Climate_cholera_correlation_studies,Academic_database_systematic_search
12,WHO Global Cholera Update 1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22a-en,WHO surveillance report documenting 1995 cholera outbreak with detailed case and death statistics,1995,Surveillance,Validated,Level_1,Confirmed,WebSearch_WHO_historical,English,1,WHO_disease_outbreak_news,WHO_systematic_historical_search
13,West Africa Regional Cholera Epidemic Synchrony Study,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-7-20,Academic research on regional cholera transmission patterns and climate synchrony in Gulf of Guinea,1989-2004,Research,Validated,Level_1,Confirmed,WebSearch_academic_regional,English,2,Climate_variability_cholera_studies,Academic_database_search
14,WHO Global Health Observatory Cholera Surveillance Data 1990s,https://apps.who.int/gho/athena/data/xmart.csv,WHO official surveillance database with annual cholera case numbers for African countries,1991-1994,Surveillance,Validated,Level_1,Confirmed,WebSearch_WHO_GHO,English,1,WHO_annual_surveillance_reports,WHO_systematic_database_search
15,Community-Based Surveillance Côte d'Ivoire Guinea Border 2016,https://pubmed.ncbi.nlm.nih.gov/32004127/,MoH community-based surveillance project in 3 districts along Guinea border with quantitative signal reporting,2016,Surveillance,Validated,Level_1,Confirmed,WebSearch_systematic_PubMed,English,2,MoH_surveillance_reports,Agent_2_geographic_expansion
16,Academic Study Epidemic Silence Côte d'Ivoire Post-Conflict 2005-2014,https://www.researchgate.net/publication/370500142_Entre_le_silence_epidemique_et_le_bruit_des_bulldozers_Le_cholera_au_temps_de_l_Emergence_economique_en_Cote_d'Ivoire,Academic analysis of epidemic silence institutional practice and surveillance gaps in post-conflict Côte d'Ivoire,2005-2014,Research,Validated,Level_1,Confirmed,WebSearch_academic_ResearchGate,French,3,Post_conflict_health_systems_studies,Agent_3_zero_transmission_validation
17,Africhol Network Surveillance Sensitivity Study Côte d'Ivoire,https://pubmed.ncbi.nlm.nih.gov/28813542/,Academic study documenting CIV case definition sensitivity 46.5% (lowest among 7 countries in Africhol network),2009-2015,Research,Validated,Level_1,Confirmed,WebSearch_academic_PubMed,English,2,Multi_country_surveillance_validation_studies,Agent_3_surveillance_limitations_validation
18,Post-Conflict Health System Reconstruction Analysis Côte d'Ivoire 2005-2012,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4271234/,Comprehensive academic analysis of post-conflict health system reconstruction challenges and surveillance capacity impacts,2005-2012,Research,Validated,Level_1,Confirmed,WebSearch_academic_PMC,English,3,Post_conflict_surveillance_system_studies,Agent_3_surveillance_capacity_assessment
19,IPCI 2012 Cholera Mission Report Water Sampling Study,https://plateformecholera.info/index.php/rapport-mission-cholera-institut-pasteur-cote-divoire-2012,Institut Pasteur Côte d'Ivoire comprehensive water sampling study following 2011 cholera outbreak with 362 samples from wells lagoons and wastewater,2012,Laboratory,Validated,Level_1,Confirmed,WebSearch_systematic_cholera_platform,French,2,Environmental_surveillance_studies,Agent_4_obscure_source_expansion
20,Archives Nationales d'Outre-Mer French Colonial Medical Records,https://archives-nationales-outre-mer.culture.gouv.fr,French colonial medical archives 1925-1961 covering 40+ countries including Côte d'Ivoire health services with 1970-1971 West Africa cholera outbreak documentation,1925-1971,Archive,Validated,Level_1,Confirmed,WebSearch_historical_archives,French,1,Colonial_medical_archives,Agent_4_archival_sources
