Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO Disease Outbreak News 1996 Global Cholera Update,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22a-en,WHO Disease Outbreak News reporting on the 1995 cholera outbreak in Côte d'Ivoire with cases and deaths up to November 12 1995,1995-09-18 to 1995-11-12,Outbreak Report,Active,Level 1,Validated,Web search and direct URL fetch,English,1,WHO AFRO surveillance,Web search,AI
2,WHO Disease Outbreak News 2001 Cholera in West Africa,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_26-en,WHO Disease Outbreak News dated September 26 2001 reporting cholera outbreak in Côte d'Ivoire with national and Abidjan-specific case counts,2001-05-01 to 2001-09-26,Outbreak Report,Active,Level 1,Validated,Web search and direct URL fetch,English,1,JHU annual totals,Web search,AI
3,WHO Disease Outbreak News 2002 Cholera in Côte d'Ivoire,https://www.who.int/emergencies/disease-outbreak-news/item/2002_08_13a-en,WHO Disease Outbreak News dated August 13 2002 reporting 581 cases and 19 deaths across 11 districts as of July 14 2002,2002-01-01 to 2002-07-14,Outbreak Report,Active,Level 1,Validated,Web search and direct URL fetch,English,1,JHU annual 2002 data,Web search,AI
4,Cholera Incidence and Mortality in Sub-Saharan African Sites during Multi-country Surveillance - Africhol Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC4871502/,Peer-reviewed PLOS NTD study reporting Africhol network surveillance data for Côte d'Ivoire including Koumassi-Port Bouet-Vridi district and Adiake prefecture 2011-2013,2012-05-01 to 2013-12-31,Academic Surveillance Study,Active,Level 1,Validated,Web search and direct URL fetch,English,2,Africhol consortium,Web search,AI
5,UNICEF Report 2011 Cholera Outbreak Abidjan Adjamé,https://m.reliefweb.int/report/382462,UNICEF report on January 2011 cholera outbreak in Adjamé district Abidjan with 35 confirmed cases 7 deaths and subsequent spread to 41 total cases 8 deaths by January 31 2011,2011-01-01 to 2011-01-31,Humanitarian Report,Active,Level 2,Validated,Web search,English,1,JHU 2011 national data,Web search,AI
6,IFRC Cholera Côte d'Ivoire Red Cross Response 2025,https://www.ifrc.org/article/cholera-cote-divoire-bustling-waterside-hub-red-cross-takes-cholera,IFRC report on 2025 cholera outbreak in Vridi Akobrate Abidjan reporting 491 cases and 20 deaths as of August 3 2025 following initial detection in May 2025,2025-05-25 to 2025-08-03,Humanitarian Report,Active,Level 2,Validated,Web search and direct URL fetch,English,1,WHO AFRO June 2025 bulletin,Web search,AI
7,Africanews Report Ivory Coast Cholera Outbreak June 2025,https://www.africanews.com/2025/06/06/ivory-coast-announces-cholera-outbreak-after-7-deaths/,News report on official announcement of 2025 cholera outbreak in Vridi Akobrate with 45 cases and 7 deaths as of June 6 2025; laboratory confirmed by Institut Pasteur CIV,2025-05-25 to 2025-06-06,News Report,Active,Level 3,Validated,Web search and direct URL fetch,English,1,INHP official announcement,Web search,AI
8,UNICEF Press Release 80000 Children at Risk Cholera West Central Africa 2025,https://www.unicef.org/press-releases/80000-children-high-risk-cholera-outbreaks-spread-across-12-countries-west-and,UNICEF press release dated July 30 2025 reporting 322 cases and 15 deaths in Côte d'Ivoire as of July 14 2025,2025-05-25 to 2025-07-14,UN Agency Report,Active,Level 2,Validated,Web search,English,1,IFRC August 2025 total,Web search,AI
9,Five Years of Cholera Surveillance in Ivory Coast 2001-2005 PubMed,https://pubmed.ncbi.nlm.nih.gov/19583033/,Peer-reviewed academic study (Seydi et al 2009) documenting comprehensive cholera surveillance in Côte d'Ivoire 2001-2005 totaling 11874 cases 564 deaths CFR 4.7% with Abidjan accounting for 60% of cases,2001-01-01 to 2005-12-31,Academic Surveillance Study,Active,Level 1,Validated,Web search,French,2,WHO annual data JHU,Web search,AI
10,WHO AFRO Monthly Cholera Bulletin December 2024,https://www.afro.who.int/publications/monthly-regional-cholera-bulletin-december-2024,WHO AFRO Monthly Cholera Bulletin for December 2024 confirming Côte d'Ivoire was not among countries reporting cholera cases in 2024; absence documented for MOSAIC zero-transmission modeling,2024-01-01 to 2024-12-31,WHO Surveillance Bulletin,Active,Level 1,Validated,Web search and direct URL fetch,English,1,WHO AFRO 2024 regional surveillance,Web search,AI
11,WHO Multi-country Outbreak of Cholera Epidemiological Update 33 27 January 2026,https://cdn.who.int/media/docs/default-source/documents/emergencies/situation-reports/20260127_multi-country_outbreak-of-cholera_epidemiological_update_33.pdf,WHO multi-country cholera epidemiological update #33 (data as of 28 December 2025) reporting full-year 2025 cumulative figure for Côte d'Ivoire of 503 cases 20 deaths CFR 4.0%; matches sitreps #31 and #32; no new cases in last 28 days indicating outbreak ended in 2025,2025-01-01 to 2025-12-28,WHO Situation Report,Active,Level 1,Validated,Web search and direct PDF text extraction,English,1,WHO sitreps 31 32,Web search,AI
12,WHO Multi-country Outbreak of Cholera Epidemiological Update 37 29 May 2026,https://cdn.who.int/media/docs/default-source/documents/emergencies/situation-reports/20260529_multi-country_outbreak-of-cholera_epidemiological_update_37.pdf,WHO multi-country cholera epidemiological update #37 (data 1 January to 26 April 2026); Côte d'Ivoire not listed among reporting countries in 2026 Table 1 indicating no cholera cases reported in CIV during January-April 2026; supports documented absence for early 2026,2026-01-01 to 2026-04-26,WHO Situation Report,Active,Level 1,Validated,Web search and direct PDF text extraction,English,1,WHO sitrep 33 year-end 2025,Web search,AI
13,WHO Weekly Epidemiological Record - Cholera in 1972 annual global table,https://iris.who.int/handle/10665/219467,"WHO Weekly Epidemiological Record annual global cholera notification report for 1972 (WER 1973, 48(30), pp. 297-299, 11 July 1973). Table of cases of cholera notified to WHO by country; used to establish that Cote d'Ivoire notified no cholera cases to WHO in 1972.",1972-01-01 to 1972-12-31,WHO Annual Surveillance Report,Active,Level 1,Pending,WHO IRIS REST API search: 'cholera in 1972' -> item bitstream PDF text extraction,English/French,1,WHO GHO cholera annual series; JHU baseline,WHO IRIS REST API search: 'cholera in 1972' -> item bitstream PDF text extraction,AI
14,WHO Weekly Epidemiological Record - Cholera in 1973 annual global table,https://iris.who.int/handle/10665/219928,"WHO Weekly Epidemiological Record annual global cholera notification report for 1973 (WER 1974, 49(27), pp. 229-231, 5 July 1974). Table of cases of cholera notified to WHO by country; used to establish that Cote d'Ivoire notified no cholera cases to WHO in 1973.",1973-01-01 to 1973-12-31,WHO Annual Surveillance Report,Active,Level 1,Pending,WHO IRIS REST API search: 'cholera in 1973' -> item bitstream PDF text extraction,English/French,1,WHO GHO cholera annual series; JHU baseline,WHO IRIS REST API search: 'cholera in 1973' -> item bitstream PDF text extraction,AI
15,WHO Weekly Epidemiological Record - Cholera in 1974 annual global table,https://iris.who.int/handle/10665/220437,"WHO Weekly Epidemiological Record annual global cholera notification report for 1974 (WER 1975, 50(29), pp. 261-262, 18 July 1975). Table of cases of cholera notified to WHO by country; used to establish that Cote d'Ivoire notified no cholera cases to WHO in 1974.",1974-01-01 to 1974-12-31,WHO Annual Surveillance Report,Active,Level 1,Pending,WHO IRIS REST API search: 'cholera in 1974' -> item bitstream PDF text extraction,English/French,1,WHO GHO cholera annual series; JHU baseline,WHO IRIS REST API search: 'cholera in 1974' -> item bitstream PDF text extraction,AI
16,WHO Weekly Epidemiological Record - Cholera in 1975 annual global table,https://iris.who.int/handle/10665/220822,"WHO Weekly Epidemiological Record annual global cholera notification report for 1975 (WER 1976, 51(18), pp. 137-138, 30 April 1976). Table of cases of cholera notified to WHO by country; used to establish that Cote d'Ivoire notified no cholera cases to WHO in 1975.",1975-01-01 to 1975-12-31,WHO Annual Surveillance Report,Active,Level 1,Pending,WHO IRIS REST API search: 'cholera in 1975' -> item bitstream PDF text extraction,English/French,1,WHO GHO cholera annual series; JHU baseline,WHO IRIS REST API search: 'cholera in 1975' -> item bitstream PDF text extraction,AI
17,WHO Weekly Epidemiological Record - Cholera in 1976 annual global table,https://iris.who.int/handle/10665/221355,"WHO Weekly Epidemiological Record annual global cholera notification report for 1976 (WER 1977, 52(19), pp. 165-167, 13 May 1977 (Cholera: Review of Recent Situation)). Table of cases of cholera notified to WHO by country; used to establish that Cote d'Ivoire notified no cholera cases to WHO in 1976.",1976-01-01 to 1976-12-31,WHO Annual Surveillance Report,Active,Level 1,Pending,WHO IRIS REST API search: 'cholera in 1976' -> item bitstream PDF text extraction,English/French,1,WHO GHO cholera annual series; JHU baseline,WHO IRIS REST API search: 'cholera in 1976' -> item bitstream PDF text extraction,AI
