Location,TL,TR,evidence,source_index,source,confidence_weight,processing_notes,source_database,moved_from_row
AFR::AGO::Uíge::Uíge,2018-01-01,2018-04-20,presence_confirmed_count_unknown,17,UNICEF Angola Humanitarian Situation Report April 2018,0.85,"Outbreak centered in Uíge district - specific neighborhoods affected: Orlando Fonseca, Gai and Candombe Novo",AI,31
AFR::AGO::Uíge::Songa,2018-01-01,2018-04-20,presence_confirmed_count_unknown,17,UNICEF Angola Humanitarian Situation Report April 2018,0.85,Outbreak centered in Songa district - cholera treatment centers set up in Candombe Velho,AI,32
AFR::AGO::Benguela,1994-01-01,1994-12-31,presence_confirmed_count_unknown,20,Frontiers in Microbiology Vibrio cholerae study,0.9,V. cholerae strain 1383 isolated from Benguela province in 1994 - confirms cholera presence but no case numbers provided,AI,38
AFR::AGO::Bengo,1994-01-01,1994-12-31,presence_confirmed_count_unknown,20,Frontiers in Microbiology Vibrio cholerae study,0.9,V. cholerae strain 1349 isolated from Bengo province in 1994 - confirms cholera presence but no case numbers provided,AI,39
AFR::AGO::Cuando_Cubango,1994-01-01,1994-12-31,presence_confirmed_count_unknown,20,Frontiers in Microbiology Vibrio cholerae study,0.9,V. cholerae strains 1356 and 1382 isolated from Cuando Cubango province in 1994 - confirms cholera presence but no case numbers provided,AI,40
AFR::AGO::Kwanza_Norte::Dondo,1994-01-01,1994-12-31,presence_confirmed_count_unknown,20,Frontiers in Microbiology Vibrio cholerae study,0.9,"V. cholerae strains 819 and 1354 isolated from Dondo, Kwanza Norte province in 1994 - confirms cholera presence but no case numbers provided",AI,41
AFR::AGO::Cabinda,1995-01-01,1995-12-31,presence_confirmed_count_unknown,20,Frontiers in Microbiology Vibrio cholerae study,0.9,V. cholerae strain 1361 isolated from Cabinda province in 1995 - confirms cholera presence but no case numbers provided,AI,42
AFR::AGO::Cunene,2009-01-01,2009-03-14,presence_confirmed_count_unknown,23,Angola 2009 floods and cholera reports,0.85,Cunene province affected by flooding and cholera - part of 528 national cases but provincial breakdown not specified,AI,47
AFR::AGO::Cuando_Cubango,2009-01-01,2009-03-14,presence_confirmed_count_unknown,23,Angola 2009 floods and cholera reports,0.85,Cuando Cubango province affected by flooding and cholera - part of 528 national cases but provincial breakdown not specified,AI,48
AFR::AGO::Namibe,2025-01-07,2025-03-23,presence_confirmed_count_unknown,24,WHO Angola cholera response April 2025,0.95,Namibe province listed among 17 affected provinces in 2025 outbreak - confirms cholera presence but no specific case numbers,AI,51
AFR::AGO::Huambo,2025-01-07,2025-03-23,presence_confirmed_count_unknown,24,WHO Angola cholera response April 2025,0.95,Huambo province listed among 17 affected provinces in 2025 outbreak - confirms cholera presence but no specific case numbers,AI,52
AFR::AGO::Huila,2025-01-07,2025-03-23,presence_confirmed_count_unknown,24,WHO Angola cholera response April 2025,0.95,Huila province listed among 17 affected provinces in 2025 outbreak - confirms cholera presence but no specific case numbers,AI,53
AFR::AGO::Bie,2025-01-07,2025-03-23,presence_confirmed_count_unknown,24,WHO Angola cholera response April 2025,0.95,Bie province listed among 17 affected provinces in 2025 outbreak - confirms cholera presence but no specific case numbers,AI,54
AFR::AGO::Malanje,2025-01-07,2025-03-23,presence_confirmed_count_unknown,24,WHO Angola cholera response April 2025,0.95,Malanje province listed among 17 affected provinces in 2025 outbreak - confirms cholera presence but no specific case numbers,AI,55
AFR::AGO::Cunene,2025-01-07,2025-03-23,presence_confirmed_count_unknown,24,WHO Angola cholera response April 2025,0.95,Cunene province listed among 17 affected provinces in 2025 outbreak - confirms cholera presence but no specific case numbers,AI,56
AFR::AGO::Kwanza_Norte,2025-01-07,2025-03-23,presence_confirmed_count_unknown,24,WHO Angola cholera response April 2025,0.95,Kwanza Norte province listed among 17 affected provinces in 2025 outbreak - confirms cholera presence but no specific case numbers,AI,57
AFR::AGO::Luanda_Sul,2025-01-07,2025-03-23,presence_confirmed_count_unknown,24,WHO Angola cholera response April 2025,0.95,Luanda Sul province listed among 17 affected provinces in 2025 outbreak - confirms cholera presence but no specific case numbers,AI,58
