Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,European Centre for Disease Prevention and Control (ECDC) Cholera Monthly Overview,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,ECDC monthly cholera surveillance reporting showing zero cases in Angola for 2024,2024-01-01 to 2024-05-02,National surveillance data,Active,Level 1,Validated,WebSearch with temporal constraints targeting gap years,English,0,WHO surveillance,Gap-targeted search,AI
2,Frontiers in Microbiology - V. cholerae O1 epidemic variants in Angola retrospective study,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2013.00354/full,Retrospective molecular epidemiology study documenting cholera outbreak in early 2013,2013-02-01 to 2013-04-30,Academic research article,Active,Level 1,Validated,Academic database search targeting historical data,English,1,Peer-reviewed journal,Gap-targeted search,AI
3,WHO Disease Outbreak News - Cholera in Angola update 4,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_09-en,WHO official outbreak report documenting 2006 cholera epidemic peak in Angola,2006-02-01 to 2006-06-06,WHO surveillance report,Active,Level 1,Validated,Historical archive search targeting major outbreaks,English,0,WHO official,Gap-targeted search,AI
4,WHO AFRO - Angola cholera outbreak 2011,https://www.afro.who.int/countries/angola/news/angola-reinforces-cholera-preparedness-and-response-measures,WHO AFRO report documenting 2011 cholera outbreak following decade of absence,2011-01-01 to 2011-12-31,WHO surveillance report,Active,Level 1,Validated,Historical outbreak documentation from official sources,English,0,WHO AFRO official,Gap-targeted search,AI
5,WHO AFRO - Angola cholera outbreak 2016-2017,https://www.afro.who.int/countries/angola/news/cholera-outbreak-angola-strengthening-response-capacity-and-promoting-community-resilience,WHO documentation of 2016-2017 cholera outbreak affecting three provinces,2016-01-01 to 2017-12-31,WHO surveillance report,Active,Level 1,Validated,Cross-border transmission analysis,English,0,WHO AFRO official,Gap-targeted search,AI
6,WHO AFRO - Angola cholera absence 1997-2005,https://www.afro.who.int/countries/angola/news/angola-reinforces-cholera-preparedness-and-response-measures,WHO surveillance confirming decade-long cholera absence period following 1996,1997-01-01 to 2005-12-31,WHO surveillance confirmation,Active,Level 1,Validated,Zero-transmission validation search,English,0,WHO AFRO official,Gap-targeted search,AI
7,ECDC/WHO - Angola cholera absence 2019-2023,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,Multiple surveillance sources confirming no cholera cases 2019-2023,2019-01-01 to 2023-12-31,Surveillance confirmation,Active,Level 1,Validated,Absence period validation,English,0,WHO/ECDC surveillance,Gap-targeted search,AI
8,The New Humanitarian - Drought contributes to cholera outbreak in southern Angola,https://www.thenewhumanitarian.org/news/2013/12/05/drought-contributes-cholera-outbreak-southern-angola,Humanitarian report documenting 2013 Cunene cholera outbreak during severe drought,2013-01-01 to 2013-12-31,Humanitarian surveillance report,Active,Level 2,Validated,Historical drought-related outbreak search,English,0,ReliefWeb cross-reference,Gap-targeted search,AI
9,WHO Disease Outbreak News - Provincial data Angola 2006,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_06a-en,WHO report with provincial breakdown of 2006 Angola cholera epidemic,2006-02-01 to 2006-06-06,WHO surveillance report,Active,Level 1,Validated,Provincial distribution search,English,0,WHO official,Geographic expansion search,AI
10,UNICEF Angola situation report - Huambo provincial data 2006,https://reliefweb.int/report/angola/unicef-angola-cholera-outbreak-situation-report-21-apr-2006,UNICEF report documenting Huambo provincial health department cholera data,2006-03-11 to 2006-12-31,Humanitarian surveillance report,Active,Level 2,Validated,Provincial health department search,English,0,UNICEF official,Geographic expansion search,AI
