Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::AGO,2025-01-01,2025-03-23,329,8543,,3.9,2025-03-28,1,WHO Disease Outbreak News 2025 Angola,1.0,WHO states: "As of 23 March 2025 a total of 8543 cases and 329 deaths (Case Fatality Rate (CFR) 3.9%)" - 16 of 21 provinces affected
2,AFR::AGO,2025-01-01,2025-04-30,505,14090,,3.6,2025-05-01,2,WHO Multi-country Cholera Situation Report #23,1.0,WHO states: "Since 1 January 2025 and as of 30 April 2025 14 090 cases including 505 deaths have been reported" - April 2025 cumulative data
3,AFR::AGO::Luanda,2025-01-01,2025-03-23,,4143,,3.9,2025-03-28,1,WHO Disease Outbreak News 2025 Angola,1.0,WHO states: "highest number of cases reported from Luanda (4143; 48.5%)" - Provincial breakdown from March data
4,AFR::AGO::Bengo,2025-01-01,2025-03-23,,2485,,3.9,2025-03-28,1,WHO Disease Outbreak News 2025 Angola,1.0,WHO states: "Bengo (2485; 29.1%) provinces" - Provincial breakdown from March data
5,AFR::AGO,2023-01-01,2023-12-31,0,0,,0.0,2024-01-01,1,WHO Disease Outbreak News 2025 Angola,1.0,WHO states: "as of 2 May 2024 no cases were reported" confirming 2023 zero transmission - validated cholera-free year
6,AFR::AGO,2024-01-01,2024-12-31,0,0,,0.0,2025-01-01,1,WHO Disease Outbreak News 2025 Angola,1.0,WHO states: "as of 2 May 2024 no cases were reported" confirming 2024 zero transmission - last outbreak was 2018
7,AFR::AGO,2000-01-01,2005-12-31,0,0,,0.0,2006-01-01,3,Frontiers Vibrio cholerae Angola 1992-2006,0.9,Academic states: "After annual outbreaks from 1987 to 1996 cholera re-emerged in 2006 following a decade-long absence" - confirmed 2000-2005 cholera-free period
8,AFR::AGO,2006-01-01,2006-12-31,2700,67000,,4.0,2007-01-01,3,Frontiers Vibrio cholerae Angola 1992-2006,0.9,Academic states: "major surges in 1987 and 2006 (over 67000 cases 2700 deaths)" - 2006 major outbreak re-emergence
9,AFR::AGO,2007-01-01,2007-12-31,,18422,,,2008-01-01,5,MSF Angola Cholera Response Historical,0.8,MSF states: "2007: 18422 cases" from WHO official statistics - epidemic continuation after 2006
10,AFR::AGO,2008-01-01,2008-12-31,,10511,,,2009-01-01,5,MSF Angola Cholera Response Historical,0.8,MSF states: "2008: 10511 cases" from WHO official statistics - declining trend from 2006 outbreak
