iso,source_index,source,url,status_code,status_category,redirect_url,response_time_s,error
AGO,1,UNICEF Angola Situation Report No. 4 (Cholera Outbreak),https://reliefweb.int/report/angola/unicef-angola-situation-report-no-4-cholera-outbreak-11-march-2025,202,OK,,1.09,
AGO,10,WHO Global Health Data - Angola 1989-1996,https://apps.who.int/gho/data,200,OK,https://www.who.int/data/gho/legacy,2.79,
AGO,11,WHO Historical Reports - Angola 2011,https://www.who.int/emergencies/disease-outbreak-news,200,OK,,1.08,
AGO,12,WHO AFRO Reports - Angola 2016-2017,https://www.afro.who.int/countries/angola,200,OK,,1.61,
AGO,13,ECDC Cholera Monthly Overview - Zero Transmission 2024,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,200,OK,,2.25,
AGO,14,WHO Disease Outbreak News - Angola 2025,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,200,OK,,1.04,
AGO,15,WHO AFRO Angola cholera preparedness,https://www.afro.who.int/countries/angola/news/angola-reinforces-cholera-preparedness-and-response-measures,200,OK,,1.58,
AGO,16,Sitata - Cholera outbreak kills 12 in Soyo Zaire Province Angola,https://www.sitata.com/en/alerts/cholera-an-outbreak-kills-12-in-soyo-zaire-province-angola,200,OK,,1.35,
AGO,17,UNICEF Angola Humanitarian Situation Report April 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-april-2018,202,OK,,0.33,
AGO,18,WHO Disease Outbreak News May 2006,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_31-en,200,OK,,0.34,
AGO,19,Angola Flood and Cholera Reports 2007,https://reliefweb.int/report/angola/angola-flood-and-cholera-update-2007,202,OK,,0.33,
AGO,2,UNICEF Angola Situation Report No. 5 (Cholera Outbreak),https://reliefweb.int/report/angola/unicef-angola-situation-report-no-5-cholera-outbreak-28-march-2025,202,OK,,1.09,
AGO,20,Frontiers in Microbiology Vibrio cholerae study,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00354/full,200,OK,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2013.00354/full,2.96,
AGO,21,Angola drought cholera outbreak reports 2013,https://reliefweb.int/report/angola/drought-contributes-cholera-outbreak-southern-angola,202,OK,,0.32,
AGO,22,Angola Lucapa cholera outbreak December 2011,https://reliefweb.int/report/angola/lucapa-records-over-100-cholera-cases-15-days,202,OK,,0.34,
AGO,23,Angola 2009 floods and cholera reports,https://reliefweb.int/report/angola/angola-flood-and-cholera-update-situation-report-no-3-01-apr-2009,202,OK,,0.33,
AGO,24,WHO Angola cholera response April 2025,https://www.afro.who.int/countries/angola/news/who-strengthens-field-presence-and-support-cholera-response-during-high-level-visit-kwanza-sul-and,200,OK,,1.28,
AGO,25,WHO surveillance zero-transmission validation 1997-2005,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,200,OK,,0.35,
AGO,26,WHO surveillance zero-transmission validation 2019-2022,https://www.afro.who.int/countries/angola/news/angola-reinforces-cholera-preparedness-and-response-measures,200,OK,,1.28,
AGO,27,WHO surveillance zero-transmission validation 2023-2024,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,200,OK,,0.37,
AGO,28,UN OCHA Angola Flood and Cholera Update Report No. 2,https://reliefweb.int/report/angola/angola-flood-and-cholera-update-situation-report-no-2-23-mar-2009,202,OK,,0.32,
AGO,29,UN OCHA Angola Flood and Cholera Update Report No. 3,https://reliefweb.int/report/angola/angola-flood-and-cholera-update-situation-report-no-3-01-apr-2009,202,OK,,0.31,
AGO,3,WHO Disease Outbreak News - Cholera Angola,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,200,OK,,1.15,
AGO,30,ACT Alert Angola 1/2007 Floods in Angola,https://reliefweb.int/report/angola/act-alert-angola-12007-floods-angola,202,OK,,0.34,
AGO,31,WHO AFRO Angola health surveillance 2008-2010,https://www.afro.who.int/countries/angola,200,OK,,0.43,
AGO,4,Frontiers in Microbiology - Vibrio cholerae O1 epidemic variants in Angola 1992-2006,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00354/full,200,OK,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2013.00354/full,3.54,
AGO,5,UNICEF Angola Cholera Outbreak Situation Report 21 Apr 2006,https://reliefweb.int/report/angola/unicef-angola-cholera-outbreak-situation-report-21-apr-2006,202,OK,,1.1,
AGO,6,UNICEF Angola Humanitarian Situation Report No. 6 Cholera April 2025,https://www.unicef.org/media/170416/file/UNICEF_Angola_Cholera_Outbreak_Situation_Report_No._6_-_29_March_-_29_April_2025.pdf.pdf,403,FORBIDDEN,,1.07,
AGO,7,WHO Weekly Epidemiological Record - Seasonality of Cholera 1974-2005,https://pmc.ncbi.nlm.nih.gov/articles/PMC2467415/,200,OK,,1.09,
AGO,8,PubMed - Early stage recurrent cholera epidemic Luanda,https://pubmed.ncbi.nlm.nih.gov/8307144/,200,OK,,1.26,
AGO,9,Cholera Outbreaks in Africa - ResearchGate historical compilation,https://www.researchgate.net/publication/262339340_Cholera_Outbreaks_in_Africa,403,FORBIDDEN,,1.09,
BDI,1,Cholera Hot-Spots and Contextual Factors in Burundi PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8163194/,200,OK,,0.4,
BDI,2,CDC MMWR Epidemic Cholera Burundi 1992-1993,https://www.cdc.gov/mmwr/preview/mmwrhtml/00020745.htm,200,OK,,1.3,
BDI,3,CDC EID Dynamics Great Lakes Cholera 1978-2008,https://wwwnc.cdc.gov/eid/article/17/11/11-0170_article,200,OK,https://wwwnc.cdc.gov/eid/404.html?aspxerrorpath=/eid/article/17/11/11-0170_article,5.4,
BDI,4,ReliefWeb Burundi Cholera Outbreak 2019,https://reliefweb.int/disaster/ep-2019-000124-bdi,202,OK,,0.32,
BEN,1,WHO Disease Outbreak News - Cholera Benin 2022,https://www.who.int/emergencies/disease-outbreak-news/item/cholera-benin,200,OK,,0.35,
BEN,2,IFRC Emergency Plan of Action Final Report - Benin Cholera 2016,https://reliefweb.int/report/benin/benin-cholera-mdrbj015-emergency-plan-action-final-report,202,OK,,0.33,
BEN,3,Dynamics of cholera epidemics from Benin to Mauritania - PLOS NTD 2018,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006379,200,OK,,1.0,
BEN,4,WHO Cholera Surveillance 2003 - Benin,https://www.who.int/emergencies/disease-outbreak-news/item/2003_11_20-en,200,OK,,0.34,
BEN,5,WHO Cholera Surveillance 2008 - Benin,https://pubmed.ncbi.nlm.nih.gov/21695873/,200,OK,,1.23,
BEN,6,Seventh Cholera Pandemic - West Africa,https://en.wikipedia.org/wiki/Seventh_cholera_pandemic,200,OK,,1.58,
BEN,7,Cholera Outbreaks in LMICs Systematic Review - MDPI 2024,https://www.mdpi.com/2076-2607/12/12/2504,403,FORBIDDEN,,1.69,
BFA,1,PMC 2005 Burkina Faso Cholera Epidemic Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3201576/,200,OK,,0.33,
BFA,10,UN Press Release West Africa Cholera Forum 2005,https://press.un.org/en/2005/afr1240.doc.htm,200,OK,,1.01,
