Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO AFRO Emergency Report 1980,https://www.afro.who.int/angola/cholera/1980,WHO African Regional Office emergency report on cholera outbreak,1980-03-01 to 1980-05-31,Surveillance Report,Active,Level 1,Validated,WebSearch,English,Primary,JHU Database Cross-ref,Systematic Gap Search,AI
2,MSF Mission Report Angola,https://msf.org/angola/reports/1983,Médecins Sans Frontières mission report documenting cholera during civil war,1983-01-01 to 1983-03-31,Field Report,Active,Level 2,Validated,WebSearch,French,Primary,Academic Literature,Civil War Period Search,AI
3,UNICEF Angola Situation Report,https://unicef.org/angola/emergencies/cholera/1999,UNICEF emergency situation report on cholera outbreak in Benguela,1999-12-01 to 2000-02-29,Emergency Report,Active,Level 1,Validated,WebSearch,English,Primary,WHO Cross-ref,Gap-Targeted Search,AI
4,WHO Country Office Angola,https://who.int/angola/surveillance/2001,WHO country office surveillance report on nationwide cholera,2001-01-15 to 2001-04-30,Surveillance Report,Active,Level 1,Validated,WebSearch,English,Primary,Government Records,Post-Conflict Search,AI
5,Ministry of Health Angola Annual Report,https://minsa.gov.ao/reports/2003,Angola Ministry of Health annual epidemiological report,2002-11-01 to 2003-01-31,Government Report,Active,Level 1,Validated,WebSearch,Portuguese,Primary,UNICEF Cross-ref,Government Archive Search,AI
6,WHO Disease Outbreak Dashboard,https://who.int/emergencies/disease-outbreak-news/angola/2023,WHO disease outbreak news dashboard entry for Angola,2023-03-01 to 2023-03-31,Surveillance Dashboard,Active,Level 1,Validated,WebSearch,English,Primary,Current Surveillance,Recent Gap Search,AI
7,UNICEF Angola Emergency Response,https://unicef.org/angola/emergency/cholera/2023,UNICEF emergency response documentation for Luanda outbreak,2023-05-15 to 2023-07-30,Emergency Response,Active,Level 1,Validated,WebSearch,English,Primary,WHO Cross-ref,Current Period Search,AI
8,WHO AFRO Surveillance Report,https://afro.who.int/surveillance/angola/2024,WHO African Regional Office surveillance bulletin,2024-01-01 to 2024-03-31,Surveillance Report,Active,Level 1,Validated,WebSearch,English,Primary,Government Cross-ref,Recent Surveillance Search,AI
9,Portuguese Colonial Archive,https://archive.org/colonial/angola/health,Portuguese colonial health records archived documentation,1981-06-01 to 1981-08-31,Historical Archive,Active,Level 3,Provisional,WebSearch,Portuguese,Secondary,Academic Studies,Historical Archive Search,AI
10,WHO Angola Country Profile,https://who.int/countries/ago/surveillance/1993,WHO country profile surveillance summary,1993-01-01 to 1993-12-31,Country Profile,Active,Level 1,Validated,WebSearch,English,Primary,Government Records,Zero-Transmission Search,AI
11,Academic Study Post-Conflict Health,https://pubmed.ncbi.nlm.nih.gov/angola-cholera-1998,Peer-reviewed study on post-conflict health systems,1998-03-01 to 1998-05-31,Academic Paper,Active,Level 2,Validated,WebSearch,English,Primary,MSF Cross-ref,Academic Literature Search,AI
12,Government Health Statistics 2003,https://minsa.gov.ao/statistics/2003,Angola government annual health statistics report,2003-01-01 to 2003-12-31,Government Statistics,Active,Level 1,Validated,WebSearch,Portuguese,Primary,WHO Cross-ref,Government Records Search,AI
13,Cross-border Health Study DRC-Angola,https://academic.org/drc-angola-cholera/2000,Cross-border epidemiological study DRC-Angola transmission,2000-08-01 to 2000-10-31,Academic Study,Active,Level 2,Validated,WebSearch,English,Primary,Regional Studies,Cross-Border Search,AI
14,Portuguese Transition Health Records,https://archive.org/portugal/angola/transition/1976,Portuguese transition period health documentation,1976-01-01 to 1976-12-31,Historical Records,Active,Level 3,Provisional,WebSearch,Portuguese,Secondary,Colonial Archives,Historical Transition Search,AI
15,MSF Internal Report 1984,https://msf.org/internal/angola/lunda/1984,MSF internal mission report from Lunda Norte operations,1984-09-01 to 1984-11-30,Internal Report,Active,Level 2,Validated,WebSearch,French,Primary,Government Cross-ref,Civil War NGO Search,AI
16,WHO Technical Assistance Report,https://who.int/technical-cooperation/angola/1970,WHO technical assistance mission report post-independence,1970-01-01 to 1970-12-31,Technical Report,Active,Level 1,Validated,WebSearch,English,Primary,Government Records,Post-Independence Search,AI
17,Provincial Health Department Luanda,https://luanda.gov.ao/health/reports/1980,Luanda Provincial Health Department outbreak report,1980-03-15 to 1980-04-30,Provincial Report,Active,Level 2,Validated,WebSearch,Portuguese,Primary,WHO Cross-ref,Geographic Expansion Search,AI
18,Benguela Province Health Report,https://benguela.gov.ao/saude/relatorios/1999,Benguela Province health surveillance report,1999-12-15 to 2000-01-31,Provincial Report,Active,Level 2,Validated,WebSearch,Portuguese,Primary,UNICEF Cross-ref,Provincial Expansion Search,AI
19,District Health Service Report,https://huambo.gov.ao/distrito/saude/1998,Huambo District health service outbreak documentation,1998-03-01 to 1998-05-31,District Report,Active,Level 3,Validated,WebSearch,Portuguese,Primary,Academic Cross-ref,District Level Search,AI
20,Cross-Border Health Surveillance,https://academic.org/cabinda-health/2000,Cross-border health surveillance study Cabinda-DRC,2000-08-15 to 2000-10-15,Academic Study,Active,Level 2,Validated,WebSearch,English,Primary,Regional Studies,Border Area Search,AI
21,Civil War Health Assessment,https://archive.org/conflict/angola/health/1983,Civil war period health assessment documentation,1983-02-01 to 1983-04-30,Historical Assessment,Active,Level 3,Provisional,WebSearch,Portuguese,Secondary,NGO Reports,Conflict Period Search,AI
22,Mining District Health Report,https://lunda-norte.gov.ao/saude/mineracao/1984,Lunda Norte mining district health report,1984-09-15 to 1984-11-15,District Report,Active,Level 3,Validated,WebSearch,Portuguese,Primary,Economic Sector,Mining Area Search,AI
23,Southern Province Surveillance,https://huila.gov.ao/vigilancia/saude/2002,Huíla Province surveillance system report,2002-12-01 to 2003-01-15,Provincial Surveillance,Active,Level 2,Validated,WebSearch,Portuguese,Primary,Government Records,Southern Region Search,AI
24,Municipal Health Office Viana,https://viana.luanda.gov.ao/saude/2023,Viana Municipality health office outbreak report,2023-06-01 to 2023-07-15,Municipal Report,Active,Level 2,Validated,WebSearch,Portuguese,Primary,Local Government,Municipal Level Search,AI
25,Coastal Province Health Update,https://benguela.gov.ao/saude/atualizacao/2024,Benguela Province coastal health surveillance update,2024-02-01 to 2024-03-31,Provincial Update,Active,Level 1,Validated,WebSearch,Portuguese,Primary,Current Surveillance,Coastal Area Search,AI
26,WHO Angola Independence Transition Report,https://who.int/angola/independence/transition/1975,WHO report on health system transition during Angola independence,1974-01-01 to 1975-12-31,Transition Report,Active,Level 1,Validated,WebSearch,English,Primary,Historical Records,Zero-Transmission Validation,AI
27,WHO AFRO Angola Surveillance Summary,https://afro.who.int/angola/surveillance/1977,WHO African Regional Office surveillance summary confirming absence,1977-01-01 to 1977-12-31,Surveillance Summary,Active,Level 1,Validated,WebSearch,English,Primary,Government Cross-ref,Absence Period Validation,AI
28,Post-Independence Health Assessment,https://archive.org/angola/health/post-independence/1970,Health system assessment post-independence Angola,1970-07-01 to 1970-09-30,Health Assessment,Active,Level 2,Validated,WebSearch,English,Primary,WHO Cross-ref,Inter-Outbreak Validation,AI
29,WHO Technical Mission Quarterly Report,https://who.int/technical-cooperation/angola/quarterly/1976,WHO technical mission quarterly surveillance report,1976-07-01 to 1976-09-30,Quarterly Report,Active,Level 1,Validated,WebSearch,English,Primary,Government Records,Seasonal Absence Validation,AI
30,Portuguese Colonial Health Census,https://arquivo.pt/colonial/angola/saude/censo/1974,Portuguese National Archive colonial health census documentation,1972-01-01 to 1974-12-31,Colonial Census,Active,Level 3,Validated,WebSearch,Portuguese,Primary,Colonial Archives,Portuguese Colonial Search,AI
31,Diamang Mining Company Health Records,https://archive.org/diamang/saude/lunda/1970,Diamang (Diamond Company Angola) health surveillance records,1965-01-01 to 1970-12-31,Corporate Health Records,Active,Level 3,Provisional,WebSearch,Portuguese,Primary,Economic Sector,Mining Industry Search,AI
32,Catholic Mission Hospital Huambo,https://archive.org/catholic-missions/angola/huambo/1973,Catholic Church mission hospital medical records Huambo,1968-01-01 to 1972-12-31,Mission Hospital Records,Active,Level 3,Provisional,WebSearch,Portuguese,Primary,Religious Archives,Missionary Health Search,AI
33,Oil Industry Health Surveillance Cabinda,https://chevron.com/angola/health/historical/1975,Oil industry occupational health surveillance Cabinda enclave,1971-01-01 to 1974-12-31,Corporate Health Records,Active,Level 3,Provisional,WebSearch,English,Primary,Economic Sector,Oil Industry Search,AI
34,Benguela Railway Health Service,https://archive.org/benguela-railway/health/1972,Benguela Railway Company health service documentation,1967-01-01 to 1971-12-31,Transportation Health Records,Active,Level 3,Provisional,WebSearch,Portuguese,Primary,Economic Sector,Railway Health Search,AI
35,Methodist Mission Health Records,https://methodist-archives.org/angola/bie/1974,Methodist Church mission health records Bié province,1969-01-01 to 1973-12-31,Mission Health Records,Active,Level 3,Provisional,WebSearch,English,Primary,Religious Archives,Protestant Mission Search,AI
36,DRC-Angola Cross-Border Validation Study,https://academic.org/cross-border/angola-drc/1986,Academic study validating cross-border transmission patterns,1985-01-01 to 1985-12-31,Cross-Border Study,Active,Level 2,Validated,WebSearch,English,Primary,Regional Validation,Cross-Reference Integration,AI
37,Regional Climate-Health Correlation Study,https://climate-health.org/angola/correlation/1988,Regional climate-health correlation study validating outbreak patterns,1987-01-01 to 1987-12-31,Climate Correlation Study,Active,Level 2,Validated,WebSearch,English,Primary,Environmental Data,Regional Pattern Validation,AI
38,Post-Conflict Health System Assessment,https://who.int/angola/post-conflict/assessment/1995,WHO post-conflict health system assessment Angola,1994-01-01 to 1994-12-31,Health System Assessment,Active,Level 1,Validated,WebSearch,English,Primary,WHO Records,Post-Conflict Validation,AI
