Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO Disease Outbreak News 1998 Great Lakes Cholera,https://www.who.int/emergencies/disease-outbreak-news/item/1998_10_22c-en,WHO official disease outbreak news report documenting cholera in Rwanda Cyangugu prefecture May-October 1998,1998-05-01 to 1998-10-22,Outbreak Report,Active,Level 1,Validated,Direct WHO website search,English,Primary,WHO AFRO,WHO DON direct search,AI
2,ReliefWeb Rwanda Cholera Outbreak 2005-2006,https://reliefweb.int/report/rwanda/cholera-outbreak-claims-10-lives-rwanda,ReliefWeb report on cholera outbreak in Kigali suburbs (Masaka district) December 2005-January 2006 with 68 cases and 10 deaths,2005-12-29 to 2006-01-06,Outbreak Report,Active,Level 2,Validated,ReliefWeb systematic search,English,Primary,WHO AFRO,ReliefWeb search,AI
3,PMC Article Addressing Recurrent Cholera Outbreaks Africa 2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12592695/,Peer-reviewed article documenting Rwanda cholera cases as of June 2025 with 233 cases and 0 deaths and 0% CFR,2025-01-01 to 2025-06-01,Academic Study,Active,Level 2,Validated,Academic literature search,English,Secondary,WHO AFRO,PubMed/PMC search,AI
4,WHO AFRO Multi-country Cholera Outbreak Situation Report July 2025,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250724_multi-country_outbreak-of-cholera_sitrep_28.pdf,WHO AFRO situation report documenting 308 cholera cases and 0 deaths in Rwanda from January 1 to August 3 2025,2025-01-01 to 2025-08-03,Surveillance Report,Active,Level 1,Validated,WHO AFRO systematic search,English,Primary,PMC Article WHO DON,WHO sitrep search,AI
5,ECDC Cholera Monthly Overview 2026,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,ECDC monthly cholera overview documenting 18 cholera cases in Rwanda from January 1 to March 23 2026 in Rusizi and Nyamasheke districts Western Province,2026-01-01 to 2026-03-23,Surveillance Report,Active,Level 1,Validated,ECDC systematic search,English,Primary,WHO multi-country sitrep,ECDC search,AI
6,Rwanda Biomedical Centre Community Assessment on Water Hygiene and Cholera,https://www.rbc.gov.rw/fileadmin/user_upload/community_assessment_cholera_executive_summary-2.pdf,RBC official document stating that in past six years Nyamasheke and Rusizi districts accounted for 73% of 15 cholera outbreaks and 69% of 265 cases (183 cases) in Rwanda,2018-01-01 to 2024-12-31,Government Report,Active,Level 1,Validated,Government website systematic search,English,Primary,ECDC WHO AFRO,RBC government search,AI
7,Dynamics of Cholera Great Lakes Region 1978-2008 CDC EID,https://wwwnc.cdc.gov/eid/article/17/11/11-0170_article,Academic article confirming Rwanda reported cholera cases nearly every year since 1991 (except 2 years) during 1978-2008 study period,1991-01-01 to 2008-12-31,Academic Study,Active,Level 1,Validated,Academic literature search,English,Secondary,WHO historical data,CDC EID search,AI
8,WHO Multi-country Cholera Epidemiological Update February 2026,https://www.who.int/publications/m/item/multi-country-outbreak-of-cholera--epidemiological-update--34--21-february-2026,WHO epidemiological update confirming ongoing Rwanda cholera transmission in early 2026,2026-01-01 to 2026-02-21,Surveillance Report,Active,Level 1,Validated,WHO systematic search,English,Primary,ECDC travel alert,WHO epi update search,AI
9,New York Center for Travel Medicine Rwanda Cholera Alert March 2026,https://www.travelhealth.net/rwanda-cholera-in-western-province_2026_march/,Travel health alert confirming cholera in Rusizi and Nyamasheke districts Western Province Rwanda since mid-January 2026 with 17+ cases including 8 lab-confirmed,2026-01-15 to 2026-03-01,Travel Alert,Active,Level 2,Validated,Travel health database search,English,Secondary,ECDC surveillance,Travel health search,AI
10,WHO AFRO Monthly Regional Cholera Bulletin December 2024,https://www.afro.who.int/publications/monthly-regional-cholera-bulletin-december-2024,WHO AFRO December 2024 monthly bulletin explicitly confirming Rwanda absent from 18 affected countries list - documenting zero-transmission in Rwanda for full year 2024 and cross-validating 2022-2023 absence,2022-01-01 to 2024-12-31,Surveillance Report,Active,Level 1,Validated,WHO AFRO systematic search,English,Primary,WHO weekly bulletins 2023,WHO AFRO monthly bulletin search,AI
11,WHO Disease Outbreak News 1996 Rwanda Repatriation Movement,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_28c-en,WHO DON documenting cholera outbreak during massive influx of 500000 Rwandan returnees from Zaire in November 1996 - 23 lab-confirmed cases Vibrio cholerae 01 El Tor with 0 deaths in Gisenyi/Kigali,1996-11-15 to 1996-11-21,Outbreak Report,Active,Level 1,Validated,WHO DON systematic archive search,English,Primary,Lancet 1997 Brown et al,WHO DON archive search,AI
12,WHO Multi-country Cholera Epidemiological Update 37 May 2026,https://www.who.int/publications/m/item/multi-country-outbreak-of-cholera--epidemiological-update--37--29-may-2026,WHO multi-country cholera epidemiological update #37 (29 May 2026) reporting Rwanda 29 cumulative cases since 01 Jan 2026 as of 10 May 2026 with 0 deaths and 11 new cases since 12 April 2026; outbreak in Rusizi and Nyamasheke districts Western Province,2026-01-01 to 2026-05-10,Surveillance Report,Active,Level 1,Validated,WHO systematic search,English,Primary,ECDC monthly overview May 2026,WHO epi update search,AI
