Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::NER,2010-05-01,2010-08-23,16,240,,6.7,2010-08-23,32,JHU Cholera Database (UID: 961),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 240 cases, 16 deaths",JHU
2,AFR::NER::Maradi::Madarounfa,2018-07-05,2018-07-13,3,23,,13.0,2018-07-13,21,WHO AFRO Surveillance Report (UID: 20933),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases, 3 deaths",JHU
3,AFR::NER::Maradi::Madarounfa,2018-07-05,2018-07-17,4,123,3,3.3,2018-07-17,21,WHO AFRO Surveillance Report (UID: 20933),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 123 cases, 4 deaths",JHU
4,AFR::NER::NE-4::Madarounfa::N'Yelwa Health Area,2017-07-06,2018-07-07,,6,,,2018-07-07,21,WHO AFRO Surveillance Report (UID: 20933),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 6 cases",JHU
5,AFR::NER::NE-4::Madarounfa::N'Yelwa Health Area,2018-07-05,2018-07-17,2,64,,3.1,2018-07-17,21,WHO AFRO Surveillance Report (UID: 20933),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 64 cases, 2 deaths",JHU
6,AFR::NER::Maradi::Madarounfa,2018-07-05,2018-07-17,,90,,,2018-07-17,21,WHO AFRO Surveillance Report (UID: 20933),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 90 cases",JHU
7,AFR::NER::Maradi::Madarounfa,2018-07-15,2018-07-15,,24,,,2018-07-15,21,WHO AFRO Surveillance Report (UID: 20933),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 24 cases",JHU
8,AFR::NER,2018-07-15,2018-07-15,,24,,,2018-07-15,21,WHO AFRO Surveillance Report (UID: 20933),0.68,"Converted from JHU database. Primary: True, Phantom: True - JHU reported 24 cases",JHU
9,AFR::NER,2018-07-05,2018-07-17,,123,,,2018-07-17,21,WHO AFRO Surveillance Report (UID: 20933),0.68,"Converted from JHU database. Primary: True, Phantom: True - JHU reported 123 cases",JHU
10,AFR::NER::Maradi::Madarounfa,2018-07-05,2018-07-17,1,2,,50.0,2018-07-17,21,WHO AFRO Surveillance Report (UID: 20933),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 2 cases, 1 deaths",JHU
