Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 822),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection822.csv,JHU cholera database entry with 11 observations. Frequency: Weekly. Updated: 2024-04-24,2014-01-01 to 2014-03-18,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,JHU Cholera Database (UID: 215),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection215.csv,JHU cholera database entry with 15 observations. Frequency: Weekly. Updated: 2024-02-09,2012-07-23 to 2012-11-04,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,UNICEF Country Programme Report (UID: 5115),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection5115.csv,JHU cholera database entry with 4821 observations. Frequency: Weekly. Updated: 2024-10-30 Source tags: UNICEFcp,2013-12-30 to 2024-03-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,JHU Cholera Database (UID: 20416),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20416.csv,JHU cholera database entry with 2 observations. Frequency: Other (90). Updated: 2024-02-09,2010-07-03 to 2010-10-01,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,WHO AFRO Surveillance Report (UID: 20928),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20928.csv,JHU cholera database entry with 1 observations. Frequency: Other (9). Updated: 2024-02-09 Source tags: WHOafro,2018-07-04 to 2018-07-13,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,WHO AFRO Surveillance Report (UID: 20994),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20994.csv,JHU cholera database entry with 4 observations. Frequency: Other (83). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13 to 2018-10-04,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,WHO AFRO Surveillance Report (UID: 21032),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21032.csv,JHU cholera database entry with 3 observations. Frequency: Other (82). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13 to 2018-11-12,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,JHU Cholera Database (UID: 85),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection85.csv,JHU cholera database entry with 131 observations. Frequency: Other (80). Updated: 2024-04-24,2012-01-01 to 2013-12-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,WHO AFRO Surveillance Report (UID: 20989),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection20989.csv,JHU cholera database entry with 6 observations. Frequency: Other (75). Updated: 2024-02-09 Source tags: WHOafro,2018-07-13 to 2018-09-26,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,WHO AFRO Surveillance Report (UID: 21038),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Niger/ObservationCollection21038.csv,JHU cholera database entry with 8 observations. Frequency: Other (74). Updated: 2025-04-13 Source tags: WHOafro,2018-07-13 to 2024-09-24,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
