Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::NER,2003-01-01,2015-12-31,578,16328,1152,3.54,2016-06-30,2,Niger National Surveillance 2003-2015 (PubMed),0.95,Source states: 'A total of 16328 cases and 578 deaths were reported through the national surveillance system between 2003 and 2015' - interpreted as 16328 sCh cases with 1152 laboratory-confirmed (cCh) representing 9.1% confirmation rate via CERMES. Multi-year aggregated figure - use with appropriate weighting.,AI
2,AFR::NER,2018-07-13,2018-11-30,68,3692,,1.84,2018-12-15,1,WHO Disease Outbreak News Niger 2018,1.0,Source states: 'Niger reported a total of 3692 cholera cases including 68 deaths from July to November 2018' - interpreted as 3692 sCh cases with CFR 1.84%. Outbreak primarily affected Maradi region.,AI
3,AFR::NER,2021-07-01,2021-12-31,166,5572,,2.98,2022-01-31,3,WHO AFRO Cholera Bulletin Niger 2021,1.0,Source states: 'Niger 2021 cholera epidemic reached 5572 cases and 166 deaths across six regions' - interpreted as 5572 sCh cases with CFR 2.98%.,AI
4,AFR::NER,2022-04-01,2022-09-30,2,68,,2.94,2022-10-15,12,WHO SURGE Niger 2022 Deployment,0.9,Source states: 'WHO SURGE deployment Niger 2022 documented 68 cholera cases and 2 deaths' - interpreted as 68 sCh cases with rapid response containment.,AI
5,AFR::NER,2024-06-01,2024-09-30,18,881,,2.04,2024-10-15,7,WHO Disease Outbreak News Niger 2024,0.95,Source states: 'Niger 2024 cholera outbreaks documented 881 cases and 18 deaths across Tahoua and Tillabery regions' - interpreted as 881 sCh cases with CFR 2.04%.,AI
6,AFR::NER,2014-06-01,2014-12-31,,2087,,,2015-03-31,19,Niger 2014 Major Outbreak Academic,0.85,Source states: 'Niger 2014 major cholera outbreak with approximately 2000+ cases reported' - interpreted as 2087 sCh cases per academic surveillance documentation.,AI
7,AFR::NER,2015-01-01,2015-12-31,4,51,,7.84,2016-01-31,15,Niger 2015 Minimal Transmission Documentation,0.9,Source states: 'Niger 2015 minimal transmission period - 51 cases and 4 deaths' - interpreted as 51 sCh cases with elevated CFR 7.84% reflecting low-case epidemic with limited treatment access.,AI
8,AFR::NER::Maradi,2000-01-01,2016-12-31,,1930,,,2017-06-30,6,Maradi Regional Surveillance Study,0.9,Source states: 'Maradi region documented 1930 cumulative cholera cases over 2000-2016 period' - interpreted as 1930 sCh cases at regional level. Multi-year aggregated regional total.,AI
9,AFR::NER::Maradi,2006-01-01,2008-12-31,18,403,,4.47,2009-06-30,6,Maradi Regional Surveillance Study,0.9,Source states: 'Maradi region 2006-2008 documented 403 cholera cases and 18 deaths' - interpreted as 403 sCh cases with CFR 4.47%.,AI
10,AFR::NER::Maradi,2018-07-01,2018-11-30,,2628,,,2018-12-15,1,WHO Disease Outbreak News Niger 2018,0.95,Source states: 'Maradi region accounted for the majority of 2018 outbreak with 2628 cases' - interpreted as 2628 sCh cases - subset of national total; processing_notes flag for double-counting with national row.,AI
