Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::NER,2003-01-01,2015-12-31,578,16328,,3.5,2019-02-01,1,"PubMed National Surveillance Study 2003-2015",1.0,"Source states: 'From 2003 through 2015 a total of 16,328 cases of cholera, including 578 deaths, were reported to the National Surveillance Database' - comprehensive national surveillance data"
2,AFR::NER,2021-08-16,2021-08-16,35,845,,4.1,2021-08-16,2,"ReliefWeb Niger Cholera Outbreak 2021",0.9,"Source states: '845 suspected cases of cholera and 35 related deaths' - early outbreak progression data"
3,AFR::NER,2021-08-16,2021-08-24,70,1904,,3.7,2021-08-24,2,"ReliefWeb Niger Cholera Outbreak 2021",0.9,"Source states: '1,904 cases, 70 deaths' - outbreak expansion across regions"
4,AFR::NER,2021-08-16,2021-09-29,153,4907,,3.1,2021-09-29,2,"ReliefWeb Niger Cholera Outbreak 2021",0.9,"Source states: '4,907 cases, 153 deaths' - peak outbreak period"
5,AFR::NER,2021-08-16,2021-10-07,154,5070,,3.0,2021-10-07,2,"ReliefWeb Niger Cholera Outbreak 2021",0.9,"Source states: '5,070 cases, 154 deaths' - outbreak plateau"
6,AFR::NER,2021-08-16,2021-11-24,156,5400,,2.9,2021-11-24,2,"ReliefWeb Niger Cholera Outbreak 2021",0.9,"Source states: '5,400 cases, 156 deaths' - outbreak near end"
7,AFR::NER,2021-08-16,2021-11-28,166,5572,,3.0,2021-11-28,2,"ReliefWeb Niger Cholera Outbreak 2021",0.9,"Source states: '5,572 cases, 166 deaths' - final outbreak totals before declaration of end"
8,AFR::NER,2018-07-15,2018-10-01,68,3692,,1.8,2018-10-05,3,"WHO Disease Outbreak News Niger 2018",1.0,"Source states: '3,692 cases with 68 deaths (case fatality rate = 1.8%)' - WHO official outbreak data"
9,AFR::NER::Maradi,2000-01-01,2016-12-31,79,1930,,4.1,2017-01-01,4,"Maradi Regional Cholera Study 2000-2016",0.8,"Source states: '1,930 total suspected cholera cases' and '79 deaths' - regional study covering Maradi province"
10,AFR::NER::Maradi::Madarounfa,2000-01-01,2016-12-31,,158,,30.4,2017-01-01,4,"Maradi Regional Cholera Study 2000-2016",0.8,"Source states: 'Madarounfa district: 158 suspected cases' with 'case fatality rate in Madarounfa: 30.43%' - district-level data"
11,AFR::NER,2024-10-01,2024-10-18,17,705,,2.4,2024-10-18,5,"WHO Multi-country Cholera Report October 2024",1.0,"Source states: 'new cholera outbreaks have been reported in Niger (705 cases and 17 deaths)' - WHO official surveillance data"
12,AFR::NER::Maradi,2022-08-29,2022-09-05,0,20,,0.0,2022-09-07,6,"ReliefWeb Niger Cholera 2022 ECHO Report",0.9,"Source states: 'From 29 August to 5 September, a total of 20 cases were registered, 5 people are still in hospital and no deaths have been reported' - Maradi/Zinder regions"
13,AFR::NER::Maradi::Madarounfa,2018-07-01,2018-10-01,,2628,34,1.6,2018-10-01,7,"Madarounfa WASH Intervention Study 2018",0.9,"Source states: 'The most recent cholera outbreak occurred in 2018, officially resulting in 2,628 cases and 42 deaths' - comprehensive WASH study district data"
14,AFR::NER,2018-07-01,2018-08-01,,152000,,0.0,2018-08-01,8,"WHO Niger OCV Campaign 2018",1.0,"Source states: 'Niger vaccinates 152,000 people against cholera in high-risk areas' - oral cholera vaccination campaign coverage (protective intervention data)"
15,AFR::NER::Maradi,2006-01-01,2008-12-31,18,403,,4.5,2009-01-01,9,"Maradi Regional Cholera Data 2006-2008",0.8,"Source states: '403 cases and 18 deaths reported between 2006 and 2009, with no cases in 2009' - regional surveillance data covering 2006-2008 period"
16,AFR::NER,2009-01-01,2009-12-31,0,0,,0.0,2010-01-01,10,"Niger Cholera Absence Documentation 2009",1.0,"Source states: 'no outbreak was reported in Niger in 2009' - validated cholera-free period during regional transmission"
17,AFR::NER,2022-01-01,2022-12-31,2,68,,2.9,2022-12-31,11,"WHO SURGE Niger Cholera Response 2022",1.0,"Source states: '68 cases and two deaths were reported' - WHO SURGE team rapid response deployment"
18,AFR::NER::Tillabery::Ayorou,2024-01-01,2024-12-31,6,248,,2.4,2024-12-31,12,"Tillabery Ayorou Cholera Outbreak 2024",0.9,"Source states: 'cholera epidemic affected 248 people in Ayorou' with 'six deaths were recorded' - northwestern Tillabery region outbreak"
