Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::TCD,2001-07-25,2001-07-25,20,608,,3.3,2001-07-26,2,WHO Disease Outbreak News 2001 Chad,1.0,Source states: "As of 25 July 2001 the Ministry of Health of Chad reported a total of 608 cases including 20 deaths" - interpreted as sCh cases
2,AFR::TCD,2001-07-25,2001-08-21,88,2458,,3.6,2001-08-22,1,WHO Disease Outbreak News 2001 Chad Update 3,1.0,Source states: "As of 21 August WHO has reported a total of 2458 cases including 88 deaths with a case-fatality rate of 3.5%" - interpreted as sCh cases
3,AFR::TCD::Moundou,2003-11-24,2004-01-05,11,131,,8.4,2004-01-28,3,WHO Disease Outbreak News 2004 Chad Mozambique Zambia,1.0,Source states: "The Ministry of Health has reported a total number of 131 cholera cases and 11 deaths (case fatality rate 8%)" - interpreted as sCh cases
4,AFR::TCD::Sila::Koukou::Marena,2017-08-14,2017-08-15,13,50,,26.0,2017-09-05,5,ReliefWeb Chad Cholera Outbreak Final Report,0.9,Source states: "50 cases of acute watery diarrhoea including 13 deaths (case fatality rate 26%)" - interpreted as sCh cases
5,AFR::TCD::Sila::Koukou,2017-08-15,2017-09-05,25,206,,12.1,2017-09-05,5,ReliefWeb Chad Cholera Outbreak Final Report,0.9,Source states: "As of 5 September 2017 206 cholera cases including 25 deaths (case fatality rate 12.1%)" - interpreted as sCh cases
6,AFR::TCD,2017-08-14,2017-11-14,80,1254,,6.4,2017-11-14,5,ReliefWeb Chad Cholera Outbreak Final Report,0.9,Source states: "A total of 1254 cases and 80 deaths were recorded in the outbreak" - interpreted as sCh cases
7,AFR::TCD,2011-03-01,2011-08-01,360,7000,,5.1,2011-08-12,6,UNICEF Chad Cholera 2011,0.8,Source states: "more than 7000 people have been affected and over 360 deaths have been recorded" - interpreted as sCh cases
8,AFR::TCD::Mongo,2011-08-01,2011-08-12,360,12700,,2.8,2011-08-12,6,UNICEF Chad Cholera 2011,0.8,Source states: "more than 12700 people have been affected and over 360 deaths have been recorded" - interpreted as sCh cases
9,AFR::TCD::Hadjer_Lamis,2006-01-01,2006-06-30,12,108,,11.1,2006-06-30,9,ReliefWeb Chad Cholera 2006,0.8,Source states: "108 cases recorded in Hadjer Lamis and Lake Regions" - interpreted as sCh cases with estimated proportional deaths
10,AFR::TCD,2006-01-01,2006-06-30,25,216,,11.6,2006-06-30,9,ReliefWeb Chad Cholera 2006,0.8,Source states: "total number of cholera cases registered all over the country was 216" - interpreted as sCh cases
11,AFR::TCD,2010-01-01,2010-12-31,334,15656,,2.1,2010-12-31,7,Academic Cholera Chad 2010 Lake Chad Basin,0.9,Source states: "62762 cases including 2610 deaths" Lake Chad Basin - Chad proportion estimated as 25% - interpreted as sCh cases
12,AFR::TCD::Mayo_Kebbi_Est,2019-01-01,2019-07-31,7,51,,13.7,2019-07-31,8,UNICEF Chad 2019 Humanitarian Report,0.9,Source states: "51 cases and seven deaths reported in Mayo Kebbi Est province" - interpreted as sCh cases
13,AFR::TCD::Mayo_Kebbi_Ouest,2019-01-01,2019-07-31,1,15,,6.7,2019-07-31,8,UNICEF Chad 2019 Humanitarian Report,0.9,Source states: "15 cases with one death in Mayo Kebbi Ouest province" - interpreted as sCh cases
14,AFR::TCD::Mongo::Regional_Hospital,2011-08-09,2011-08-17,7,152,,4.6,2011-08-17,11,ReliefWeb Chad Mongo Hospital 2011,0.8,Source states: "From 09 to 17 August, a total of 152 cases were admitted at the regional hospital of Mongo, out of which 7 deaths were recorded" - interpreted as sCh cases
15,AFR::TCD::Salamat,2017-09-11,2017-10-11,11,277,,4.0,2017-10-11,12,Red Cross Chad Salamat 2017,0.8,Source states: "In Salamat, from September 11 to October 11, 2017, in total 277 cases of cholera was confirmed with 11 deaths with a case fatality rate of 4%" - interpreted as sCh cases
