Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::NGA::Borno,2022-09-17,2022-12-23,394,12496,,3.2,2023-01-01,1,WHO Regional Office for Africa - Nigeria cholera news,1.0,"Source states: 'The state recorded 12,496 confirmed cases with 394 deaths (confirmed 288, suspected 106) from (17 September 2022 to 23 December 2022)' - interpreted as confirmed cholera cases and deaths"
2,AFR::NGA,2023-01-01,2023-12-31,128,3683,,3.5,2024-01-01,2,Nigeria surveillance WebSearch compilation,0.9,"Source states: 'By the end of epidemiological week 52 (31 December 2023), Nigeria reported a total of 3,683 suspected cholera cases, resulting in 128 deaths, equating to a case fatality rate (CFR) of 3.5%' - interpreted as suspected cholera cases"
3,AFR::NGA,2001-11-01,2001-11-30,52,724,,7.2,2001-11-27,3,WHO Disease Outbreak News 2001,1.0,"Source states: 'Nigeria has reported a total of 724 cases and 52 deaths according to a WHO Disease Outbreak News report' - interpreted as cholera cases and deaths"
4,AFR::NGA,2004-01-01,2008-12-31,1387,74881,,1.9,2009-01-01,4,Federal Ministry of Health Nigeria surveillance data,1.0,"Source states: 'between January 2004 and December 2008, outbreaks of cholera have been reported in 12 out of the 36 States in the country with 74,881 cases and 1,387 reported deaths' - interpreted as cholera surveillance cases"
5,AFR::NGA::Ogun::Abeokuta,2005-11-01,2006-01-31,11,115,,9.6,2006-02-01,5,Academic study Abeokuta outbreak,0.8,"Source states: 'In Abeokuta, South-western Nigeria, between November 2005 and January 2006, 11 deaths from the 115 cases with case fatality rate of 9.6%' - interpreted as cholera outbreak cases"
6,AFR::NGA::Zamfara,2023-01-01,2023-12-31,,914,,,,6,WHO AFRO Regional Cholera Bulletins,0.9,"Source states: 'Zamfara State reporting the highest number of suspected cases, accounting for 25% (914 cases) of the total' - interpreted as suspected cholera cases"
7,AFR::NGA::Cross_River,2023-01-01,2023-12-31,,718,,,,6,WHO AFRO Regional Cholera Bulletins,0.9,"Source states: 'Other significantly affected states included Cross River with 718 cases' - interpreted as suspected cholera cases"
8,AFR::NGA::Katsina,2023-01-01,2023-12-31,,343,,,,6,WHO AFRO Regional Cholera Bulletins,0.9,"Source states: 'Katsina with 343 cases' - interpreted as suspected cholera cases"
9,AFR::NGA::Bauchi,2009-10-01,2009-12-31,96,,,,,7,Academic literature 2009-2010 Nigeria cholera,0.8,"Source states: 'In the last quarter of 2009, more than 260 people died of cholera in four Northern states with over 96 people in Maidugari, Biu, Gwoza, Dikwa and Jere council areas of Bauchi state' - interpreted as cholera deaths"
10,AFR::NGA,2010-01-01,2010-12-31,1716,41787,,4.1,2011-01-01,7,Academic literature 2009-2010 Nigeria cholera,1.0,"Source states: '18 States of Nigeria reported cholera outbreaks with a total of 41,787 cases including 1,716 deaths (case-fatality rate [CFR]: 4.1%)' - interpreted as cholera surveillance cases and deaths"
11,AFR::NGA::Adamawa,2022-01-01,2022-12-31,5,124,,4.0,2023-01-01,8,NCDC 2022 surveillance compilation,0.9,"Source states: 'Adamawa State currently has 124 cholera cases and 5 fatalities across six local government areas (LGAs)' - interpreted as cholera cases and deaths"
12,AFR::NGA::Jigawa,2022-09-01,2022-09-04,,,247,,2022-09-05,8,NCDC 2022 surveillance compilation,0.9,"Source states: 'from September 1 to September 4, 2022, 247 in Jigawa' - interpreted as suspected cholera cases"
