Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO AFRO Surveillance Report (UID: 20911),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20911.csv,JHU cholera database entry with 52 observations. Frequency: Weekly. Updated: 2024-02-09 Source tags: WHOafro,2018-05-12 to 2018-06-24,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,UNICEF Country Programme Report (UID: 5116),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection5116.csv,JHU cholera database entry with 40964 observations. Frequency: Weekly. Updated: 2024-05-15 Source tags: UNICEFcp,2012-12-31 to 2019-12-29,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,UNICEF Country Programme Report (UID: 21443),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection21443.csv,JHU cholera database entry with 38534 observations. Frequency: Weekly. Updated: 2024-05-15 Source tags: UNICEFcp,2018-01-01 to 2019-12-29,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,JHU Cholera Database (UID: 21475),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection21475.csv,JHU cholera database entry with 1541 observations. Frequency: Weekly. Updated: 2024-08-30 Source tags: Unified,2021-01-04 to 2024-03-24,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,WHO AFRO Surveillance Report (UID: 20693),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20693.csv,JHU cholera database entry with 7 observations. Frequency: Other (96). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01 to 2017-10-22,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,JHU Cholera Database (UID: 958),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection958.csv,JHU cholera database entry with 15 observations. Frequency: Other (95). Updated: 2024-02-09,2010-01-01 to 2010-09-03,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,JHU Cholera Database (UID: 20606),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20606.csv,JHU cholera database entry with 1 observations. Frequency: Other (92). Updated: 2024-02-09,2010-07-26 to 2010-10-26,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,WHO AFRO Surveillance Report (UID: 20677),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20677.csv,JHU cholera database entry with 69 observations. Frequency: Other (9). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01 to 2017-10-08,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,WHO AFRO Surveillance Report (UID: 20932),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20932.csv,JHU cholera database entry with 1 observations. Frequency: Other (9). Updated: 2024-02-09 Source tags: WHOafro,2018-07-04 to 2018-07-13,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,WHO AFRO Surveillance Report (UID: 20685),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20685.csv,JHU cholera database entry with 10 observations. Frequency: Other (89). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01 to 2017-10-15,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
11,WHO AFRO Surveillance Report (UID: 21030),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection21030.csv,JHU cholera database entry with 13 observations. Frequency: Other (86). Updated: 2024-02-09 Source tags: WHOafro,2018-01-01 to 2018-11-17,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
12,JHU Cholera Database (UID: 20349),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20349.csv,JHU cholera database entry with 59 observations. Frequency: Other (79). Updated: 2024-02-09,2013-09-01 to 2014-08-04,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
13,WHO AFRO Surveillance Report (UID: 20919),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20919.csv,JHU cholera database entry with 19 observations. Frequency: Other (77). Updated: 2024-02-09 Source tags: WHOafro,2018-01-01 to 2018-06-28,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
14,WHO AFRO Surveillance Report (UID: 20961),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20961.csv,JHU cholera database entry with 14 observations. Frequency: Other (73). Updated: 2024-02-09 Source tags: WHOafro,2018-01-01 to 2018-08-13,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
15,WHO AFRO Surveillance Report (UID: 20921),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20921.csv,JHU cholera database entry with 8 observations. Frequency: Other (72). Updated: 2024-02-09 Source tags: WHOafro,2018-01-01 to 2018-07-08,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
16,WHO AFRO Surveillance Report (UID: 20721),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20721.csv,JHU cholera database entry with 10 observations. Frequency: Other (71). Updated: 2024-02-09 Source tags: WHOafro,2016-01-01 to 2017-11-18,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
17,WHO AFRO Surveillance Report (UID: 20556),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20556.csv,JHU cholera database entry with 6 observations. Frequency: Other (70). Updated: 2024-02-09 Source tags: WHOafro,2017-05-01 to 2017-07-10,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
18,WHO AFRO Surveillance Report (UID: 20875),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20875.csv,JHU cholera database entry with 2 observations. Frequency: Other (69). Updated: 2024-02-09 Source tags: WHOafro,2018-02-13 to 2018-04-23,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
19,WHO AFRO Surveillance Report (UID: 20700),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20700.csv,JHU cholera database entry with 85 observations. Frequency: Other (66). Updated: 2024-02-09 Source tags: WHOafro,2017-08-16 to 2019-10-29,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
20,WHO AFRO Surveillance Report (UID: 20906),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20906.csv,JHU cholera database entry with 23 observations. Frequency: Other (63). Updated: 2024-02-09 Source tags: WHOafro,2018-01-01 to 2018-06-15,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
21,JHU Cholera Database (UID: 953),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection953.csv,JHU cholera database entry with 2 observations. Frequency: Other (60). Updated: 2024-02-09,2010-05-01 to 2010-08-24,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
22,JHU Cholera Database (UID: 20529),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20529.csv,JHU cholera database entry with 11 observations. Frequency: Other (58). Updated: 2024-02-09,2011-06-01 to 2011-09-28,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
23,WHO AFRO Surveillance Report (UID: 20510),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20510.csv,JHU cholera database entry with 3 observations. Frequency: Other (56). Updated: 2024-02-09 Source tags: WHOafro,2017-04-21 to 2017-06-16,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
24,JHU Cholera Database (UID: 21258),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection21258.csv,JHU cholera database entry with 2 observations. Frequency: Other (547). Updated: 2024-02-09,2019-01-01 to 2020-12-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
25,WHO AFRO Surveillance Report (UID: 20436),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20436.csv,JHU cholera database entry with 16 observations. Frequency: Other (51). Updated: 2024-02-09 Source tags: WHOafro,2018-01-01 to 2019-06-20,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
26,JHU Cholera Database (UID: 20567),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20567.csv,JHU cholera database entry with 3 observations. Frequency: Other (5). Updated: 2024-02-09,2011-01-13 to 2011-01-18,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
27,WHO AFRO Surveillance Report (UID: 20854),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20854.csv,JHU cholera database entry with 1 observations. Frequency: Other (49). Updated: 2024-02-09 Source tags: WHOafro,2018-02-13 to 2018-04-03,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
28,JHU Cholera Database (UID: 21154),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection21154.csv,JHU cholera database entry with 198 observations. Frequency: Other (48). Updated: 2024-02-09,2019-01-01 to 2019-12-01,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
29,WHO AFRO Surveillance Report (UID: 20894),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Nigeria/ObservationCollection20894.csv,JHU cholera database entry with 16 observations. Frequency: Other (44). Updated: 2024-02-09 Source tags: WHOafro,2018-02-01 to 2018-05-27,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
