Location,TL,TR,evidence,source_index,source,confidence_weight,processing_notes,source_database,moved_from_row
AFR::NGA::Borno::Mobbar,2026-05-01,2026-06-07,presence_confirmed_count_unknown,25,UNICEF Nigeria Humanitarian Flash Update Cholera Borno State 7 June 2026,0.5,"Source states: 'Affected local government areas in Borno state include Maiduguri, Jere, Mafa, Konduga, Magumeri, Monguno, Kwaya Kusa, and Ngala. Suspected cases have been reported in Gwoza, Bama, Banki and Mobbar Local Government Areas (LGAs).' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Borno::Nganzai,2026-05-01,2026-07-19,presence_confirmed_count_unknown,68,IFRC DREF Operation MDRNG046 Nigeria Cholera Outbreak 5 August 2026,0.75,"Source states: 'The most affected LGAs are Maiduguri Metropolitan Council (MMC), Jere, Monguno, Konduga and Mafa, which together account for approximately 92 per cent of all reported cases in the state. Additional transmission has been reported in Kukawa, Magumeri, Bama, Biu, Kaga, Kwaya Kusar, Gubio, Mobbar, Ngala, Dikwa, Damboa, Nganzai, Gwoza, Hawul and Marte LGAs. [...] Mafa, Konduga, Monguno, and Kukawa LGAs in Borno State, as well as Jos North and Mangu LGAs in Plateau State.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Borno::Kukawa,2026-05-01,2026-07-19,presence_confirmed_count_unknown,68,IFRC DREF Operation MDRNG046 Nigeria Cholera Outbreak 5 August 2026,0.75,"Source states: 'The most affected LGAs are Maiduguri Metropolitan Council (MMC), Jere, Monguno, Konduga and Mafa, which together account for approximately 92 per cent of all reported cases in the state. Additional transmission has been reported in Kukawa, Magumeri, Bama, Biu, Kaga, Kwaya Kusar, Gubio, Mobbar, Ngala, Dikwa, Damboa, Nganzai, Gwoza, Hawul and Marte LGAs. [...] Mafa, Konduga, Monguno, and Kukawa LGAs in Borno State, as well as Jos North and Mangu LGAs in Plateau State.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Plateau::Jos_North,2026-05-01,2026-07-19,presence_confirmed_count_unknown,68,IFRC DREF Operation MDRNG046 Nigeria Cholera Outbreak 5 August 2026,0.75,"Source states: 'The most affected LGAs are Maiduguri Metropolitan Council (MMC), Jere, Monguno, Konduga and Mafa, which together account for approximately 92 per cent of all reported cases in the state. Additional transmission has been reported in Kukawa, Magumeri, Bama, Biu, Kaga, Kwaya Kusar, Gubio, Mobbar, Ngala, Dikwa, Damboa, Nganzai, Gwoza, Hawul and Marte LGAs. [...] Mafa, Konduga, Monguno, and Kukawa LGAs in Borno State, as well as Jos North and Mangu LGAs in Plateau State.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Borno,1996-01-01,1996-07-04,presence_confirmed_count_unknown,74,"WHO Disease Outbreak News Cholera in Nigeria Update 4, 19 July 1996",0.9,"Source states: 'As of 4 July a total of 12 374 cases with 1193 deaths had been reported since the beginning of the outbreak. Two more states, Taraba and Yobe, have now reported cases. [...] The largest numbers of cases are reported from Kano, Kebbi, Borno, Oyo and Niger States. [6 March 1996 update: 'Cholera has also reported in Kwara, Niger, Ondo (no report), and Oyo.']' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Taraba,1996-01-01,1996-07-04,presence_confirmed_count_unknown,74,"WHO Disease Outbreak News Cholera in Nigeria Update 4, 19 July 1996",0.9,"Source states: 'As of 4 July a total of 12 374 cases with 1193 deaths had been reported since the beginning of the outbreak. Two more states, Taraba and Yobe, have now reported cases. [...] The largest numbers of cases are reported from Kano, Kebbi, Borno, Oyo and Niger States. [6 March 1996 update: 'Cholera has also reported in Kwara, Niger, Ondo (no report), and Oyo.']' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Yobe,1996-01-01,1996-07-04,presence_confirmed_count_unknown,74,"WHO Disease Outbreak News Cholera in Nigeria Update 4, 19 July 1996",0.9,"Source states: 'As of 4 July a total of 12 374 cases with 1193 deaths had been reported since the beginning of the outbreak. Two more states, Taraba and Yobe, have now reported cases. [...] The largest numbers of cases are reported from Kano, Kebbi, Borno, Oyo and Niger States. [6 March 1996 update: 'Cholera has also reported in Kwara, Niger, Ondo (no report), and Oyo.']' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Ondo,1996-01-01,1996-07-04,presence_confirmed_count_unknown,74,"WHO Disease Outbreak News Cholera in Nigeria Update 4, 19 July 1996",0.9,"Source states: 'As of 4 July a total of 12 374 cases with 1193 deaths had been reported since the beginning of the outbreak. Two more states, Taraba and Yobe, have now reported cases. [...] The largest numbers of cases are reported from Kano, Kebbi, Borno, Oyo and Niger States. [6 March 1996 update: 'Cholera has also reported in Kwara, Niger, Ondo (no report), and Oyo.']' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Borno::Guzamala,2017-08-16,2017-12-15,presence_confirmed_count_unknown,76,WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies Week 51 2017,0.9,"Source states: 'In total, six local government areas (LGA) in Borno state were affected, including Jere, Maiduguri Metropolitan Council, Dikwa, Mungono, Mafa and Guzamala.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Taraba::Takum,2026-01-06,2026-01-08,presence_confirmed_count_unknown,134,"Nigerian Tribune - cholera deaths among IDPs in Takum LGA, Taraba, 8 January 2026",0.4,"Source states: 'At least, 13 Internally Displaced Persons IDPs in the Chanchanji ward of Takum LGA in Taraba State have been confirmed dead following a suspected cholera outbreak in the area. [...] 'So far, we have buried 13 people while others are in critical condition.' - 13 deaths reported but NO case count is given anywhere in the source, so per CLAUDE.md this cannot become a row in cholera_data_ai.csv. First Taraba 2026 cholera signal in this dataset; Chanchanji ward, Takum LGA, IDP population.' - cholera confirmed present; no case count available.",AI,
