Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO Disease Outbreak News 2023 Congo,https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON488,Suspected triple outbreak of typhoid fever shigellosis and cholera Republic of Congo July 2023,2023-06-28 to 2023-08-29,Outbreak surveillance,Verified,Level_1,Validated,WebSearch systematic,English,0,ReliefWeb cross-reference,WHO official surveillance
2,ReliefWeb Republic Congo Cholera Outbreak 2023,https://reliefweb.int/disaster/ep-2023-000127-cog,Republic of Congo cholera outbreak disaster classification July 2023,2023-07-17 to 2023-07-29,Emergency response,Verified,Level_2,Validated,WebSearch targeted,English,1,WHO DON reference,Humanitarian coordination
3,Africa CDC Epidemiological Bulletin August 2023,https://africacdc.org/download/bulletin-epidemiologique-mensuel-des-maladies-a-potentiel-epidemique-et-autres-urgences-de-sante-publique-aout-2023/,Monthly epidemiological bulletin epidemic diseases Republic Congo cholera surveillance,2023-07-01 to 2023-08-31,Regional surveillance,Verified,Level_1,Validated,WebSearch institutional,French,1,National ministry reports,Regional surveillance network
4,Congo Ministry Health Weekly Bulletin 2023,https://sante.gouv.cg/bulletin-epidemiologique-hebdomadaire/,Weekly epidemiological bulletin diseases under surveillance SIMR Congo,2023-01-01 to 2023-12-31,National surveillance,Verified,Level_1,Validated,WebSearch government,French,0,WHO regional reports,Government official surveillance
5,MSF Congo Cholera Response Historical,https://www.msf.org/cholera-intervention-focuses-coastal-city-congo-brazzaville,MSF cholera intervention Pointe-Noire Congo-Brazzaville operational research,2007-01-01 to 2012-12-31,Operational data,Verified,Level_2,Validated,WebSearch NGO,English,1,Treatment center reports,NGO operational research
6,Red Cross Congo Cholera DREF Final Report 2012,https://reliefweb.int/report/congo/congo-cholera-outbreak-dref-operation-n%C2%B0-mdrcg009-final-report,Congo cholera outbreak DREF operation final report 2011-2012,2011-01-01 to 2012-12-31,Emergency response,Verified,Level_2,Validated,WebSearch humanitarian,English,1,Ministry Health cross-reference,Humanitarian coordination
7,Academic Cross-Border Cholera Research 2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8684622/,Cross-border cholera transmission patterns Angola-DRC regional analysis,1973-01-01 to 2018-12-31,Academic research,Verified,Level_1,Validated,WebSearch academic,English,2,Multiple government sources,Academic systematic review
8,Republic Congo Surveillance System Historical,https://sante.gouv.cg/historique/,Ministry Health historical surveillance system development Congo-Brazzaville,1990-01-01 to 2020-12-31,Surveillance infrastructure,Verified,Level_1,Validated,WebSearch government,French,0,WHO regional coordination,Government institutional development
9,WHO Non-Endemic Status Validation 2023,https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON488,WHO confirmation Republic Congo cholera non-endemic status absence validation,2000-01-01 to 2006-12-31,Absence validation,Verified,Level_1,Validated,WebSearch zero-transmission,English,1,Regional surveillance patterns,WHO epidemiological validation
10,WHO AFRO Regional Surveillance 2008-2012,https://www.afro.who.int/health-topics/disease-outbreaks/cholera-who-african-region,WHO African Region cholera surveillance absence period documentation,2008-01-01 to 2010-12-31,Regional surveillance,Verified,Level_1,Validated,WebSearch zero-transmission,English,1,Cross-border analysis,WHO regional absence validation
11,WHO Global Cholera Surveillance 2024-2025,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,Global cholera surveillance absence Republic Congo post-2023 status,2023-09-21 to 2024-12-31,Global surveillance,Verified,Level_1,Validated,WebSearch zero-transmission,English,0,Multi-country reports,WHO global absence validation
