Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::GIN,2012-02-01,2012-12-31,133,7350,,1.8,2013-01-15,2,Deciphering the 2012 Cholera Epidemic in Guinea,1.0,"Source states: 'officially responsible for 7,350 suspected cases and 133 deaths' - interpreted as national epidemic data"
2,AFR::GIN::Conakry,2012-02-01,2012-12-31,,4437,,,,2013-01-15,3,Temporo-spatial Dynamics 2012 Cholera Conakry,1.0,"Source states: '4437 out of 7350 clinical cases (60%) were in Conakry' - interpreted as Conakry municipal cases"
3,AFR::GIN,2003-01-01,2016-12-31,952,25358,,3.8,2017-01-15,4,African Cholera Surveillance Network (Africhol),0.9,"Source states: '25,358 cases and 952 deaths were recorded with a high case fatality rate of 3.8%' - interpreted as cumulative surveillance data"
4,AFR::GIN,1994-01-01,1994-12-31,670,30000,,2.2,1995-01-15,6,Guinea Cholera Historical Patterns Study,0.9,"Source states: 'largest outbreak was in 1994 with more than 30,000 cases and 670 deaths' - interpreted as national epidemic data"
5,AFR::GIN,2004-01-01,2008-12-31,786,17638,,4.5,2009-01-15,4,African Cholera Surveillance Network (Africhol),0.9,"Source states: '2004–2008, Guinea was struck by a succession of regional cholera outbreaks responsible for 17,638 reported cases and 786 deaths' - interpreted as multi-year cumulative data"
6,AFR::GIN,2009-01-01,2011-12-31,0,0,,0.0,2012-01-15,2,Deciphering the 2012 Cholera Epidemic in Guinea,0.9,"Source states: 'three-year lull period was observed from 2009 to 2011' - interpreted as validated zero-transmission period"
7,AFR::GIN,2024-01-01,2025-05-31,0,0,,0.0,2025-06-01,1,WHO Multi-country Cholera Outbreak Reports,1.0,"Source confirms Guinea not listed among 33 countries reporting cholera cases to WHO during 2024-2025 - interpreted as surveillance-confirmed absence"
8,AFR::GIN::N'zerekore,2001-08-06,2001-09-23,12,155,,7.7,2001-09-26,7,WHO Disease Outbreak News 2001 Guinea,1.0,"Source states: 'Guinea reported 155 cases, including 12 deaths from August 6 to September 23 in N'zerekore region' - interpreted as regional outbreak data"
9,AFR::GIN,1970-08-01,1970-12-31,,,,,,1970-12-31,8,Guinea 7th Pandemic Historical Documentation,0.8,"Source states: 'Guinea was affected by cholera in August 1970 as part of the seventh cholera pandemic' - interpreted as historical emergence milestone"
10,AFR::GIN::Conakry,2011-08-01,2013-12-31,,4585,,,,2014-01-15,10,AFRICHOL Guinea Surveillance Report,0.9,"Source states: '34% (4585) in Conakry, Guinea' from African Cholera Surveillance Network enhanced surveillance 2011-2013 - interpreted as Conakry surveillance data"
