Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO Multi-country Cholera Outbreak Reports,https://www.who.int/publications/m/item/multi-country-cholera-outbreak--external-situation-report--24--20-march-2025,Global cholera surveillance situation reports documenting absence of Guinea from 2024-2025 outbreak countries,2024-2025,Surveillance Data,Active,Level 1,Validated,WebSearch,English,0,WHO Global Health Observatory,WHO Disease Outbreak News
2,Deciphering the 2012 Cholera Epidemic in Guinea,https://pubmed.ncbi.nlm.nih.gov/24901522/,Epidemiological and molecular analysis of Guinea 2012 cholera outbreak with national case and death counts,2012,Epidemiological Study,Active,Level 1,Validated,PubMed Search,English,2,Sierra Leone cross-border investigation,Academic Citation Network
3,Temporo-spatial Dynamics 2012 Cholera Conakry,https://idpjournal.biomedcentral.com/articles/10.1186/s40249-018-0393-8,Detailed analysis of 2012 cholera epidemic in Conakry with district-level breakdown and CFR data,2012,Epidemiological Study,Active,Level 1,Validated,WebSearch Academic,English,3,WHO surveillance cross-reference,Geographic Analysis
4,African Cholera Surveillance Network (Africhol),https://www.plateformecholera.info/guinee,Cholera surveillance platform with Guinea historical data including cumulative 2003-2016 statistics,2003-2016,Surveillance Data,Active,Level 2,Validated,WebSearch Platform,French,1,WHO AFRO collaboration,Institutional Network
5,MSF Guinea Cholera Treatment Centers,https://www.msf.org/when-cholera-takes-root-conakry-guinea,MSF operational data on Guinea cholera response with case counts and treatment center statistics,2012,Operational Data,Active,Level 2,Validated,MSF Website,English,1,WHO coordination reports,Humanitarian Response
6,Guinea Cholera Historical Patterns Study,https://pubmed.ncbi.nlm.nih.gov/10701212/,Historical analysis of Guinea cholera including 1994-1995 epidemic with case and mortality data,1994-1995,Historical Study,Active,Level 1,Validated,PubMed Search,French,2,WHO historical bulletins,Historical Research
7,WHO Disease Outbreak News 2001 Guinea,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_26-en,WHO surveillance report on cholera outbreak in N'zerekore region Guinea with case and death counts,2001,Surveillance Data,Active,Level 1,Validated,WHO Archives Search,English,0,WHO surveillance system,WHO Disease Outbreak News
8,Guinea 7th Pandemic Historical Documentation,https://en.wikipedia.org/wiki/Seventh_cholera_pandemic,Historical documentation of Guinea cholera emergence in 1970 as part of global 7th pandemic,1970,Historical Documentation,Active,Level 2,Validated,Historical Research,English,1,WHO pandemic records,Academic Citation Network
9,Guinea OCV Campaign NEJM Study,https://www.nejm.org/doi/full/10.1056/nejmoa1312680,Comprehensive study of Guinea 2012 oral cholera vaccine campaign with coverage and effectiveness data,2012,Intervention Study,Active,Level 1,Validated,NEJM Search,English,3,WHO vaccine effectiveness studies,Academic Literature
10,AFRICHOL Guinea Surveillance Report,https://bmcproc.biomedcentral.com/articles/10.1186/s12919-016-0068-z,African Cholera Surveillance Network report with Guinea surveillance data 2011-2013,2011-2013,Surveillance Data,Active,Level 2,Validated,Academic Search,English,2,WHO AFRO collaboration,Institutional Network
