Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO Disease Outbreak News 2001 Guinea Cholera,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_26-en,WHO official outbreak notification for Guinea N'zerekore cholera outbreak August-September 2001 with 155 cases and 12 deaths,2001-08-06 to 2001-09-23,Outbreak Report,Active,Level 1,Validated,WebFetch direct WHO DON,English,1,WHO surveillance 2001,Web search WHO DON,AI
2,Deciphering Origin 2012 Cholera Epidemic Guinea PLOS NTD,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0002898,Peer-reviewed study on 2012 Guinea cholera epidemic with 7350 cases 133 deaths 1.8% CFR. Documents 2004-2008 total of 17638 cases 786 deaths and 2009-2011 lull period. Piarroux et al.,2004-01-01 to 2013-02-06,Academic Study,Active,Level 1,Validated,WebFetch direct PLOS,English,2,WHO surveillance WHO DON ReliefWeb,Web search PubMed,AI
3,Guinea Cholera Safe Water Sources and Sanitations SCIRP,https://www.scirp.org/journal/paperinformation?paperid=48228,Study documenting Guinea cholera 2000-2012: 26859 total cases 992 deaths. Annual data 2003-2009 with prefecture-level CFR. 2012 outbreak: 7147 cases 127 deaths CFR 1.8%. Documents 2007 as 8289 cases 295 deaths.,2000-01-01 to 2012-10-15,Academic Study,Active,Level 2,Validated,WebFetch direct SCIRP journal,English,2,WHO surveillance national MoH data,Web search academic,AI
4,Temporo-spatial Dynamics 2012 Cholera Epidemic Conakry PLOS,https://pmc.ncbi.nlm.nih.gov/articles/PMC5815196/,Study on 2012 cholera epidemic in Conakry: 4437 suspect cases 2011-2013 period. Documents 2003-2013 Guinea had 25358 cases total.,2011-08-01 to 2013-12-31,Academic Study,Active,Level 1,Validated,WebFetch direct PMC,English,2,AFRICHOL WHO surveillance,Web search PubMed,AI
5,Cholera Incidence AFRICHOL Multi-country Surveillance PLOS NTD,https://pmc.ncbi.nlm.nih.gov/articles/PMC4871502/,AFRICHOL network study June 2011-December 2013. Conakry Guinea: 4585 suspect cases 34% of all study cases. 15 deaths CFR 1.2%. 333 stool samples 55 culture-confirmed.,2011-06-01 to 2013-12-31,Academic Study,Active,Level 1,Validated,WebFetch direct PMC,English,2,WHO surveillance AFRICHOL network,Web search PubMed,AI
6,Feasibility Mass Vaccination OCV Guinea 2012 PLOS Medicine,https://pmc.ncbi.nlm.nih.gov/articles/PMC3769208/,Documents 2012 Guinea OCV campaign in Boffa and Forecariah. Initial outbreak: 147 cases 13 deaths Feb 2 - Mar 8 2012. Documents 2007 previous major epidemic: 8289 cases 295 deaths.,2012-02-02 to 2012-12-31,Academic Study,Active,Level 1,Validated,WebFetch direct PMC,English,2,WHO surveillance MSF operational data,Web search PubMed,AI
7,WHO Multi-country Cholera Situation Report 2024 AFRO,https://www.afro.who.int/publications/weekly-regional-cholera-bulletin-4-march-2024,WHO AFRO weekly bulletin March 2024. Guinea not listed among 13 countries with active cholera transmission. Confirms Guinea absence from current outbreak list.,2024-03-04 to 2024-03-04,Surveillance Bulletin,Active,Level 1,Validated,WebFetch direct WHO AFRO,English,1,WHO DON cholera dashboard,Web search WHO AFRO,AI
8,Cholera West Africa Risk Factors 1986 AJPH,https://pubmed.ncbi.nlm.nih.gov/2316500/,Study on 1986 cholera epidemic in Guinea West Africa. 1169 persons reported to health centers with cholera. 43 deaths. CFR 3.7%. Identified food transmission risk factors including peanut sauces.,1986-01-01 to 1986-12-31,Academic Study,Active,Level 1,Validated,Web search PubMed,English,2,WHO surveillance national records,Web search historical academic,AI
9,WHO Cholera Outbreaks 2004 Annual Report,https://www.astrium.com/uploads/pdf/cholera2004.pdf,WHO 2004 annual cholera report documenting Guinea had 333 cases and 31 deaths up to August 31 2004.,2004-01-01 to 2004-08-31,Annual Report,Active,Level 1,Validated,Web search WHO documents,English,1,WHO WER WHO surveillance,Web search WHO annual report,AI
10,WHO DON 2001 West Africa Cholera Update September 2001,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_26-en,WHO Disease Outbreak News documenting cholera in West Africa including Guinea N'zerekore 155 cases 12 deaths August-September 2001.,2001-08-06 to 2001-09-23,Outbreak Report,Active,Level 1,Validated,Web search WHO DON archive,English,1,ReliefWeb WHO AFRO,Web search WHO DON,AI
11,WHO AFRO Monthly Regional Cholera Bulletin June 2025,https://www.afro.who.int/publications/monthly-regional-cholera-bulletin-june-2025,WHO AFRO June 2025 cholera bulletin lists 20 African countries with active cholera transmission. Guinea (GIN) NOT among them (West African countries listed are Cote d'Ivoire Ghana Togo). Confirms Guinea absence from active outbreak list mid-2025.,2025-06-01 to 2025-06-30,Surveillance Bulletin,Active,Level 1,Validated,WebFetch direct WHO AFRO,English,1,WHO multi-country sitrep UNICEF WCAR ECDC,Web search WHO AFRO,AI
12,ECDC Cholera Worldwide Overview Feb 2025-Feb 2026,https://www.ecdc.europa.eu/en/publications-data/geographical-distribution-cholera-cases-reported-worldwide-february-2025-february,ECDC monthly cholera overview Feb 2025-Feb 2026 enumerating countries reporting new cases. Guinea (GIN) NOT listed among reporting countries. Active list includes Angola Burundi DRC Malawi Mozambique Namibia Nigeria Somalia Sudan Zambia Zimbabwe.,2025-02-01 to 2026-02-28,Surveillance Bulletin,Active,Level 1,Validated,WebFetch direct ECDC,English,1,WHO multi-country sitrep WHO AFRO,Web search ECDC,AI
