Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO Disease Outbreak News 2023-DON441,https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON441,WHO official situation report on cholera outbreak in North Kivu DRC covering early 2023 and 2022 annual summary,2022-01-01 to 2023-02-04,Official surveillance report,Active,Level 1,Validated,WebFetch + WebSearch,English,Primary,WHO AFRO bulletins cross-confirmed,Web search discovery,AI
2,WHO Multi-country Cholera Situation Report 2025 DON579,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON579,WHO Disease Outbreak News covering DRC cholera outbreak through August 10 2025 with cumulative case counts,2025-01-01 to 2025-08-10,Official outbreak situation report,Active,Level 1,Validated,WebSearch + WebFetch,English,Primary,WHO AFRO January 2025 bulletin cross-confirmed,Web search discovery,AI
3,WHO Feature Story DRC Cholera Response 2025,https://www.who.int/news-room/feature-stories/detail/who-response-to-challenging-cholera-outbreak-in-the-democratic-republic-of-the-congo,WHO feature story on challenging DRC cholera outbreak with cumulative data through June 8 2025 outbreak declaration,2025-01-01 to 2025-06-08,Feature report with epidemiological data,Active,Level 1,Validated,WebFetch,English,Primary,Consistent with WHO DON579,Web search discovery,AI
4,WHO Multi-country Cholera Epidemiological Update 33 January 2026,https://cdn.who.int/media/docs/default-source/documents/emergencies/situation-reports/20260127_multi-country_outbreak-of-cholera_epidemiological_update_33.pdf,WHO epidemiological update providing 2025 annual summary for DRC cholera with final case counts through December 28 2025,2025-01-01 to 2025-12-28,Annual epidemiological summary,Active,Level 1,Validated,WebSearch,English,Primary,UNICEF DRC worst in 25 years report confirms scale,Web search discovery,AI
5,WHO AFRO Monthly Cholera Bulletin December 2024,https://www.afro.who.int/publications/monthly-regional-cholera-bulletin-december-2024,WHO AFRO monthly bulletin providing 2024 annual regional cholera summary noting DRC among five most-affected nations,2024-01-01 to 2024-12-31,Monthly surveillance bulletin,Active,Level 1,Validated,WebSearch + WebFetch,English,Primary,Consistent with ECDC 2024 data and Cholera Alliance 2024 report,Web search discovery,AI
6,Cholera Epidemics War Disasters Goma Kivu PLoS NTDs 2009,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000436,Peer-reviewed study documenting cholera in Kivu provinces 2000-2007 with total 73605 cases 1612 deaths and reference to 1994 Goma refugee epidemic,2000-01-01 to 2007-12-31,Peer-reviewed academic study,Active,Level 1,Validated,WebFetch,English,Secondary,References WHO and Lancet 1994 Goma data,Web search discovery,AI
7,WHO DON Cholera Zaire January 1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_01_20-en,WHO disease outbreak news on cholera at Tingi-Tingi refugee camp in northeastern Zaire January 1997 with 56 cases 2 deaths,1997-01-01 to 1997-01-20,Official outbreak report,Active,Level 1,Validated,WebFetch,English,Primary,MSF Institut Pasteur laboratory confirmation cited in source,Web search discovery,AI
8,BMC Infectious Diseases Spatiotemporal Dynamics Cholera DRC 1973-2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC10976723/,Peer-reviewed study providing comprehensive spatiotemporal analysis documenting first cholera introduction in DRC in 1973 via Kongo Central and 1977 via Tanganyika,1973-01-01 to 2022-12-31,Peer-reviewed academic study,Active,Level 1,Validated,WebSearch + WebFetch,English,Secondary,Cross-validated with westward spread study,Web search discovery,AI
9,BMC Infectious Diseases Westward Spread DRC Cholera 1973-2018,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06986-9,Peer-reviewed study on westward cholera spread in DRC documenting introduction from Angola in 1973 and eastern introduction from Tanzania in September 1977,1973-01-01 to 2018-12-31,Peer-reviewed academic study,Active,Level 1,Validated,WebSearch,English,Secondary,Consistent with spatiotemporal dynamics study,Web search discovery,AI
10,Cholera Prevention Control Refugee Settings PMC 2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6586254/,PMC review article documenting 1994 Goma cholera epidemic with 58000 to 80000 cases and approximately 12000 deaths among Rwandan refugees in July-August 1994,1994-07-01 to 1994-08-31,Peer-reviewed review article,Active,Level 1,Validated,WebFetch,English,Secondary,Consistent with JHU 1994 annual data 58057 cases 4181 deaths,Web search discovery,AI
