Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,ECDC Cholera Monthly Overview,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,European CDC monthly cholera surveillance report with Namibia 2025 outbreak data,2025-01-01/2025-03-17,Surveillance,ACTIVE,Level_1,VALIDATED,WebSearch_Systematic,English,1,WHO_AFRO_Reports,TIER1_Priority_Search
2,ReliefWeb Namibia Cholera 2014,https://reliefweb.int/disaster/ep-2014-000025-nam,ReliefWeb humanitarian emergency profile for Namibia cholera outbreak 2013-2014,2013-11-01/2014-04-29,Outbreak_Response,ACTIVE,Level_2,VALIDATED,WebSearch_Systematic,English,1,UNICEF_WHO_Reports,TIER1_Priority_Search  
3,PMC Cholera Outbreak Isolates Namibia,https://pmc.ncbi.nlm.nih.gov/articles/PMC2870929/,Peer-reviewed characterization study of first recorded cholera outbreak in Namibia 2006-2007,2006-12-01/2007-02-28,Scientific_Analysis,ACTIVE,Level_1,VALIDATED,WebSearch_Systematic,English,2,WHO_Scientific_Literature,TIER1_Priority_Search
4,ReliefWeb Windhoek Cholera 2018,https://reliefweb.int/report/namibia/cholera-outbreak-windhoek,ReliefWeb report on Windhoek Katutura cholera outbreak in school setting,2018-01-31/2018-01-31,Outbreak_Response,ACTIVE,Level_2,VALIDATED,WebSearch_Systematic,English,1,Ministry_Health_Reports,TIER2_Academic_Search
5,ReliefWeb Kunene Cholera Map 2014,https://reliefweb.int/map/namibia/namibia-cholera-outbreak-kunene-region-10-january-2014,ReliefWeb geographic mapping of Kunene region cholera outbreak with case-specific data,2013-11-01/2014-01-10,Geographic_Analysis,ACTIVE,Level_2,VALIDATED,WebSearch_Systematic,English,1,UNOCHA_Mapping,TIER2_Academic_Search
6,The Namibian Kunene Outbreak 2025,https://www.namibian.com.na/kunene-faces-cholera-outbreak-councilor-uninformed/,Local newspaper coverage of Kunene region cholera detection and response 2025,2025-03-01/2025-03-10,News_Coverage,ACTIVE,Level_3,VALIDATED,WebSearch_Systematic,English,1,Local_Media,TIER2_Academic_Search
7,ReliefWeb Namibia Northern Cholera 2008,https://reliefweb.int/report/namibia/namibia-cholera-outbreak-north,ReliefWeb report on flooding-related cholera outbreak in Engela Health District 2008,2008-03-01/2008-03-31,Outbreak_Response,ACTIVE,Level_2,VALIDATED,WebSearch_Systematic,English,1,UNOCHA_Emergency,TIER3_Temporal_Search
8,ECDC Cholera Surveillance 2015-2024,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,ECDC validation of Namibia zero cholera transmission period 2015-2024,2015-01-01/2024-12-31,Zero_Transmission,ACTIVE,Level_1,VALIDATED,WebSearch_Systematic,English,1,WHO_ECDC_Surveillance,TIER3_Temporal_Search
9,ReliefWeb Namibia Engela Flooding 2008,https://reliefweb.int/report/namibia/namibia-flooding-cholera-engela-district,ReliefWeb emergency report on flooding-related cholera outbreak in Engela District with specific case counts,2008-03-01/2008-03-31,Outbreak_Response,ACTIVE,Level_2,VALIDATED,WebSearch_Systematic,English,1,UNOCHA_Emergency_Response,TIER3_Temporal_Search
10,WHO Namibia Cholera Validation Workshop 2025,https://allafrica.com/stories/202503120045.html,WHO-facilitated cholera elimination validation workshop confirming Namibia decade-long absence period,2015-01-01/2024-12-31,Zero_Transmission_Validation,ACTIVE,Level_1,VALIDATED,WebSearch_Systematic,English,1,Health_Ministry_WHO_Workshop,Agent3_Zero_Transmission_Validation
