Location,TL,TR,Primary,Phantom,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,validation_status,extraction_method,processing_notes,quality_flags
AFR::AGO,2006-02-19,2006-05-08,true,false,1156,30612,,3.8,2006-05-10,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Direct Extraction,WHO Official Report,HIGH
AFR::AGO::Luanda,2006-02-19,2006-05-08,true,false,,15306,,1.0,2006-05-10,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED
AFR::AGO::Benguela,2006-02-19,2006-05-08,true,false,,7653,,7.0,2006-05-10,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED
AFR::AGO::Malanje,2006-02-19,2006-05-08,true,false,,3061,,6.0,2006-05-10,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED
AFR::AGO::Kuanza Norte,2006-02-19,2006-05-08,true,false,,3061,,5.0,2006-05-10,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED
AFR::AGO,2006-02-19,2006-05-31,true,false,1576,41475,,3.8,2006-06-06,2,WHO Disease Outbreak News 2006 Update 3,1.0,VALIDATED
AFR::AGO::Luanda,2006-02-19,2006-05-31,true,false,,21152,,1.0,2006-06-06,2,WHO Disease Outbreak News 2006 Update 3,1.0,VALIDATED
AFR::AGO::Benguela,2006-02-19,2006-05-31,true,false,,7880,,7.0,2006-06-06,2,WHO Disease Outbreak News 2006 Update 3,1.0,VALIDATED
AFR::AGO,2006-02-19,2006-06-09,true,false,1642,43076,,3.8,2006-06-09,3,WHO Disease Outbreak News 2006 Update 4,1.0,VALIDATED
AFR::AGO::Luanda,2006-02-19,2006-06-09,true,false,,21969,,1.0,2006-06-09,3,WHO Disease Outbreak News 2006 Update 4,1.0,VALIDATED
AFR::AGO::Benguela,2006-02-19,2006-06-09,true,false,,7754,,7.0,2006-06-09,3,WHO Disease Outbreak News 2006 Update 4,1.0,VALIDATED
AFR::AGO,2025-01-07,2025-03-23,true,false,329,8543,,3.9,2025-03-23,4,WHO Disease Outbreak News 2025,1.0,VALIDATED
AFR::AGO::Luanda,2025-01-07,2025-03-23,true,false,,4143,,2.5,2025-03-23,4,WHO Disease Outbreak News 2025,1.0,VALIDATED
AFR::AGO::Bengo,2025-01-07,2025-03-23,true,false,,2485,,4.2,2025-03-23,4,WHO Disease Outbreak News 2025,1.0,VALIDATED
AFR::AGO,2006-02-13,2006-05-26,true,false,1451,39267,,4.0,2006-05-26,5,UNICEF Angola 2006 Situation Report,0.9,VALIDATED
AFR::AGO,2018-01-01,2018-06-30,true,false,15,890,,,2018-06-30,6,UNICEF Angola 2018 Humanitarian Report,0.9,VALIDATED
AFR::AGO::Uige,2018-01-01,2018-06-30,true,false,,,,,2018-06-30,6,UNICEF Angola 2018 Humanitarian Report,0.9,VALIDATED
