Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 5016),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection5016.csv,JHU cholera database entry with 19 observations. Frequency: Weekly. Updated: 2024-03-15,2009-01-18 to 2009-06-13,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,JHU Cholera Database (UID: 700),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection700.csv,JHU cholera database entry with 44 observations. Frequency: Weekly. Updated: 2025-03-17,2008-08-17 to 2009-06-27,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,UNICEF Country Programme Report (UID: 21447),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21447.csv,"JHU cholera database entry with 17 observations. Frequency: Weekly. Updated: 2024-05-15 Source tags: Unified
UNICEFcp",2018-01-22 to 2018-12-30,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,JHU Cholera Database (UID: 20431),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection20431.csv,JHU cholera database entry with 3 observations. Frequency: Other (80). Updated: 2024-02-09,2008-08-01 to 2009-03-17,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,JHU Cholera Database (UID: 20427),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection20427.csv,JHU cholera database entry with 2 observations. Frequency: Other (76). Updated: 2024-02-09,2008-08-01 to 2008-12-25,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,WHO AFRO Surveillance Report (UID: 21040),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21040.csv,JHU cholera database entry with 2 observations. Frequency: Other (76). Updated: 2025-03-17 Source tags: WHOafro,2018-09-06 to 2018-11-21,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,JHU Cholera Database (UID: 10053),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection10053.csv,JHU cholera database entry with 1 observations. Frequency: Other (730). Updated: 2024-02-18,2008-01-01 to 2009-12-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,JHU Cholera Database (UID: 20388),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection20388.csv,JHU cholera database entry with 4 observations. Frequency: Other (7). Updated: 2025-03-17,2018-09-01 to 2018-09-15,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,WHO AFRO Surveillance Report (UID: 21024),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21024.csv,JHU cholera database entry with 2 observations. Frequency: Other (63). Updated: 2025-03-17 Source tags: WHOafro,2018-09-06 to 2018-11-08,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,WHO AFRO Surveillance Report (UID: 21034),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21034.csv,JHU cholera database entry with 2 observations. Frequency: Other (63). Updated: 2025-03-17 Source tags: WHOafro,2018-09-06 to 2018-11-08,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
11,WHO AFRO Surveillance Report (UID: 21018),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21018.csv,JHU cholera database entry with 2 observations. Frequency: Other (55). Updated: 2025-03-17 Source tags: WHOafro,2018-09-06 to 2018-10-31,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
12,JHU Cholera Database (UID: 20527),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection20527.csv,JHU cholera database entry with 2 observations. Frequency: Other (549). Updated: 2024-02-09,2008-01-01 to 2012-05-17,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
13,WHO AFRO Surveillance Report (UID: 21012),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21012.csv,JHU cholera database entry with 2 observations. Frequency: Other (50). Updated: 2025-03-17 Source tags: WHOafro,2018-09-06 to 2018-10-26,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
14,JHU Cholera Database (UID: 10993),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection10993.csv,JHU cholera database entry with 1 observations. Frequency: Other (498). Updated: 2024-02-24,2008-08-20 to 2009-12-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
15,JHU Cholera Database (UID: 21212),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21212.csv,JHU cholera database entry with 10 observations. Frequency: Other (437). Updated: 2024-02-09,2008-01-01 to 2019-12-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
16,WHO AFRO Surveillance Report (UID: 20864),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection20864.csv,JHU cholera database entry with 39 observations. Frequency: Other (4). Updated: 2025-03-17 Source tags: WHOafro,2018-03-22 to 2018-04-20,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
17,JHU Cholera Database (UID: 20549),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection20549.csv,JHU cholera database entry with 1 observations. Frequency: Other (38). Updated: 2025-03-17,2010-10-01 to 2010-11-08,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
18,WHO AFRO Surveillance Report (UID: 20805),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection20805.csv,JHU cholera database entry with 3 observations. Frequency: Other (38). Updated: 2025-03-17 Source tags: WHOafro,2018-01-08 to 2018-02-15,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
19,WHO AFRO Surveillance Report (UID: 21011),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21011.csv,JHU cholera database entry with 80 observations. Frequency: Other (38). Updated: 2025-03-17 Source tags: WHOafro,2018-09-06 to 2018-10-21,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
20,JHU Cholera Database (UID: 11289),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection11289.csv,JHU cholera database entry with 1 observations. Frequency: Other (361). Updated: 2024-02-24,2008-08-01 to 2009-07-28,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
21,JHU Cholera Database (UID: 10261),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection10261.csv,JHU cholera database entry with 1 observations. Frequency: Other (361). Updated: 2024-03-15,2008-08-01 to 2009-07-28,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
22,JHU Cholera Database (UID: 21224),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21224.csv,JHU cholera database entry with 8 observations. Frequency: Other (35). Updated: 2024-02-09,2015-01-01 to 2015-04-08,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
23,JHU Cholera Database (UID: 10452),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection10452.csv,JHU cholera database entry with 1 observations. Frequency: Other (344). Updated: 2025-03-17,2008-08-20 to 2009-07-30,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
24,JHU Cholera Database (UID: 20565),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection20565.csv,JHU cholera database entry with 3 observations. Frequency: Other (328). Updated: 2024-02-09,2009-02-01 to 2010-12-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
25,JHU Cholera Database (UID: 11268),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection11268.csv,JHU cholera database entry with 1 observations. Frequency: Other (312). Updated: 2024-02-24,2008-08-01 to 2009-06-09,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
26,JHU Cholera Database (UID: 10451),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection10451.csv,JHU cholera database entry with 1 observations. Frequency: Other (304). Updated: 2024-02-18,2008-08-01 to 2009-06-01,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
27,WHO AFRO Surveillance Report (UID: 20992),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection20992.csv,JHU cholera database entry with 2 observations. Frequency: Other (28). Updated: 2025-03-17 Source tags: WHOafro,2018-09-06 to 2018-10-04,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
28,WHO AFRO Surveillance Report (UID: 21006),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zimbabwe/ObservationCollection21006.csv,JHU cholera database entry with 120 observations. Frequency: Other (25). Updated: 2025-03-17 Source tags: WHOafro,2018-09-04 to 2018-10-12,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
