Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,Cholera vaccine immunogenicity study - Gabonese school children,https://pubmed.ncbi.nlm.nih.gov/27642131/,Study of cholera vaccine response in 89 children in Lambaréné Gabon,2016,Vaccine_Research,Active,Level_1,Validated,PubMed_search,English,Direct,None,Systematic_academic_search
2,Central Africa CDC Regional Collaborating Centre,https://au.int/en/pressreleases/20170803/central-africa-establishes-africa-centres-disease-control-and-prevention,Gabon hosts BSL-4 laboratories for regional disease surveillance including cholera,2017-ongoing,Surveillance_Infrastructure,Active,Level_1,Validated,Web_search,English,Direct,None,WHO_institutional_search
3,T7 Vibrio cholerae molecular epidemiology evidence,https://pmc.ncbi.nlm.nih.gov/articles/PMC7774542/,T7 isolates identified in Gabon as part of Central African transmission network,Early_1980s,Molecular_Evidence,Active,Level_1,Validated,Academic_search,English,Citation_network,PMC7351161,Molecular_epidemiology_search
4,American Journal of Tropical Medicine and Hygiene 2018 study,https://www.ajtmh.org/view/journals/tpmd/98/5/article-p1269.xml,Gabon specifically mentioned as having no registered cholera outbreaks in EM-DAT database 1990-2010,1990-2010,Zero_Transmission_Evidence,Active,Level_1,Validated,Systematic_academic_search,English,Direct,None,PubMed_systematic_search
5,2002 cholera vaccine immunogenicity study Clinical Infectious Diseases,https://academic.oup.com/cid/article-abstract/35/10/1147/296128,Cholera vaccine study conducted in 330 Gabonese schoolchildren in Lambaréné,2002,Vaccine_Research,Active,Level_1,Validated,Academic_database_search,English,Direct,None,Oxford_Academic_search
6,1997 Vibrio cholerae O1 sublineage molecular evidence,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2019.00203/full,Same V. cholerae O1 sublineages identified in Gabon and DRC before spread to CAR,1997,Molecular_Evidence,Active,Level_1,Validated,Academic_literature_search,English,Citation_reference,PMC6664003,Molecular_epidemiology_systematic
7,French military medical archives Gabon 1921-1956,https://scholar.harvard.edu/files/emontero/files/lowes_montero_colonialmedicine.pdf,Digitized 30 years of French military archival records documenting health campaigns in Gabon,1921-1956,Historical_Archives,Active,Level_1,Validated,Historical_research,English,Academic_citation,Multiple_archives,Colonial_medical_campaign_documentation
8,Albert Schweitzer Hospital medical archives,https://www.schweitzer.org/en/find-out-more/the-archives/,Historical medical records repository with 80000 letters and detailed treatment protocols,1913-ongoing,Medical_Archives,Active,Level_1,Validated,Institutional_archive_search,English,Direct,None,Hospital_medical_records_repository
9,RISLNET Central Africa surveillance network,https://africacdc.org/news-item/interview-with-the-central-africa-regional-coordinator-for-rislnet/,Regional surveillance network with Gabon as Secretariat General established 2018,2018-ongoing,Regional_Surveillance,Active,Level_1,Validated,Regional_organization_search,English,Direct,Africa_CDC,Regional_disease_surveillance_network
10,Cross-border cholera analysis Gabon status 2003,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-23007-5,Evidence showing Gabon last reported cholera cases in 2003 in cross-border transmission study,2003,Cross_Border_Analysis,Active,Level_1,Validated,Academic_epidemiological_research,English,Peer_reviewed,BMC_Public_Health,Regional_cholera_surveillance_analysis
