Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 835),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection835.csv,JHU cholera database entry with 2 observations. Frequency: Weekly. Updated: 2024-02-09,2007-10-19 to 2007-11-27,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,JHU Cholera Database (UID: 850),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection850.csv,JHU cholera database entry with 1 observations. Frequency: Weekly. Updated: 2024-02-09,2011-01-14 to 2011-01-20,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,JHU Cholera Database (UID: 851),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection851.csv,JHU cholera database entry with 3 observations. Frequency: Weekly. Updated: 2024-02-09,2011-05-23 to 2011-06-12,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,JHU Cholera Database (UID: 832),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection832.csv,JHU cholera database entry with 7 observations. Frequency: Other (97). Updated: 2024-02-09,2005-02-01 to 2005-11-08,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,JHU Cholera Database (UID: 843),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection843.csv,JHU cholera database entry with 1 observations. Frequency: Other (89). Updated: 2024-02-09,2008-10-12 to 2009-01-09,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,JHU Cholera Database (UID: 847),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection847.csv,JHU cholera database entry with 2 observations. Frequency: Other (81). Updated: 2024-02-09,2008-10-01 to 2009-02-10,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,JHU Cholera Database (UID: 21462),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection21462.csv,JHU cholera database entry with 53 observations. Frequency: Other (8). Updated: 2024-08-25,2022-09-01 to 2024-01-28,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,WHO AFRO Surveillance Report (UID: 20459),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection20459.csv,JHU cholera database entry with 4 observations. Frequency: Other (73). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01 to 2017-03-15,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,JHU Cholera Database (UID: 21402),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection21402.csv,JHU cholera database entry with 111 observations. Frequency: Other (7). Updated: 2024-08-25,2022-09-01 to 2023-03-20,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,JHU Cholera Database (UID: 836),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection836.csv,JHU cholera database entry with 2 observations. Frequency: Other (66). Updated: 2024-02-09,2007-10-01 to 2008-01-15,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
11,JHU Cholera Database (UID: 853),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection853.csv,JHU cholera database entry with 1 observations. Frequency: Other (59). Updated: 2024-02-09,2012-02-01 to 2012-03-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
12,JHU Cholera Database (UID: 11674),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection11674.csv,JHU cholera database entry with 1 observations. Frequency: Other (545). Updated: 2024-02-09,2005-01-01 to 2006-06-30,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
13,JHU Cholera Database (UID: 11673),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection11673.csv,JHU cholera database entry with 1 observations. Frequency: Other (50). Updated: 2024-02-09,2008-01-01 to 2008-02-20,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
14,JHU Cholera Database (UID: 3802),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection3802.csv,JHU cholera database entry with 14 observations. Frequency: Other (50). Updated: 2024-02-09,2015-01-01 to 2016-12-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
15,JHU Cholera Database (UID: 840),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection840.csv,JHU cholera database entry with 1 observations. Frequency: Other (50). Updated: 2024-02-09,2008-08-20 to 2008-10-09,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
16,JHU Cholera Database (UID: 839),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection839.csv,JHU cholera database entry with 2 observations. Frequency: Other (5). Updated: 2024-02-09,2008-03-22 to 2008-03-29,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
17,WHO AFRO Surveillance Report (UID: 20841),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection20841.csv,JHU cholera database entry with 59 observations. Frequency: Other (43). Updated: 2024-02-09 Source tags: WHOafro,2017-08-12 to 2018-03-25,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
18,JHU Cholera Database (UID: 849),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection849.csv,JHU cholera database entry with 11 observations. Frequency: Other (41). Updated: 2024-02-09,2010-01-01 to 2010-03-19,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
19,JHU Cholera Database (UID: 842),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection842.csv,JHU cholera database entry with 2 observations. Frequency: Other (40). Updated: 2024-02-09,2008-10-20 to 2008-12-10,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
20,WHO AFRO Surveillance Report (UID: 20443),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection20443.csv,JHU cholera database entry with 2 observations. Frequency: Other (39). Updated: 2024-02-09 Source tags: WHOafro,2019-03-27 to 2019-05-05,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
21,JHU Cholera Database (UID: 841),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection841.csv,JHU cholera database entry with 1 observations. Frequency: Other (366). Updated: 2024-02-09,2007-10-01 to 2008-10-01,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
22,JHU Cholera Database (UID: 831),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Mozambique/ObservationCollection831.csv,JHU cholera database entry with 2 observations. Frequency: Other (36). Updated: 2024-02-09,2005-01-01 to 2005-03-09,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
