# AUTHORIZED SOURCES - All URLs below are PRE-APPROVED for immediate access without permission
# Format: root_url|AUTHORIZED
# AI instances should proceed directly to search/fetch from these domains

# INTERNATIONAL ORGANIZATIONS - UN AGENCIES
apps.who.int|AUTHORIZED
afro.who.int|AUTHORIZED
who.int|AUTHORIZED
emro.who.int|AUTHORIZED
paho.org|AUTHORIZED
searo.who.int|AUTHORIZED
unocha.org|AUTHORIZED
reliefweb.int|AUTHORIZED
data.humdata.org|AUTHORIZED
unicef.org|AUTHORIZED
unhcr.org|AUTHORIZED
wfp.org|AUTHORIZED
news.un.org|AUTHORIZED
angola.un.org|AUTHORIZED
cerf.un.org|AUTHORIZED
undp.org|AUTHORIZED

# INTERNATIONAL ORGANIZATIONS - DEVELOPMENT BANKS & PARTNERSHIPS
worldbank.org|AUTHORIZED
data.worldbank.org|AUTHORIZED
projects.worldbank.org|AUTHORIZED
gavi.org|AUTHORIZED
gates.org|AUTHORIZED
pepfar.gov|AUTHORIZED
globalfund.org|AUTHORIZED

# SURVEILLANCE NETWORKS & DISEASE MONITORING PLATFORMS
ecdc.europa.eu|AUTHORIZED
africacdc.org|AUTHORIZED
cdc.gov|AUTHORIZED
promedmail.org|AUTHORIZED
healthmap.org|AUTHORIZED
gtfcc.org|AUTHORIZED
isid.org|AUTHORIZED
eios.who.int|AUTHORIZED

# ACADEMIC INSTITUTIONS - MAJOR MEDICAL SCHOOLS & RESEARCH CENTERS
ncbi.nlm.nih.gov|AUTHORIZED
pubmed.ncbi.nlm.nih.gov|AUTHORIZED
pmc.ncbi.nlm.nih.gov|AUTHORIZED
jhsph.edu|AUTHORIZED
iddynamics.jhsph.edu|AUTHORIZED
pure.johnshopkins.edu|AUTHORIZED
cidrap.umn.edu|AUTHORIZED
hsph.harvard.edu|AUTHORIZED
imperial.ac.uk|AUTHORIZED
lshtm.ac.uk|AUTHORIZED
pasteur.fr|AUTHORIZED
research.pasteur.fr|AUTHORIZED

# ACADEMIC INSTITUTIONS - JOURNALS & PUBLISHERS
thelancet.com|AUTHORIZED
nature.com|AUTHORIZED
science.org|AUTHORIZED
journals.plos.org|AUTHORIZED
frontiersin.org|AUTHORIZED
mdpi.com|AUTHORIZED
bmcinfectdis.biomedcentral.com|AUTHORIZED
academic.oup.com|AUTHORIZED
researchgate.net|AUTHORIZED
academia.edu|AUTHORIZED
biorxiv.org|AUTHORIZED
medrxiv.org|AUTHORIZED
ssrn.com|AUTHORIZED
scholar.google.com|AUTHORIZED
semanticscholar.org|AUTHORIZED
crossref.org|AUTHORIZED
orcid.org|AUTHORIZED
arxiv.org|AUTHORIZED
zenodo.org|AUTHORIZED
figshare.com|AUTHORIZED
dspace.org|AUTHORIZED
eprints.org|AUTHORIZED
digitalcommons.org|AUTHORIZED

# RESEARCH GATEWAYS & INSTITUTIONAL REPOSITORIES
jstor.org|AUTHORIZED
wiley.com|AUTHORIZED
springer.com|AUTHORIZED
sciencedirect.com|AUTHORIZED
taylorfrancis.com|AUTHORIZED
cambridge.org|AUTHORIZED
sagepub.com|AUTHORIZED
karger.com|AUTHORIZED
thieme.com|AUTHORIZED
cochranelibrary.com|AUTHORIZED
jmir.org|AUTHORIZED
repository.org|AUTHORIZED
openaire.eu|AUTHORIZED
core.ac.uk|AUTHORIZED
base-search.net|AUTHORIZED
oaister.org|AUTHORIZED
opendoar.org|AUTHORIZED

# HUMANITARIAN & MEDICAL NGOs
msf.org|AUTHORIZED
doctorswithoutborders.org|AUTHORIZED
oxfam.org|AUTHORIZED
savethechildren.org|AUTHORIZED
care.org|AUTHORIZED
ifrc.org|AUTHORIZED
actionagainsthunger.org|AUTHORIZED
mercycorps.org|AUTHORIZED
