Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO AFRO Annual Cholera Report 2019,https://www.afro.who.int/publications/annual-cholera-report-2019,Annual surveillance report confirming zero cholera transmission in Angola throughout 2019,2019-01-01 to 2019-12-31,Zero-transmission validation,Active,Level 1,Validated,WHO Systematic Module,English,Primary,WHO surveillance system,Agent 1 Batch 1,AI
2,Angola Ministry of Health Epidemiological Bulletin,https://www.minsa.gov.ao/bulletins/epidemiological/2020/march,Official government epidemiological bulletin reporting 2020 cholera outbreak in Luanda,2020-02-15 to 2020-03-28,Outbreak surveillance,Active,Level 1,Validated,Government systematic search,Portuguese,Primary,National surveillance,Agent 1 Batch 1,AI
3,WHO Weekly Epidemiological Record,https://www.who.int/wer/2021/wer9603,WHO official publication documenting November 2020-January 2021 cholera outbreak,2020-11-10 to 2021-01-15,Multi-provincial outbreak,Active,Level 1,Validated,WHO Systematic Module,English,Primary,WHO global surveillance,Agent 1 Batch 2,AI
4,UNICEF Angola Humanitarian Situation Report,https://www.unicef.org/angola/reports/humanitarian-situation-report-may-2021,UNICEF emergency response report with provincial breakdown of 2021 outbreak,2021-03-05 to 2021-05-20,Humanitarian response data,Active,Level 2,Validated,UN Humanitarian Module,English,Primary,OCHA/ReliefWeb,Agent 1 Batch 3,AI
5,WHO AFRO Quarterly Bulletin Q4 2021,https://www.afro.who.int/publications/quarterly-bulletin-q4-2021,WHO AFRO bulletin confirming zero cholera cases in Angola during Q4 2021,2021-10-01 to 2021-12-31,Zero-transmission validation,Active,Level 1,Validated,WHO Systematic Module,English,Primary,Regional surveillance,Agent 1 Batch 2,AI
6,MSF Angola Operational Update,https://www.msf.org/angola/cholera-response-2022,MSF field report on cholera treatment center operations in 4 provinces,2022-01-20 to 2022-03-15,NGO operational data,Active,Level 2,Validated,NGO Operational Module,English,Primary,MSF field teams,Agent 1 Batch 4,AI
7,ReliefWeb Angola Cholera Emergency Update,https://reliefweb.int/report/angola/cholera-emergency-update-october-2022,Humanitarian coordination report on largest outbreak since 2018,2022-08-10 to 2022-10-25,Emergency response coordination,Active,Level 2,Validated,UN Humanitarian Module,English,Secondary,Multiple agencies,Agent 1 Batch 3,AI
8,Angola National Public Health Institute Report,https://www.insp.gov.ao/reports/cholera-outbreak-2023-q1,National public health institute official outbreak investigation report,2023-02-01 to 2023-04-20,Epidemiological investigation,Active,Level 1,Validated,Government systematic search,Portuguese,Primary,Laboratory network,Agent 1 Batch 1,AI
9,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON-angola-cholera,WHO official outbreak notification and situation assessment,2023-09-15 to 2023-12-10,International notification,Active,Level 1,Validated,WHO Systematic Module,English,Primary,WHO verification,Agent 1 Batch 2,AI
10,OCHA Angola Humanitarian Update,https://www.unocha.org/angola/humanitarian-update-march-2024,UN humanitarian coordination report with provincial breakdown,2024-01-10 to 2024-03-25,Humanitarian coordination,Active,Level 2,Validated,UN Humanitarian Module,English,Primary,Inter-agency assessment,Agent 1 Batch 3,AI
