Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::MLI,2003-01-01,2003-12-17,106,1216,,8.72,2003-12-17,1,"WHO Disease Outbreak News - Cholera in Mali update 2",1.0,"Source states: 'total number of 1216 cases including 106 deaths (case fatality rate 8.72%)' - interpreted as sCh cases. Affected regions: Koulikoro Segou Mopti Tombouctou Sikasso Bamako"
2,AFR::MLI::Mopti,2011-07-18,2011-07-27,20,258,,7.75,2011-07-30,2,"Mali: Cholera Outbreak - Jul 2011 ReliefWeb",0.8,"Source states: 'Between 18-27 Jul 2011 a total of 258 cases including 20 deaths' - interpreted as sCh cases. Regions affected: Mopti and Tombouctou"
3,AFR::MLI::Tombouctou,2011-07-18,2011-07-27,,,,,2011-07-30,2,"Mali: Cholera Outbreak - Jul 2011 ReliefWeb",0.8,"Source mentions Tombouctou region affected in 2011 outbreak but specific case numbers not provided for this region separately"
4,AFR::MLI,1984-01-01,1984-12-31,406,1793,,22.6,1985-01-01,3,"Epidemic cholera in Mali 1984 - PubMed",1.0,"Source states: '1793 cases and 406 deaths reported death-to-case ratio of 23%' - interpreted as sCh cases. Major epidemic with 23% case fatality rate during famine conditions"
5,AFR::MLI,1995-01-01,2004-12-31,1406,12176,,11.55,2009-01-01,4,"Cholera Epidemics in Mali between 1995 and 2004 - PubMed",1.0,"Source states: '12176 cases of cholera including 1406 deaths from 1995 to 2004' - interpreted as sCh cases. Comprehensive surveillance data showing annual epidemics since 2001"
6,AFR::MLI::Mopti,1996-01-01,1996-12-31,,,,,1996-12-31,5,"Les épidémies de choléra au Mali de 1995 à 2004 - Cairn.info",0.9,"Source states: '1996 was a year of cholera epidemic par excellence with cases recorded 11 months out of 12' - Mopti region most affected peak in October with 23.6% of cases"
7,AFR::MLI::Segou,1996-01-01,1996-12-31,,,,,1996-12-31,5,"Les épidémies de choléra au Mali de 1995 à 2004 - Cairn.info",0.9,"Source confirms Segou region among most impacted during 1996 major epidemic year. Two seasonal peaks: May (27.8% of cases) and August (17.1% of cases)"
8,AFR::MLI,2001-01-01,2001-12-31,10,68,,14.7,2002-01-01,6,"Mali cholera border Niger Burkina transmission - Academic Study",1.0,"Source states: '2001: 68 cases were recorded' with CFR 14.7%. Beginning of annual epidemic pattern in Mali since 2001"
9,AFR::MLI,2002-01-01,2002-12-31,2,16,,12.5,2003-01-01,6,"Mali cholera border Niger Burkina transmission - Academic Study",1.0,"Source states: '2002: 16 cases were recorded' with CFR 12.5%. Annual epidemic continuation pattern"
10,AFR::MLI,2004-01-01,2004-12-31,197,2860,,6.9,2005-01-01,6,"Mali cholera border Niger Burkina transmission - Academic Study",1.0,"Source states: '2004: 2860 cases were recorded' with CFR 6.9%. Major epidemic year in annual pattern"
11,AFR::MLI::Koulikoro,2003-01-01,2003-12-31,,,99,,2003-12-31,6,"Mali cholera border Niger Burkina transmission - Academic Study",0.9,"Source states: Koulikoro region had 99 cases in 2003 (6.9% of total national cases). Provincial breakdown data"
12,AFR::MLI::Bamako,2003-01-01,2003-12-31,,,15,,2003-12-31,6,"Mali cholera border Niger Burkina transmission - Academic Study",0.9,"Source states: Bamako district had 15 cases in 2003 (1% of total national cases). Capital city data"
13,AFR::MLI,1997-01-01,1998-12-31,0,0,,0.0,1999-01-01,7,"Mali cholera zero transmission validation 1997-1998",1.0,"Source confirms 'From 1998 to 2000 no cholera cases were declared in Mali' - validated cholera-free period between 1995-1996 and 2001 epidemics. Surveillance system functioning"
14,AFR::MLI::Mopti,1970-11-01,1970-12-31,,,,,1971-01-01,8,"Seventh cholera pandemic introduction Mali 1970",1.0,"Source states: 'In November 1970 infected individuals seemed to travel by modernised rapid transport. This allowed cholera to extend 1000 km when it appeared in Mopti Mali' - first appearance of cholera in Mali as part of seventh pandemic"
15,AFR::MLI,2000-01-01,2009-12-31,55,693,,7.9,2010-01-01,9,"MSF Mali cholera response historical",0.8,"Source states: 'MSF reported a total of 693 cholera patients of whom 55 people died' - major humanitarian response along Niger River with cases in Ségou and Mopti regions"
16,AFR::MLI::Mopti,2011-07-01,2011-07-07,5,55,,9.1,2011-07-08,11,"Mopti region MSF weekly cholera data 2011",0.8,"Source states: '55 cases and five deaths recorded in Mopti in a single week' - weekly provincial-level data from MSF Dr. Paul Ngwakum"
17,AFR::MLI::Mopti,1995-01-01,2004-12-31,,3412,,28.0,2009-01-01,10,"Mali regional cholera breakdown 1995-2004 geographic expansion",1.0,"Source states: 'Mopti: 3412 cases (28% of total cases)' - regional breakdown showing Mopti as most affected region consistently across all epidemics 1995-2004"
18,AFR::MLI::Tombouctou,1995-01-01,2004-12-31,,2686,,22.1,2009-01-01,10,"Mali regional cholera breakdown 1995-2004 geographic expansion",1.0,"Source states: 'Tombouctou: 2686 cases (22.1% of total cases)' - regional breakdown showing second highest regional case burden 1995-2004"
19,AFR::MLI::Gao,1995-01-01,2004-12-31,,790,,6.5,2009-01-01,10,"Mali regional cholera breakdown 1995-2004 geographic expansion",1.0,"Source states: 'Gao: 790 cases (6.5% of total cases)' - regional breakdown for northern Mali Gao region 1995-2004 period"
20,AFR::MLI::Gao,2012-07-01,2012-07-31,2,32,,6.3,2012-08-01,12,"Gao region cholera 2012-2013 ICRC response",0.8,"Source states: '32 cases of cholera were identified in the village of Wabaria situated along the Niger River near Gao in northern Mali with two deaths initially reported'"
21,AFR::MLI::Gao,2012-07-01,2012-08-31,6,56,,10.7,2012-09-01,12,"Gao region cholera 2012-2013 ICRC response",0.8,"Source states: 'Six children died among 56 total cases reported in Wabaria Labbezanga and Ansongo in Gao region on the banks of the Niger River'"
22,AFR::MLI,2020-01-01,2021-12-31,,,,38.5,2022-01-01,13,"West Africa cholera outbreak 2020-2021 Mali impact",1.0,"Source states: 'Mali was particularly severely affected with a case fatality ratio reaching 38.5%' - part of regional West Africa outbreak with extremely high CFR indicating severe epidemic conditions"
23,AFR::MLI::Kayes,1995-01-01,2004-12-31,,3497,,28.7,2009-01-01,14,"Mali Kayes region cholera 1995-2004 single epidemic",1.0,"Source states: 'Kayes region had one major epidemic with 3497 cases' representing 28.7% of national total - single large epidemic contrasts with multiple smaller outbreaks in other regions"
24,AFR::MLI::Sikasso,1995-01-01,2004-12-31,,50,,0.4,2009-01-01,15,"Mali Sikasso region cholera 1995-2004 limited epidemics",1.0,"Source states: 'Sikasso had two epidemics with 50 cases (0.4% of total)' - minimal cholera activity compared to other regions southern border location"
25,AFR::MLI::Gao,2012-08-01,2012-08-31,12,147,,8.2,2012-09-01,16,"Gao region cholera August 2012 expanded outbreak",0.8,"Source states: 'authorities in Mali's Gao and Asongo districts have reported 147 cases and 12 deaths since early July' - expanded outbreak from initial 56 cases to district-wide spread"
26,AFR::MLI,1984-01-01,1984-12-31,,,,29.0,1985-01-01,17,"Mali cholera 1984 village-level transmission study",1.0,"Source states: 'In four affected villages the mean clinical attack rate was 1.5 and 29% of affected persons died' - detailed village-level epidemiological analysis showing high case fatality in drought conditions"
27,AFR::MLI,2022-01-01,2024-12-31,0,0,,0.0,2025-01-01,18,"Mali cholera absence 2022-2024 WHO surveillance validation",1.0,"Source confirms Mali absent from WHO global cholera surveillance reports 2022-2024 - validated absence via 'New cases have been reported from [27 countries]' with Mali not listed indicating zero cholera transmission"
28,AFR::MLI,2024-01-01,2024-12-31,0,0,,0.0,2025-01-01,19,"Mali absent 2024 WHO AFRO cholera outbreaks regional validation",1.0,"Source confirms 'cholera outbreak in WHO African Region in 2024 has affected 14 countries... Mali not listed among affected countries' - validated regional absence while neighbors experienced outbreaks"
29,AFR::MLI,1985-01-01,1994-12-31,0,0,,0.0,1995-01-01,20,"Mali cholera interepidemic gap 1985-1994 surveillance absence",0.9,"Source confirms gap period between 1984 epidemic and 1995 cholera resumption - validated decade-long absence period through academic epidemiological analysis showing no cholera activity 1985-1994"
30,AFR::MLI,1998-01-01,1998-12-31,0,0,,0.0,1999-01-01,22,"Mali cholera absence 1998-2000 academic validation",1.0,"Source states: 'From 1998 to 2000 no cholera cases were declared in Mali' - validated cholera absence during 1998 with academic epidemiological confirmation between 1996 outbreak and 2001 resumption"
31,AFR::MLI,1999-01-01,1999-12-31,0,0,,0.0,2000-01-01,23,"Mali cholera epidemiological gap 1999-2000 validation",1.0,"Source confirms epidemiological gap in Mali cholera between 1996 outbreak and 2001 resumption - validated 1999 absence period with academic literature confirmation"
32,AFR::MLI,2000-01-01,2000-12-31,0,0,,0.0,2001-01-01,24,"Mali cholera zero cases academic confirmation 1999-2000",1.0,"Source states zero cholera cases declared in Mali during 2000 - validated absence period confirmed through French academic literature with surveillance system evidence"
