Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,Merson et al 1988 Epidemiology Infection,https://pmc.ncbi.nlm.nih.gov/articles/PMC2249226/,Epidemic cholera in Mali: high mortality and multiple routes of transmission in a famine area. CDC Enteric Diseases Branch study of 1984 epidemic with 1793 cases and 406 deaths.,1984-01-01 to 1984-12-31,Outbreak Report,Active,Level 1,Validated,WebSearch + WebFetch,English,Primary,PMC2249226 / PubMed 3356224,Academic Literature Search,AI
2,Dembele et al 2009 Sante Publique Cairn,https://stm.cairn.info/revue-sante-publique-2009-3-page-263?lang=fr,Les epidemies de cholera au Mali de 1995 a 2004. French peer-reviewed study with complete annual case and death data plus regional breakdown for entire 1995-2004 epidemic period.,1995-01-01 to 2004-12-31,Surveillance Data,Active,Level 1,Validated,WebSearch + WebFetch,French,Primary,PubMed 19863017,Academic Literature Search,AI
3,WHO Disease Outbreak News Mali Cholera Update 2 2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_12_17c-en,WHO official disease outbreak news update 2 for Mali cholera epidemic. Reports 1216 cases and 106 deaths as of 12 December 2003 across 6 regions plus Bamako.,2003-08-01 to 2003-12-12,Outbreak Report,Active,Level 1,Validated,WebSearch,English,Primary,WHO DON series,WHO Official Source Search,AI
4,WHO Disease Outbreak News Recent Outbreaks Africa 2004,https://www.who.int/emergencies/disease-outbreak-news/item/2004_02_18a-en,WHO DON report on recent African outbreaks including Mali 2004. Reports 280 new cases and 33 deaths from beginning of 2004 in Mopti/Segou/Timbuctou.,2004-01-01 to 2004-02-18,Outbreak Report,Active,Level 1,Validated,WebSearch + WebFetch,English,Primary,WHO DON series,WHO Official Source Search,AI
5,ReliefWeb Mali Cholera Outbreak Jul 2011,https://reliefweb.int/disaster/ep-2011-000112-mli,ReliefWeb disaster page for 2011 Mali cholera outbreak. Documents 258 initial cases and 20 deaths in Mopti/Tombouctou regions July 18-27 2011.,2011-07-18 to 2011-12-31,Outbreak Report,Active,Level 2,Validated,WebSearch,English,Secondary,IFRC DREF MDRML006,Humanitarian Database Search,AI
6,ReliefWeb Aid Agencies Combat Mali Cholera Outbreak 2011,https://reliefweb.int/report/mali/aid-agencies-combat-mali-cholera-outbreak,News report documenting 2011 Mali cholera final totals: more than 1300 cases and 55 deaths in 5 regions (Gao/Timbuktu North; Segou/Mopti centre; Kayes West).,2011-07-01 to 2011-12-31,Media Report,Active,Level 3,Validated,WebSearch,English,Secondary,ReliefWeb series,Humanitarian Database Search,AI
7,UNICEF Supplies Northern Mali Cholera 2012,https://reliefweb.int/report/mali/unicef-supplies-help-120000-people-northern-mali-against-cholera,UNICEF ReliefWeb report on 2012 Mali cholera outbreak in Gao region. Documents 147 cases and 12 deaths in Gao/Ansongo districts since early July 2012.,2012-07-01 to 2012-08-31,Humanitarian Report,Active,Level 2,Validated,WebSearch,English,Secondary,UNICEF series,Humanitarian Database Search,AI
8,UNICEF Cholera Threatens Thousands Mali 2013,https://www.unicefusa.org/press/cholera-outbreak-threatens-thousands-mali,UNICEF press release on May-June 2013 cholera outbreak in Gao/Ansongo region. Documents initial 20 cases/2 deaths then 56 cases/6 deaths in Wabaria/Labbezanga/Ansongo.,2013-05-11 to 2013-06-30,Humanitarian Report,Active,Level 2,Validated,WebSearch,English,Secondary,UNICEF series,Humanitarian Database Search,AI
9,FluTrackers Mali Cholera Outbreak 2021 WHO,https://flutrackers.com/forum/forum/emerging-diseases-other-health-threats-alphabetical-a-thru-h/cholera-incl-haiti-cholera-disaster/924421-mali-cholera-outbreak-2021,Compilation of WHO and media reports on September 2021 Mali cholera outbreak in Labbezanga/Ansongo/Gao. Cross-border from Niger. 10 initial cases/4 deaths then 56 cases/6 deaths.,2021-09-05 to 2021-09-26,Outbreak Report,Active,Level 3,Validated,WebSearch + WebFetch,English,Secondary,WHO DON,Surveillance Tracking Site,AI
10,Fortune Journals 2021 West Africa Cholera Outbreak,https://www.fortunejournals.com/articles/the-2021-cholera-outbreak-in-west-africa-epidemiology-and-public-health-implications.html,Academic paper on 2021 West Africa cholera outbreak. Reports Mali CFR 38.5% and 2220 cases among seven countries with 108859 total cases Jan-Nov 2021.,2021-01-04 to 2021-11-14,Academic Study,Active,Level 2,Validated,WebSearch,English,Primary,West Africa regional analysis,Academic Literature Search,AI
11,WHO AFRO Monthly Regional Cholera Bulletin January 2025,https://www.afro.who.int/publications/monthly-regional-cholera-bulletin-january-2025,WHO AFRO monthly bulletin confirming Mali absent from 14-country list of cholera-affected countries in Africa as of January 2025. Countries listed do not include Mali.,2025-01-01 to 2025-01-31,Surveillance Bulletin,Active,Level 1,Validated,WebSearch + WebFetch,English,Primary,WHO AFRO series,WHO Official Source Search,AI
12,UNICEF Mali Cholera Factsheet plateformecholera.info,https://plateformecholera.info/mali-cholera-factsheet,UNICEF cholera factsheet for Mali documenting 2003-2017 surveillance data (6864 cases 474 deaths). Major epidemics in 1995-1996 2000 2003-2005 and 2011. Niger River corridor focus.,2003-01-01 to 2017-12-31,Factsheet,Active,Level 2,Validated,WebSearch,English,Secondary,UNICEF cholera series,Humanitarian Database Search,AI
13,ECDC Cholera Worldwide Monthly Overview 2026,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,ECDC monthly cholera worldwide overview compiling global surveillance data. Jan-May 2026 country table lists 10 countries reporting cholera (Angola DRC Mozambique Malawi Somalia Burundi Zambia Congo South Sudan Rwanda); Mali absent. Confirms zero-transmission for Mali Jan-May 2026.,2026-01-01 to 2026-05-26,Surveillance Bulletin,Active,Level 1,Validated,WebSearch + WebFetch,English,Primary,WHO multi-country cholera epi updates #33 #34 2026,WHO/ECDC Official Source Search,AI
