Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 4903),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection4903.csv,JHU cholera database entry with 30 observations. Frequency: Weekly. Updated: 2024-05-03,2015-04-06 to 2015-12-27,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,JHU Cholera Database (UID: 4900),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection4900.csv,JHU cholera database entry with 81 observations. Frequency: Other (9). Updated: 2024-05-03,2015-10-29 to 2016-01-04,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,WHO AFRO Surveillance Report (UID: 20872),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20872.csv,JHU cholera database entry with 16 observations. Frequency: Other (9). Updated: 2024-02-09 Source tags: WHOafro,2018-02-12 to 2018-04-24,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,WHO AFRO Surveillance Report (UID: 20944),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20944.csv,JHU cholera database entry with 5 observations. Frequency: Other (86). Updated: 2024-02-09 Source tags: WHOafro,2018-04-29 to 2018-07-24,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,JHU Cholera Database (UID: 21225),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection21225.csv,JHU cholera database entry with 6 observations. Frequency: Other (81). Updated: 2024-05-03,2019-06-01 to 2019-09-06,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,WHO AFRO Surveillance Report (UID: 20814),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20814.csv,JHU cholera database entry with 4 observations. Frequency: Other (8). Updated: 2024-02-09 Source tags: WHOafro,2018-02-15 to 2018-03-04,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,WHO AFRO Surveillance Report (UID: 20895),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20895.csv,JHU cholera database entry with 4 observations. Frequency: Other (71). Updated: 2024-02-09 Source tags: WHOafro,2018-01-01 to 2018-05-15,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,JHU Cholera Database (UID: 5096),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection5096.csv,JHU cholera database entry with 3665 observations. Frequency: Other (7). Updated: 2024-05-03,2015-02-10 to 2016-01-06,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,WHO AFRO Surveillance Report (UID: 20740),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20740.csv,JHU cholera database entry with 2 observations. Frequency: Other (65). Updated: 2024-02-09 Source tags: WHOafro,2017-09-25 to 2017-11-29,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,JHU Cholera Database (UID: 4902),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection4902.csv,JHU cholera database entry with 2 observations. Frequency: Other (61). Updated: 2024-05-03,2015-03-14 to 2015-07-15,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
11,JHU Cholera Database (UID: 814),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection814.csv,JHU cholera database entry with 7 observations. Frequency: Other (59). Updated: 2024-02-09,2013-01-16 to 2013-04-30,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
12,JHU Cholera Database (UID: 21457),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection21457.csv,JHU cholera database entry with 2 observations. Frequency: Other (55). Updated: 2024-08-17,2023-07-07 to 2023-08-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
13,JHU Cholera Database (UID: 21459),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection21459.csv,JHU cholera database entry with 6 observations. Frequency: Other (53). Updated: 2024-08-17,2024-01-01 to 2024-05-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
14,WHO AFRO Surveillance Report (UID: 20730),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20730.csv,JHU cholera database entry with 2 observations. Frequency: Other (52). Updated: 2024-02-09 Source tags: WHOafro,2017-09-25 to 2017-11-16,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
15,WHO AFRO Surveillance Report (UID: 20855),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20855.csv,JHU cholera database entry with 1 observations. Frequency: Other (52). Updated: 2024-02-09 Source tags: WHOafro,2018-02-12 to 2018-04-05,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
16,JHU Cholera Database (UID: 20604),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20604.csv,JHU cholera database entry with 1 observations. Frequency: Other (5). Updated: 2024-02-09,2010-10-15 to 2010-10-20,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
17,WHO AFRO Surveillance Report (UID: 20819),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20819.csv,JHU cholera database entry with 7 observations. Frequency: Other (5). Updated: 2024-02-09 Source tags: WHOafro,2018-02-15 to 2018-03-09,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
18,JHU Cholera Database (UID: 4904),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection4904.csv,JHU cholera database entry with 34 observations. Frequency: Other (5). Updated: 2024-05-03,2015-09-29 to 2015-11-04,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
19,JHU Cholera Database (UID: 5097),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection5097.csv,JHU cholera database entry with 3128 observations. Frequency: Other (5). Updated: 2024-05-03,2015-01-02 to 2016-11-06,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
20,JHU Cholera Database (UID: 20551),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20551.csv,JHU cholera database entry with 1 observations. Frequency: Other (454). Updated: 2024-02-09,2012-03-01 to 2013-05-29,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
21,JHU Cholera Database (UID: 21458),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection21458.csv,JHU cholera database entry with 4 observations. Frequency: Other (45). Updated: 2024-08-17,2023-07-01 to 2023-08-15,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
22,WHO AFRO Surveillance Report (UID: 20846),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20846.csv,JHU cholera database entry with 1 observations. Frequency: Other (41). Updated: 2024-02-09 Source tags: WHOafro,2018-02-12 to 2018-03-25,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
23,WHO AFRO Surveillance Report (UID: 20887),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20887.csv,JHU cholera database entry with 3 observations. Frequency: Other (40). Updated: 2024-02-09 Source tags: WHOafro,2018-02-15 to 2018-05-10,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
24,WHO AFRO Surveillance Report (UID: 20665),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20665.csv,JHU cholera database entry with 7 observations. Frequency: Other (4). Updated: 2024-02-09 Source tags: WHOafro,2017-09-25 to 2017-09-29,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
25,WHO AFRO Surveillance Report (UID: 20672),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20672.csv,JHU cholera database entry with 24 observations. Frequency: Other (4). Updated: 2024-02-09 Source tags: WHOafro,2017-09-23 to 2017-10-06,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
26,WHO AFRO Surveillance Report (UID: 20901),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20901.csv,JHU cholera database entry with 1 observations. Frequency: Other (39). Updated: 2024-02-09 Source tags: WHOafro,2018-04-29 to 2018-06-07,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
27,WHO AFRO Surveillance Report (UID: 20869),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20869.csv,JHU cholera database entry with 4 observations. Frequency: Other (37). Updated: 2024-02-09 Source tags: WHOafro,2018-02-12 to 2018-04-18,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
28,WHO Annual Cholera Report (UID: 342),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection342.csv,JHU cholera database entry with 37 observations. Frequency: Other (354). Updated: 2024-02-13 Source tags: WHOannual,1971-01-01 to 2022-12-31,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
29,WHO AFRO Surveillance Report (UID: 20832),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection20832.csv,JHU cholera database entry with 1 observations. Frequency: Other (31). Updated: 2024-02-09 Source tags: WHOafro,2018-02-12 to 2018-03-15,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
30,WHO AFRO Surveillance Report (UID: 21004),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Uganda/ObservationCollection21004.csv,JHU cholera database entry with 5 observations. Frequency: Other (3). Updated: 2024-02-09 Source tags: WHOafro,2018-10-03 to 2018-10-11,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
