Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::MWI,1990-08-23,1990-12-15,68,1931,,3.5,1990-12-15,1,Epidemic cholera among refugees in Malawi Africa - PubMed,0.9,"Source states: 'Between 23 August and 15 December 1990 an epidemic of cholera affected Mozambican refugees in Malawi causing 1931 cases (attack rate = 2.4%). There were 68 deaths among these patients, for a case-fatality rate of 3.5%.' - interpreted as 1931 sCh cases",AI
2,AFR::MWI,1998-01-01,1999-12-31,860,25000,,3.4,1999-12-31,2,Fight against cholera outbreak efforts and challenges in Malawi - PMC,0.9,"Source states: 'The highest numbers of cases and deaths were reported in 1998/99 (25,000 cases, 860 deaths, CFR 3.4%)' - interpreted as 25000 sCh cases",AI
3,AFR::MWI,2001-01-01,2002-12-31,968,33546,,2.3,2002-12-31,3,Cholera outbreaks in Malawi in 1998-2012 - PubMed,0.9,"Source states: 'highest numbers of cases and deaths were reported in 2001/02 (33,546 cases, 968 deaths, case fatality rate 2.3%)' - interpreted as 33546 sCh cases",AI
4,AFR::MWI,2008-01-01,2009-12-31,125,5751,,2.2,2009-12-31,2,Fight against cholera outbreak efforts and challenges in Malawi - PMC,0.9,"Source states: 'The highest numbers of cases and deaths were reported in 2008/09 (5751 cases, 125 deaths, CFR 2.2%)' - interpreted as 5751 sCh cases",AI
5,AFR::MWI,2009-05-01,2010-05-31,21,1171,,1.8,2010-05-31,7,Cholera outbreak in districts around Lake Chilwa Malawi Lessons learned - PubMed,0.9,"Source states: 'A total of 1,171 cholera cases and 21 deaths were reported in the three districts around the lake during this period (attack rate: 74.6 per 100,000; case fatality rate: 1.1%)' - interpreted as 1171 sCh cases",AI
6,AFR::MWI::Machinga,2009-05-01,2010-04-30,4,220,,1.8,2010-04-30,7,Cholera outbreak in districts around Lake Chilwa Malawi Lessons learned - PubMed,0.9,"Source states: 'Machinga District: The outbreak started in May 2009 and lasted until the end of April 2010... During this period, 220 cases were reported, with 4 deaths (case fatality rate [CFR]: 2%)' - interpreted as 220 sCh cases",AI
7,AFR::MWI::Zomba,2009-12-01,2010-04-30,1,324,,0.3,2010-04-30,7,Cholera outbreak in districts around Lake Chilwa Malawi Lessons learned - PubMed,0.9,"Source states: 'Zomba District: The outbreak started in December 2009 and lasted until the end of April 2010... During this period, 324 cases were reported, with one death (CFR 0.3%)' - interpreted as 324 sCh cases",AI
8,AFR::MWI::Phalombe,2009-12-25,2010-03-15,3,176,,1.7,2010-03-15,7,Cholera outbreak in districts around Lake Chilwa Malawi Lessons learned - PubMed,0.9,"Source states: 'Phalombe District: The outbreak started towards the end of December 2009 and lasted until the middle of March 2010... During this period, 176 cases were reported, with three deaths (CFR 1.7%)' - interpreted as 176 sCh cases",AI
9,AFR::MWI,2014-01-01,2015-12-31,11,693,,1.6,2015-12-31,6,Feasibility and acceptability of oral cholera vaccine mass vaccination campaign in response to an outbreak and floods in Malawi - PMC,0.9,"Source states: 'For the overall 2014/2015 outbreak: A total of 693 cases and 11 deaths (CFR 1.6%, attack rate 0.013%) were reported from eight districts' - interpreted as 693 sCh cases",AI
10,AFR::MWI::Nsanje,2015-02-11,2015-03-31,3,225,,1.3,2015-03-31,6,Feasibility and acceptability of oral cholera vaccine mass vaccination campaign in response to an outbreak and floods in Malawi - PMC,0.9,"Source states: 'Nsanje accounted for 225 (32.5%) of the total cases' and earlier mentioned 'By the end of March 2015, a total of 176 cholera cases and 3 deaths were reported in the district' - interpreted as 225 sCh cases for full outbreak",AI
11,AFR::MWI,1973-01-01,1973-12-31,,,,0.0,1973-12-31,8,Cholera endemic pattern seasonal rainy season cases deaths 1998 onwards,0.8,"Source states: 'Cholera was first reported in Malawi in 1973 during the seventh cholera pandemic wave that affected East Africa. The seventh cholera pandemic hit Africa in 1970, reaching Malawi in 1973' - first cholera introduction documented",AI
12,AFR::MWI,1975-01-01,1975-12-31,,22427,,0.0,1975-12-31,11,Genomic Surveillance of Climate-Amplified Cholera Outbreak Malawi 2022-2023,0.9,"Source states: 'After the initial 1973 introduction, Malawi experienced significant cholera activity in 1975, reporting as many as 22,427 cases in that single year, which represents one of the highest case counts in the country's cholera history' - interpreted as 22427 sCh cases",AI
13,AFR::MWI,1999-01-01,2000-12-31,,,,4.0,2000-12-31,15,Malawi cholera 1999-2000 outbreak attack rate CFR academic source,0.8,"Source states: 'The cumulative cholera attack rate in an epidemic in Malawi in 1999/2000 was 59 per 100,000 population, with a case-fatality rate of 4%' - CFR data documented but specific case numbers not provided",AI
14,AFR::MWI,2011-01-01,2012-12-31,38,1806,,2.1,2012-12-31,12,Cholera outbreaks in Malawi in 1998-2012 social and cultural challenges PubMed,0.9,"Source states: 'In 2011/2012, cholera outbreak was widespread in the southern region, affecting 10 out of 13 districts, where 1,806 cases and 38 deaths (CFR 2.1%) were reported' - interpreted as 1806 sCh cases",AI
15,AFR::MWI::Lilongwe,2022-03-03,2023-03-29,548,12226,,4.5,2023-03-29,13,Fight against cholera outbreak efforts and challenges in Malawi - PMC district data,0.9,"Source states: 'Lilongwe District had the highest number of cases with 12,226 cases and 548 deaths' - interpreted as 12226 sCh cases",AI
16,AFR::MWI::Blantyre,2022-03-03,2023-03-29,211,8167,,2.6,2023-03-29,13,Fight against cholera outbreak efforts and challenges in Malawi - PMC district data,0.9,"Source states: 'Blantyre District recorded 8,167 cases and 211 deaths' - interpreted as 8167 sCh cases",AI
