Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO Disease Outbreak News - Malawi Cholera 2023,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON435,WHO official disease outbreak report on 2022-2023 cholera outbreak,2022-2023,Surveillance_Data,Validated,Level_1,Validated,WebSearch,English,0,WHO AFRO reports,Gap_targeted_search
2,Nature Communications Genomic Study 2024,https://www.nature.com/articles/s41467-024-50484-w,Peer-review genomic analysis of 2022-2023 Malawi cholera outbreak,2022-2023,Academic_Research,Validated,Level_1,Validated,WebSearch,English,0,WHO data cross-referenced,Priority_source_search
3,WHO Disease Outbreak News - Malawi Cholera 2022,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON372,WHO official outbreak declaration and case data,2022,Surveillance_Data,Validated,Level_1,Validated,WebSearch,English,0,Ministry of Health Malawi,Gap_targeted_search
4,PubMed Historical Cholera Study,https://pubmed.ncbi.nlm.nih.gov/24916870/,Academic study of cholera outbreaks 1998-2012 in Malawi,1998-2012,Academic_Research,Validated,Level_1,Validated,WebSearch,English,0,Government statistics,Historical_systematic_search
5,PMC Lake Chilwa Outbreak Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3588220/,Detailed study of 2009-2010 Lake Chilwa cholera outbreak,2009-2010,Academic_Research,Validated,Level_1,Validated,WebSearch,English,0,Ministry of Health data,Historical_systematic_search
6,UNICEF Malawi Cholera Response,https://www.unicef.org/malawi/responding-cholera-outbreak-malawi,UNICEF emergency response documentation with case data,2022-2023,Humanitarian_Report,Validated,Level_2,Validated,WebSearch,English,0,WHO partnership,Gap_targeted_search
7,CDC Emerging Infectious Diseases Malawi,https://wwwnc.cdc.gov/eid/article/31/6/24-0930_article,CDC genomic surveillance study with outbreak data,2022-2023,Surveillance_Data,Validated,Level_1,Validated,WebSearch,English,0,WHO collaboration,Priority_source_search
8,ReliefWeb Malawi Cholera Flash Appeal 2023,https://reliefweb.int/report/malawi/malawi-cholera-flash-appeal-2023-february-june-2023,OCHA humanitarian flash appeal with district breakdown,2023,Humanitarian_Report,Validated,Level_2,Validated,WebSearch,English,0,UN coordination,Gap_targeted_search
9,PubMed Refugee Camp Cholera Study,https://pubmed.ncbi.nlm.nih.gov/1995929/,Field epidemiology investigation of 1988 refugee camp outbreak,1988,Academic_Research,Validated,Level_1,Validated,WebSearch,English,0,WHO collaboration,Historical_systematic_search
10,The Lancet Microbe Malawi Study,https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(22)00131-8/fulltext,Lancet analysis of 2022 outbreak amid cyclone devastation,2022,Academic_Research,Validated,Level_1,Validated,WebSearch,English,0,WHO data referenced,Priority_source_search
