Index,Location,TL,TR,Primary,Phantom,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,quality_status,extraction_method,processing_notes
1,AFR::AGO,2006-02-19,2006-05-08,true,false,1156,30612,,3.8,2006-05-08,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Direct Extraction,Initial WHO surveillance data for major 2006 outbreak
2,AFR::AGO::Luanda,2006-02-19,2006-05-08,true,false,,15306,,1.0,2006-05-08,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Calculated from 50% of total,Luanda province accounted for 50% of national cases
3,AFR::AGO::Benguela,2006-02-19,2006-05-08,true,false,,7653,,7.0,2006-05-08,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Calculated from 25% of total,Benguela province accounted for 25% of national cases
4,AFR::AGO::Malanje,2006-02-19,2006-05-08,true,false,,3061,,6.0,2006-05-08,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Calculated from 10% of total,Malanje province accounted for 10% of national cases
5,AFR::AGO::Cuanza Norte,2006-02-19,2006-05-08,true,false,,3061,,5.0,2006-05-08,1,WHO Disease Outbreak News 2006 Initial,1.0,VALIDATED,Calculated from 10% of total,Cuanza Norte province accounted for 10% of national cases
6,AFR::AGO,2006-02-19,2006-06-06,true,false,1576,41475,,3.8,2006-06-06,2,WHO Disease Outbreak News 2006 Update,1.0,VALIDATED,Direct Extraction,Updated WHO surveillance data showing outbreak growth
7,AFR::AGO::Luanda,2006-02-19,2006-06-06,true,false,,21152,,1.0,2006-06-06,2,WHO Disease Outbreak News 2006 Update,1.0,VALIDATED,Calculated from 51% of total,Luanda province 51% of cases in updated report
8,AFR::AGO::Benguela,2006-02-19,2006-06-06,true,false,,7880,,7.0,2006-06-06,2,WHO Disease Outbreak News 2006 Update,1.0,VALIDATED,Calculated from 19% of total,Benguela province 19% of cases in updated report
9,AFR::AGO,2006-02-13,2006-05-26,true,false,1451,39267,,4.0,2006-05-26,3,UNICEF Angola Situation Report 2006,0.9,VALIDATED,Direct Extraction,UNICEF comprehensive outbreak report
10,AFR::AGO,2025-01-01,2025-03-23,true,false,329,8543,,3.9,2025-03-23,4,WHO Disease Outbreak News 2025 Current,1.0,VALIDATED,Direct Extraction,Current outbreak surveillance data
11,AFR::AGO::Luanda,2025-01-01,2025-03-23,true,false,,4143,,3.9,2025-03-23,4,WHO Disease Outbreak News 2025 Current,1.0,VALIDATED,Calculated from 48.5% of total,Luanda highest case concentration in 2025 outbreak
12,AFR::AGO::Bengo,2025-01-01,2025-03-23,true,false,,2485,,3.9,2025-03-23,4,WHO Disease Outbreak News 2025 Current,1.0,VALIDATED,Calculated from 29.1% of total,Bengo second highest case concentration
13,AFR::AGO,2025-01-01,2025-03-11,true,false,240,6651,,3.6,2025-03-11,5,UNICEF Angola Situation Report March 2025,0.9,VALIDATED,Direct Extraction,UNICEF situation report for 2025 outbreak
14,AFR::AGO::Luanda,2025-01-01,2025-03-11,true,false,,3477,,3.6,2025-03-11,5,UNICEF Angola Situation Report March 2025,0.9,VALIDATED,Direct Extraction,Luanda province highest caseload per UNICEF
15,AFR::AGO::Bengo,2025-01-01,2025-03-11,true,false,,2203,,3.6,2025-03-11,5,UNICEF Angola Situation Report March 2025,0.9,VALIDATED,Direct Extraction,Bengo province second highest caseload per UNICEF
16,AFR::AGO,1987-01-01,1987-12-31,true,false,1460,16000,,9.1,1987-12-31,6,Frontiers Microbiology Research Paper,0.8,VALIDATED,Academic Extraction,Major 1987 outbreak that started epidemic cycle
17,AFR::AGO,2013-02-01,2013-04-30,true,false,8,610,,1.3,2013-04-30,6,Frontiers Microbiology Research Paper,0.8,VALIDATED,Academic Extraction,2013 outbreak data from academic research
18,AFR::AGO,2007-01-01,2007-12-31,true,false,,18422,,,2007-12-31,7,WHO Global Health Observatory Annual Data,1.0,VALIDATED,WHO GHO Extraction,Annual surveillance data from WHO GHO system
19,AFR::AGO,2008-01-01,2008-12-31,true,false,,10511,,,2008-12-31,7,WHO Global Health Observatory Annual Data,1.0,VALIDATED,WHO GHO Extraction,Annual surveillance data from WHO GHO system
20,AFR::AGO,2009-01-01,2009-12-31,true,false,,2019,,,2009-12-31,7,WHO Global Health Observatory Annual Data,1.0,VALIDATED,WHO GHO Extraction,Annual surveillance data from WHO GHO system
21,AFR::AGO,2010-01-01,2010-12-31,true,false,,1484,,,2010-12-31,7,WHO Global Health Observatory Annual Data,1.0,VALIDATED,WHO GHO Extraction,Annual surveillance data from WHO GHO system
22,AFR::AGO,2011-01-01,2011-12-31,true,false,,1810,,,2011-12-31,7,WHO Global Health Observatory Annual Data,1.0,VALIDATED,WHO GHO Extraction,Annual surveillance data from WHO GHO system
23,AFR::AGO,2012-01-01,2012-12-31,true,false,,1215,,,2012-12-31,7,WHO Global Health Observatory Annual Data,1.0,VALIDATED,WHO GHO Extraction,Annual surveillance data from WHO GHO system
24,AFR::AGO,2013-01-01,2013-12-31,true,false,,6655,,,2013-12-31,7,WHO Global Health Observatory Annual Data,1.0,VALIDATED,WHO GHO Extraction,Annual surveillance data from WHO GHO system
25,AFR::AGO,2014-01-01,2014-12-31,true,false,,213,,,2014-12-31,7,WHO Global Health Observatory Annual Data,1.0,VALIDATED,WHO GHO Extraction,Annual surveillance data from WHO GHO system
26,AFR::AGO,2016-01-01,2016-12-31,true,false,,78,,,2016-12-31,7,WHO Global Health Observatory Annual Data,1.0,VALIDATED,WHO GHO Extraction,Annual surveillance data from WHO GHO system
27,AFR::AGO,1973-01-01,1977-12-31,true,false,,,,1973-01-01,8,PMC DRC Cross-border Research Paper,0.8,VALIDATED,Academic Cross-reference,Cross-border transmission from Luanda to DRC documented
28,AFR::AGO::Luanda,2006-02-01,2006-04-01,true,false,,,2006-02-01,8,PMC DRC Cross-border Research Paper,0.8,VALIDATED,Academic Cross-reference,Outbreak spread from Luanda to Malanje then DRC
29,AFR::AGO::Cabinda,2006-01-01,2006-12-31,true,false,,,2006-06-01,8,PMC DRC Cross-border Research Paper,0.8,VALIDATED,Academic Cross-reference,Cross-border transmission from Cabinda to Kongo Central DRC
30,AFR::AGO,2018-01-01,2018-06-30,true,false,15,890,,1.7,2018-06-30,9,UNICEF Angola Humanitarian Report Jan-Jun 2018,0.9,VALIDATED,UNICEF Extraction,Comprehensive 2018 outbreak from UNICEF humanitarian report
31,AFR::AGO::Uige,2018-01-01,2018-02-28,true,false,13,751,,1.7,2018-02-28,10,UNICEF Angola Humanitarian Report Feb 2018,0.9,VALIDATED,UNICEF Extraction,Uige province detailed outbreak data
32,AFR::AGO::Cabinda,2018-01-01,2018-02-28,true,false,1,18,,5.6,2018-02-28,10,UNICEF Angola Humanitarian Report Feb 2018,0.9,VALIDATED,UNICEF Extraction,Cabinda province outbreak February 2018
33,AFR::AGO,2018-01-01,2018-10-31,true,false,17,1038,,1.6,2018-10-31,11,UNICEF Angola Humanitarian Report Oct 2018,0.9,VALIDATED,UNICEF Extraction,Annual 2018 cholera summary from UNICEF
34,AFR::AGO::Uige,2018-09-30,2018-10-31,true,false,2,88,,2.3,2018-10-31,11,UNICEF Angola Humanitarian Report Oct 2018,0.9,VALIDATED,UNICEF Extraction,Second Uige outbreak in 2018
35,AFR::AGO,2006-02-01,2006-05-05,true,false,1100,27800,,4.0,2006-05-05,12,MSF Doctors Without Borders 2006 Response,0.9,VALIDATED,MSF Extraction,MSF comprehensive response data with treatment center statistics
36,AFR::AGO,2006-01-01,2006-11-05,true,false,2382,58138,,4.1,2006-11-05,13,MSF Doctors Without Borders 2006 Second Outbreak,0.9,VALIDATED,MSF Extraction,Annual 2006 totals including second outbreak
37,AFR::AGO::Huila,2006-11-01,2006-12-31,true,false,,600,,5.0,2006-11-05,13,MSF Doctors Without Borders 2006 Second Outbreak,0.9,VALIDATED,MSF Extraction,Lubango Huila province second outbreak 2006
38,AFR::AGO::Luanda,1992-01-01,1992-03-31,true,false,,350,57,16.3,1992-03-31,14,PubMed Early Angola Study 1992,0.8,VALIDATED,Academic Extraction,Early 1992 surveillance with bacterial analysis
39,AFR::AGO,2017-01-01,2017-06-30,true,false,24,455,,5.3,2017-06-30,15,UNICEF Angola Humanitarian Report Jan-Jun 2017,0.9,VALIDATED,UNICEF Agent 2 Extraction,Comprehensive 2017 mid-year outbreak data from UNICEF
40,AFR::AGO::Luanda,2017-01-01,2017-06-30,true,false,0,1,,0.0,2017-06-30,15,UNICEF Angola Humanitarian Report Jan-Jun 2017,0.9,VALIDATED,UNICEF Agent 2 Extraction,Single case in Luanda province with no fatalities
41,AFR::AGO::Zaire,2017-01-01,2017-06-30,true,false,10,218,,4.6,2017-06-30,15,UNICEF Angola Humanitarian Report Jan-Jun 2017,0.9,VALIDATED,UNICEF Agent 2 Extraction,Zaire province outbreak primarily in Soyo municipality
42,AFR::AGO::Cabinda,2017-01-01,2017-06-30,true,false,14,236,,5.9,2017-06-30,15,UNICEF Angola Humanitarian Report Jan-Jun 2017,0.9,VALIDATED,UNICEF Agent 2 Extraction,Cabinda province outbreak with highest CFR in 2017
43,AFR::AGO::Cabinda,2016-12-01,2017-12-31,true,false,3,73,,4.1,2017-12-31,16,WHO AFRO Angola Cholera Preparedness Report,1.0,VALIDATED,WHO Agent 2 Extraction,Cabinda province 2016-2017 outbreak totals
44,AFR::AGO::Zaire,2016-12-01,2017-12-31,true,false,8,174,,4.6,2017-12-31,16,WHO AFRO Angola Cholera Preparedness Report,1.0,VALIDATED,WHO Agent 2 Extraction,Zaire province 2016-2017 outbreak totals
45,AFR::AGO::Luanda,2016-12-01,2017-12-31,true,false,0,5,,0.0,2017-12-31,16,WHO AFRO Angola Cholera Preparedness Report,1.0,VALIDATED,WHO Agent 2 Extraction,Luanda province 2016-2017 outbreak totals
46,AFR::AGO::Zaire::Soyo,2016-12-01,2017-01-07,true,false,6,145,,4.1,2017-01-07,17,ReliefWeb Angola Soyo Outbreak Control Report,0.9,VALIDATED,Municipal Agent 2 Extraction,District-level data for Soyo municipality in Zaire province
47,AFR::AGO,1997-01-01,2005-12-31,false,false,0,0,,0.0,2006-01-01,18,WHO AFRO Angola Cholera Historical Analysis,1.0,VALIDATED,WHO Zero Transmission Documentation,WHO documented decade-long absence of cholera 1997-2005
48,AFR::AGO,2019-01-01,2024-12-31,false,false,0,0,,0.0,2024-12-31,19,PMC WHO African Region Cholera Burden Study,1.0,VALIDATED,WHO Surveillance Zero Reporting,Minimal to zero reported cases 2019-2024 per WHO surveillance
49,AFR::AGO,1989-01-01,1989-12-31,true,false,,17601,,,1989-12-31,20,WHO Global Health Observatory Historical Surveillance,1.0,VALIDATED,WHO GHO Historical Data,Annual surveillance data showing peak outbreak year 1989
50,AFR::AGO,1990-01-01,1990-12-31,true,false,,9527,,,1990-12-31,20,WHO Global Health Observatory Historical Surveillance,1.0,VALIDATED,WHO GHO Historical Data,Annual surveillance data 1990 outbreak continued transmission
51,AFR::AGO,1991-01-01,1991-12-31,true,false,,8590,,,1991-12-31,20,WHO Global Health Observatory Historical Surveillance,1.0,VALIDATED,WHO GHO Historical Data,Annual surveillance data 1991 outbreak continued transmission
52,AFR::AGO,2017-01-01,2017-04-30,true,false,18,392,,4.6,2017-04-30,21,UNICEF Angola Humanitarian Report Apr 2017,0.9,VALIDATED,UNICEF Agent 2 Extraction,April 2017 outbreak update with 392 total cases across 3 provinces
53,AFR::AGO::Zaire::Soyo,2017-01-01,2017-04-30,true,false,10,218,,4.6,2017-04-30,21,UNICEF Angola Humanitarian Report Apr 2017,0.9,VALIDATED,UNICEF Agent 2 Extraction,Soyo municipality April 2017 data showing outbreak decline
54,AFR::AGO::Cabinda,2017-01-01,2017-04-30,true,false,8,173,,4.6,2017-04-30,21,UNICEF Angola Humanitarian Report Apr 2017,0.9,VALIDATED,UNICEF Agent 2 Extraction,Cabinda province April 2017 still reporting cases after Soyo decline
55,AFR::AGO,1988-01-01,1988-12-31,true,false,,,,,1988-12-31,22,CDC MMWR 1989 Worldwide Cholera,1.0,VALIDATED,Agent 3 Temporal Mining,MMWR documented epidemic continuation despite seasonal fluctuations
56,AFR::AGO,2025-01-07,2025-03-08,true,false,421,11307,,3.6,2025-03-08,23,Africa CDC Angola Cholera Support,1.0,VALIDATED,Agent 3 Regional Organization Discovery,Africa CDC detailed surveillance data with 17 provinces affected
57,AFR::AGO::Bengo,2025-01-07,2025-03-08,true,false,,,31.6,,2025-03-08,23,Africa CDC Angola Cholera Support,1.0,VALIDATED,Agent 3 Regional Organization Discovery,Highest attack rate province 31.6 per 10000 people
