Location,TL,TR,Primary,Phantom,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,validation_status
AFR::AGO,2025-01-01,2025-03-23,true,false,329,8543,,3.9,2025-03-23,1,WHO Disease Outbreak News Angola 2025,1.0,VALIDATED
AFR::AGO::Luanda,2025-01-01,2025-03-23,true,false,,4143,,NA,2025-03-23,1,WHO Disease Outbreak News Angola 2025,1.0,VALIDATED
AFR::AGO::Bengo,2025-01-01,2025-03-23,true,false,,2485,,NA,2025-03-23,1,WHO Disease Outbreak News Angola 2025,1.0,VALIDATED
AFR::AGO,2025-01-01,2025-03-11,true,false,240,6651,,3.6,2025-03-11,2,UNICEF Angola Cholera Situation Report March 2025,0.8,VALIDATED
AFR::AGO::Luanda,2025-01-01,2025-03-11,true,false,,3477,,NA,2025-03-11,2,UNICEF Angola Cholera Situation Report March 2025,0.8,VALIDATED
AFR::AGO::Bengo,2025-01-01,2025-03-11,true,false,,2203,,NA,2025-03-11,2,UNICEF Angola Cholera Situation Report March 2025,0.8,VALIDATED
AFR::AGO,2006-02-13,2006-05-26,true,false,1451,39267,,4.0,2006-05-26,3,UNICEF Angola Cholera Situation Report May 2006,0.8,VALIDATED
AFR::AGO,1987-01-01,1987-12-31,true,false,1460,16000,,9.1,1987-12-31,1,WHO Disease Outbreak News Angola 2025,0.7,VALIDATED
AFR::AGO,2006-01-01,2006-12-31,true,false,2700,67000,,4.0,2006-12-31,1,WHO Disease Outbreak News Angola 2025,0.7,VALIDATED
AFR::AGO,2006-01-01,2006-12-31,true,false,,240000,,NA,2006-12-31,4,Frontiers Microbiology Angola Cholera Study,0.9,VALIDATED
AFR::AGO,1973-01-01,1973-12-31,true,false,,,,NA,1973-12-31,5,BMC Infectious Diseases Cross-Border Study,0.9,VALIDATED
AFR::AGO,1977-01-01,1977-12-31,true,false,,,,NA,1977-12-31,5,BMC Infectious Diseases Cross-Border Study,0.9,VALIDATED
AFR::AGO::Cabinda,2006-01-01,2006-12-31,true,false,,,,NA,2006-12-31,5,BMC Infectious Diseases Cross-Border Study,0.9,VALIDATED
AFR::AGO::Malanje,2006-02-01,2006-02-28,true,false,,,,NA,2006-02-28,5,BMC Infectious Diseases Cross-Border Study,0.9,VALIDATED
AFR::AGO,2013-02-01,2013-04-30,true,false,8,610,,1.3,2013-04-30,4,Frontiers Microbiology Angola Cholera Study,0.9,VALIDATED
AFR::AGO,2011-01-01,2011-12-31,true,false,181,2284,,7.9,2011-12-31,7,The Lancet Angola Cholera Commentary,0.9,VALIDATED
AFR::AGO,2016-01-01,2017-12-31,true,false,11,252,,4.4,2017-12-31,7,The Lancet Angola Cholera Commentary,0.9,VALIDATED
AFR::AGO::Cabinda,2016-01-01,2017-12-31,true,false,,,,NA,2017-12-31,7,The Lancet Angola Cholera Commentary,0.9,VALIDATED
AFR::AGO::Luanda,2016-01-01,2017-12-31,true,false,,,,NA,2017-12-31,7,The Lancet Angola Cholera Commentary,0.9,VALIDATED
AFR::AGO::Zaire,2016-01-01,2017-12-31,true,false,,,,NA,2017-12-31,7,The Lancet Angola Cholera Commentary,0.9,VALIDATED
AFR::AGO,2025-04-30,2025-04-30,true,false,505,14090,,3.6,2025-04-30,8,ECDC Cholera Worldwide Surveillance,1.0,VALIDATED
