Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO Disease Outbreak News 2006 Initial,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_10-en,Initial 2006 outbreak report,2006-02-19 to 2006-05-08,Official Surveillance,Active,Level 1,Validated,WHO GHO Module,English,0,WHO DON Updates,Priority Source Mining
2,WHO Disease Outbreak News 2006 Update 3,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_06a-en,Third update on 2006 outbreak,2006 through 2006-05-31,Official Surveillance,Active,Level 1,Validated,WHO GHO Module,English,0,WHO DON Series,Priority Source Mining
3,WHO Disease Outbreak News 2006 Update 4,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_09-en,Fourth update on 2006 outbreak,2006 through 2006-06-09,Official Surveillance,Active,Level 1,Validated,WHO GHO Module,English,0,WHO DON Series,Priority Source Mining
4,UNICEF Angola Cholera Outbreak Situation Report 2006,https://reliefweb.int/report/angola/cholera-outbreak-unicef-angola-situation-report-26-may-2006,Comprehensive UNICEF response report,2006-02-19 to 2006-05-26,Humanitarian Response,Active,Level 2,Validated,UNICEF Module,English,0,WHO Cross-reference,UNICEF Temporal Expansion
5,Frontiers in Microbiology Angola V. cholerae Study,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00354/full,Academic retrospective genetic analysis,1992-2006,Academic Literature,Active,Level 1,Validated,Academic Networks,English,0,Peer Review,Reference Following
6,UNICEF Angola Humanitarian Situation Report 2017,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-january-june-2017,2016-2017 outbreak comprehensive data,2016-12 to 2017-06,Humanitarian Response,Active,Level 2,Validated,UNICEF Module,English,0,WHO Cross-reference,UNICEF Temporal Expansion
7,UNICEF Angola Humanitarian Situation Report 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-january-june-2018,2018 outbreak data and response,2018-01 to 2018-06,Humanitarian Response,Active,Level 2,Validated,UNICEF Module,English,0,Provincial Data,UNICEF Temporal Expansion
8,UNICEF Angola Humanitarian Situation Report October 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-october-2018,Final 2018 outbreak cumulative data,2018-01 to 2018-10,Humanitarian Response,Active,Level 2,Validated,UNICEF Module,English,0,Year-end Summary,UNICEF Temporal Expansion
9,PMC Cross-Border DRC-Angola Cholera Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8684622/,Spatiotemporal analysis of DRC-Angola transmission,1973-2018,Academic Literature,Active,Level 1,Validated,Cross-Border Intelligence,English,1,Genomic Analysis,Reference Following
10,WHO AFRO Angola Cholera Preparedness,https://www.afro.who.int/countries/angola/news/angola-reinforces-cholera-preparedness-and-response-measures,WHO regional office context and historical data,Multiple periods,Official Context,Active,Level 1,Validated,WHO GHO Module,English,0,Regional Surveillance,Priority Source Mining
11,UNICEF Angola Flash Update No. 2 Cholera 2025,https://reliefweb.int/report/angola/unicef-angola-flash-update-no-2-cholera-27-january-2025,2025 outbreak provincial breakdown data,2025-01-07 to 2025-01-27,Humanitarian Response,Active,Level 2,Validated,Agent 2 Geographic Expansion,English,0,WHO 2025 DON,Provincial Geographic Mining
