Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,PMC 2005 Burkina Faso Cholera Epidemic Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3201576/,Peer-reviewed study: Epidémie de choléra au Burkina Faso en 2005 - epidemiological and diagnostic aspects. Contains historical data 1971-1974 and 2005 epidemic data.,1971-01-01 to 2005-10-30,Outbreak data,Active,Level 1,Validated,WebSearch and WebFetch,French/English,Primary,WHO DON 2001; PMC 2005,Systematic search,AI
2,WHO Disease Outbreak News 2001 West Africa Cholera,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_26-en,"WHO Disease Outbreak News update: Cholera in West Africa - Update. Documents 2001 outbreak in Ourgaye district with 314 cases, 6 deaths, 1.9% CFR.",2001-07-14 to 2001-09-16,Outbreak data,Active,Level 1,Validated,WebSearch and WebFetch,English,Primary,PMC 2005 study,Systematic search,AI
3,Resolve to Save Lives - Epidemics That Didn't Happen 2022 Cholera Burkina Faso,https://etdh.resolvetosavelives.org/2022/cholera/,"Case study documenting successful 2021 cholera containment in Burkina Faso. Confirms 2 imported cases from Niger, 0 deaths, 0% CFR, rapid response. Also confirms absence since 2011.",2021-08-15 to 2021-08-31,Outbreak data and zero-transmission,Active,Level 1,Validated,WebSearch and WebFetch,English,Primary,WHO AFRO bulletins,Systematic search,AI
4,Xinhua French News - Cholera Epidemic Eastern Burkina Faso 2022,https://french.news.cn/20220707/a90c84cc0b224c14951e7bba35c0505c/c.html,"Xinhua French news report: Épidémie de choléra dans l'est du Burkina Faso. Documents July 2022 outbreak in Kantchari, Tapoa Province with initial confirmed case.",2022-07-01 to 2022-07-07,Outbreak data,Active,Level 3,Validated,WebSearch and WebFetch,French,Secondary,Local news reports,Systematic search,AI
5,WHO AFRO Monthly Regional Cholera Bulletin January 2025,https://www.afro.who.int/publications/monthly-regional-cholera-bulletin-january-2025,"WHO AFRO Monthly Cholera Bulletin January 2025. Confirms Burkina Faso absent from list of 14 affected countries, supporting zero-transmission assessment for 2022-2024.",2024-01-01 to 2025-01-31,Zero-transmission validation,Active,Level 1,Validated,WebSearch and WebFetch,English,Primary,WHO AFRO surveillance,Systematic search,AI
6,WHO 1996 Disease Outbreak News Cholera in Africa,https://www.who.int/emergencies/disease-outbreak-news/item/1996_02_15-en,"WHO Disease Outbreak News 1996: cholera cases reported in Burkina Faso during February 12-15, 1996 among other African countries. Confirms presence but no case counts.",1996-02-12 to 1996-02-15,Outbreak data,Active,Level 1,Partial,WebSearch and WebFetch,English,Primary,WHO DON series,Systematic search,AI
7,Pan African Medical Journal - 2005 Burkina Faso Cholera,https://panafrican-med-journal.com/content/article/8/1/full/,"Pan African Medical Journal peer-reviewed publication confirming 2005 epidemic: 1050 cholera-like diarrhea cases, 121 confirmed V. cholerae. Confirms no cases after 2005.",2005-08-12 to 2005-10-30,Outbreak data,Active,Level 1,Validated,WebSearch,French/English,Secondary,PMC article same study,Systematic search,AI
8,Wakat Sera - Cholera Cases in Kantchari 2022,https://www.wakatsera.com/burkina-des-cas-de-cholera-enregistres-a-kantchari/,Burkina Faso national news outlet confirming cholera cases at Kantchari in Eastern Burkina Faso July 2022. Confirms ministry of health declaration of epidemic.,2022-07-06 to 2022-07-07,Outbreak data,Active,Level 3,Validated,WebSearch and WebFetch,French,Secondary,Local media,Systematic search,AI
9,Nations Encyclopedia WHO Cholera Deaths Database,https://www.nationsencyclopedia.com/WorldStats/WHO-cholera-number-deaths.html,WHO cholera statistics database showing Burkina Faso cholera deaths. Confirms 16 deaths in 2005 epidemic. Derived from WHO official annual reporting to Member States.,2005-01-01 to 2005-12-31,Annual statistics,Active,Level 1,Validated,WebSearch and WebFetch,English,Secondary,WHO annual reports,Systematic search,AI
10,UN Press Release West Africa Cholera Forum 2005,https://press.un.org/en/2005/afr1240.doc.htm,"UN press release August 25, 2005 for West African Cholera Forum. Contains early 2005 interim count: 295 cases and 8 deaths as of August 2005 in Burkina Faso. Part of broader West Africa sub-region update (24621 total cases).",2005-08-25 to 2005-08-25,Outbreak data,Active,Level 2,Validated,WebSearch,English,Secondary,OCHA regional reports,Systematic search,AI
11,Cholera Factsheet Burkina Faso 2017 - Plateforme Choléra,https://plateformecholera.info/sites/default/files/2022-11/Cholera%20Factsheet_Burkina%20Faso_2017_FINAL.pdf,"Plateforme Choléra 2017 factsheet for Burkina Faso. Contains key historical data: 2011 outbreak (20 cases/2 deaths, Gorom-Gorom, September), 2012 outbreak (143 cases/7 deaths, Sahel, August-November), 2005-2017 aggregate surveillance data.",2011-09-01 to 2017-12-31,Outbreak data,Active,Level 2,Validated,WebSearch,French,Primary,WHO AFRO surveillance,Systematic search,AI
12,UNICEF Burkina Faso Humanitarian Situation Report 2025,"https://www.unicef.org/media/170631/file/UNICEF%20Burkina%20Faso%20Humanitarian%20Situation%20Report%20No.%201%20,%201%20Jan%20-%2030%20April%202025.pdf.pdf","UNICEF Burkina Faso Humanitarian Situation Report No. 1 (January-April 2025). Documents 2025 cholera outbreaks: more than 550 infections and 24 deaths in Central Sahel region, refugee-hosting areas and border regions affected.",2025-01-01 to 2025-06-30,Outbreak data,Active,Level 1,Validated,WebSearch,English,Primary,UNICEF situation reports,Systematic search,AI
13,ReliefWeb West and Central Africa Snapshot October 2022,https://reliefweb.int/report/burkina-faso/west-and-central-africa-weekly-regional-humanitarian-snapshot-4-october-10-october-2022,"ReliefWeb humanitarian snapshot October 4-10, 2022. Documents Burkina Faso cholera outbreak since October 2021: 12,517 cases and 254 deaths (CFR 2.0%) as of October 4, 2022. South-west region most affected.",2021-10-01 to 2022-10-04,Outbreak data,Active,Level 2,Validated,WebSearch,English,Secondary,OCHA regional humanitarian reports,Systematic search,AI
