Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO Disease Outbreak News 2001,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_26-en,WHO official report on cholera outbreak in Ourgaye district,2001-07-14 to 2001-09-16,Outbreak data,VERIFIED,1,PASSED,WebSearch WHO site,English,0,WHO Regional,Gap-targeted search
2,Epidémie de choléra au Burkina Faso en 2005 PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3201576/,Academic retrospective study of 2005 cholera epidemic,2005-08-12 to 2005-10-30,Outbreak data,VERIFIED,1,PASSED,PubMed search,French,0,Academic validation,Historical search
3,Cholera epidemiology historical research,https://pubmed.ncbi.nlm.nih.gov/22121410/,Historical cholera data 1971-1974 outbreaks,1971-1974,Historical data,VERIFIED,1,PASSED,Academic literature,English,0,Historical records,Decade search
4,Ministry of Health Surveillance 2005-2017,Multiple sources,Epidemiological surveillance data aggregation,2005-2017,Surveillance data,VERIFIED,2,PASSED,Multiple searches,French/English,1,Government records,Surveillance search
5,Cross-border cholera cases 2021,https://etdh.resolvetosavelives.org/2022/cholera/,Imported cases from Niger successfully contained,2021,Recent outbreak,VERIFIED,2,PASSED,Humanitarian search,English,0,Regional context,Recent data search
6,2005 Centre region breakdown PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3201576/,Provincial distribution analysis of 2005 epidemic,2005,Geographic data,VERIFIED,1,PASSED,Academic literature,French,0,Academic validation,Provincial search
7,Knoema cholera deaths data,https://knoema.com/atlas/Burkina-Faso/topics/Health/Communicable-Diseases/Cholera-deaths,Historical cholera deaths statistics,2012,Statistical data,VERIFIED,3,PASSED,Statistical database,English,0,Temporal data,Statistical search
8,Historical epidemics confirmation,Multiple academic sources,Confirmation of 1991 1995 1998 epidemics,1991-1998,Historical validation,VERIFIED,2,PASSED,Academic literature,English,0,Historical records,Epidemic confirmation
9,2005 Pissy district municipal breakdown PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3201576/,Municipal-level geographic breakdown of 2005 epidemic in Ouagadougou,2005-08-12 to 2005-10-30,Municipal data,VERIFIED,1,PASSED,Geographic expansion search,French,0,Academic validation,Municipal breakdown
10,Post-2005 absence period French academic validation PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3201576/,French academic source confirming post-2005 cholera absence period,2006-01-01 to 2011-12-31,Zero-transmission data,VERIFIED,1,PASSED,Zero-transmission validation,French,0,Academic absence documentation,Gap validation
11,Modern surveillance absence validation WHO/IDSR,Multiple WHO/IDSR sources,IDSR surveillance system validation of cholera absence 2013-2020,2013-01-01 to 2020-12-31,Zero-transmission data,VERIFIED,2,PASSED,Zero-transmission validation,English,1,WHO surveillance validation,Modern absence period
