Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::LBR,2003-06-01,2003-08-17,,,6353,,2003-08-17,1,CDC MMWR 2003 Liberia Cholera Report,1.0,"Source states: 'WHO reported a cumulative number of 6353 cases since the beginning of the outbreak in Monrovia in June until 17 August' - interpreted as sCh cases"
2,AFR::LBR,2003-07-07,2003-07-13,,,935,,2003-07-13,1,CDC MMWR 2003 Liberia Cholera Report,1.0,"Source states: 'The first peak reached 935 cases during 7-13 July' - interpreted as sCh cases"
3,AFR::LBR::Montserado,2002-09-01,2002-09-01,,,661,,2002-09-01,2,WHO Disease Outbreak News 2003,1.0,"Source states: 'As of September 1, 2002, WHO received reports of 661 cases of cholera in Montserado County' - interpreted as sCh cases"
4,AFR::LBR,2003-10-20,2003-10-20,,,1252,,2003-10-20,1,CDC MMWR 2003 Liberia Cholera Report,1.0,"Source states: 'During the week ending October 20, a total of 1,252 cases of suspected cholera were reported' - interpreted as sCh cases"
5,AFR::LBR,2011-01-01,2011-12-31,,,1146,,2012-01-01,3,Knoema Liberia Cholera Database,0.8,"Source states: 'Liberia cholera cases was 1,146 in 2011' - interpreted as sCh cases"
6,AFR::LBR,2005-01-01,2005-12-31,,,3300,,2005-12-31,4,MSF Liberia Cholera Response Report,1.0,"Source states: 'More than 3,300 patients were treated' at JFK Hospital cholera treatment unit - interpreted as sCh cases"
7,AFR::LBR::Montserado::New_Kru_Town,2005-01-01,2005-12-31,,,300,,2007-01-01,5,ReliefWeb New Kru Town Hygiene Report,0.8,"Source states: 'Two rainy seasons ago there were nearly 300 cases of cholera out of a population of 40,000' - interpreted as sCh cases"
8,AFR::LBR::Montserado::New_Kru_Town,2007-01-01,2007-12-31,,,20,,2007-12-31,5,ReliefWeb New Kru Town Hygiene Report,0.8,"Source states: 'this year fewer than 20 cases have been reported' in 2007 - interpreted as sCh cases"
9,AFR::LBR::Grand_Bassa,2003-01-01,2003-12-31,3,,190,,2003-12-31,4,MSF Liberia Cholera Response Report,1.0,"Source states: 'So far, 190 cases and three deaths have been reported' in Grand Bassa county - interpreted as sCh cases and deaths"
10,AFR::LBR::Montserado::Slums,2008-01-01,2008-12-31,,,888,,2008-12-31,7,UNICEF Monrovia Slums Study,0.8,"Source states: 'in 2008 there were 888 suspected cases, 98 percent of them in Monrovia's overcrowded shantytowns' - interpreted as sCh cases"
11,AFR::LBR::Maryland::Harper,2005-02-15,2005-03-31,2,,50,4.0,2005-03-31,8,Maryland County Health Report Harper 2005,0.8,"Source states: '50 cases reported from February 15-27, 2005, and 2 deaths' in Harper District Maryland County - interpreted as sCh cases and deaths"
