Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 21397),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection21397.csv,JHU cholera database entry with 1135 observations. Frequency: Weekly. Updated: 2024-02-09,2021-01-11 to 2022-12-25,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,UNICEF Country Programme Report (UID: 21442),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection21442.csv,"JHU cholera database entry with 951 observations. Frequency: Weekly. Updated: 2025-03-30 Source tags: Unified
UNICEFcp",2018-01-01 to 2019-12-15,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,JHU Cholera Database (UID: 12643),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection12643.csv,JHU cholera database entry with 1 observations. Frequency: Other (91). Updated: 2024-05-11,2003-06-01 to 2003-08-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,UNICEF Country Programme Report (UID: 5112),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection5112.csv,JHU cholera database entry with 1401 observations. Frequency: Other (9). Updated: 2025-03-30 Source tags: UNICEFcp,2013-12-30 to 2024-03-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,JHU Cholera Database (UID: 12653),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection12653.csv,JHU cholera database entry with 1 observations. Frequency: Other (37). Updated: 2024-05-11,2003-07-01 to 2003-08-07,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,JHU Cholera Database (UID: 59),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection59.csv,JHU cholera database entry with 3 observations. Frequency: Other (37). Updated: 2024-02-09,2007-12-05 to 2008-01-11,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,JHU Cholera Database (UID: 916),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection916.csv,JHU cholera database entry with 1 observations. Frequency: Other (25). Updated: 2024-02-09,2007-03-01 to 2007-03-26,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,JHU Cholera Database (UID: 913),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection913.csv,JHU cholera database entry with 3 observations. Frequency: Other (22). Updated: 2024-02-09,2005-05-10 to 2005-07-06,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,JHU Cholera Database (UID: 914),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection914.csv,JHU cholera database entry with 4 observations. Frequency: Other (22). Updated: 2024-02-09,2006-08-01 to 2006-08-23,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,JHU Cholera Database (UID: 915),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection915.csv,JHU cholera database entry with 2 observations. Frequency: Other (18). Updated: 2024-02-09,2005-07-11 to 2005-08-18,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
11,WHO Annual Cholera Report (UID: 322),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Liberia/ObservationCollection322.csv,JHU cholera database entry with 55 observations. Frequency: Annual. Updated: 2024-09-26 Source tags: WHOannual,1970-01-01 to 2023-12-31,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
