Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Access_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,AI_Confidence,Processing_Stage,Geographic_Scope,Temporal_Granularity,Discovery_Method
1,WHO Disease Outbreak News - Angola,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,"WHO Disease Outbreak News report on current Angola cholera outbreak",2025-01-07 to 2025-03-23,Current outbreak surveillance,Extracted,1.0,Accessible,WebSearch + WebFetch,English,Primary,WHO AFRO reports,0.95,Phase1-WHO-Official,National + Provincial,Daily/Weekly,WHO official sources
2,WHO AFRO Angola Flash Update 2,https://www.afro.who.int/countries/angola/publication/who-angola-cholera-flash-update-2,"WHO Regional Office flash update on Angola cholera response",2025-01-26,Current outbreak surveillance,Extracted,1.0,Accessible,WebSearch + WebFetch,English,Primary,WHO DON linkage,0.95,Phase1-WHO-Official,Provincial (Luanda/Bengo),Weekly,WHO AFRO systematic search
3,WHO AFRO Angola Flash Update 3,https://www.afro.who.int/countries/angola/publication/who-angola-flash-cholera-update-3,"WHO flash update on cholera response activities",2025-02-2025,Response documentation,Identified,0.90,Accessible,WebSearch,English,Primary,WHO flash series,0.85,Phase1-WHO-Official,National,Weekly,WHO AFRO systematic search
4,ReliefWeb 2006 Cholera Update,https://reliefweb.int/report/angola/cholera-angola-update-18-may-2006,"UNICEF Angola cholera situation report from 2006 outbreak",2006-05-18,Historical outbreak data,Extracted,0.95,Accessible,WebSearch + WebFetch,English,Primary,WHO 2006 reports,0.90,Phase1-WHO-Official,National + Provincial,Daily,Historical outbreak search
5,WHO 2006 Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_10-en,"WHO Disease Outbreak News for 2006 Angola cholera outbreak",2006-02-19 to 2006-05-08,Historical outbreak data,Extracted,1.0,Accessible,WebSearch + WebFetch,English,Primary,ReliefWeb cross-ref,0.95,Phase1-WHO-Official,Provincial breakdown,Daily,WHO archives search
6,WHO GHO Cholera Database,https://apps.who.int/gho/data/node.main.174,"WHO Global Health Observatory cholera surveillance database",1989-2017,Annual surveillance,Redirected,0.85,Restricted,WebSearch + WebFetch,English,Database,Multiple references,0.70,Phase1-WHO-Official,Country-level,Annual,WHO GHO systematic
7,UNICEF Angola Situation Report No.4,https://reliefweb.int/report/angola/unicef-angola-situation-report-no-4-cholera-outbreak-11-march-2025,"UNICEF situation report on current cholera outbreak",2025-03-11,Current outbreak surveillance,Extracted,0.95,Accessible,WebSearch + WebFetch,English,Primary,WHO cross-validation,0.90,Phase1-Humanitarian,National + Provincial,Weekly,UNICEF systematic search
8,UNICEF Angola Situation Report No.3,https://www.unicef.org/documents/unicef-angola-situation-report-no-3-cholera-outbreak-17-february-2025,"UNICEF comprehensive situation report on cholera outbreak",2025-02-17,Current outbreak surveillance,Restricted,0.95,Restricted,WebSearch,English,Primary,UNICEF series,0.85,Phase1-Humanitarian,National,Weekly,UNICEF systematic search
9,MSF Angola 2006 Evaluation,https://evaluation.msf.org/evaluation-report/overall-response-to-cholera-epidemics-in-angola-in-2006,"MSF evaluation report on 2006 cholera response in Angola",2006,Historical evaluation,Restricted,0.90,Restricted,WebSearch,English,Evaluation,MSF operational data,0.80,Phase1-Humanitarian,National + Provincial,Outbreak period,MSF institutional search
10,ReliefWeb UNICEF 2006 Report,https://reliefweb.int/report/angola/unicef-angola-cholera-outbreak-situation-report-21-apr-2006,"UNICEF Angola cholera outbreak situation report from 2006",2006-04-21,Historical outbreak data,Extracted,0.95,Accessible,WebSearch + WebFetch,English,Primary,WHO 2006 linkage,0.90,Phase1-Humanitarian,Provincial (6 provinces),Daily,Historical systematic search
