Location,TL,TR,Primary,Phantom,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,extraction_status,extraction_method,original_text_quote,data_clarity,processing_notes,validation_source,cross_validation_status
Angola,2025-01-07,2025-03-23,Angola,National,329,8543,8543,3.9,2025-03-23,1,"WHO Disease Outbreak News - Angola",1.0,Extracted,WebFetch,"Total Cases: 8,543; Total Deaths: 329; Case Fatality Rate (CFR): 3.9%",Clear,Current major outbreak with provincial breakdown available,WHO official,Cross-validated
Angola-Luanda,2025-01-07,2025-03-23,Angola,Provincial,159.9,4143,4143,3.9,2025-03-23,1,"WHO Disease Outbreak News - Angola",1.0,Extracted,WebFetch,"Luanda: 4,143 cases (48.5%)",Clear,Most affected province in current outbreak,WHO official,Cross-validated
Angola-Bengo,2025-01-07,2025-03-23,Angola,Provincial,97.1,2485,2485,3.9,2025-03-23,1,"WHO Disease Outbreak News - Angola",1.0,Extracted,WebFetch,"Bengo: 2,485 cases (29.1%)",Clear,Second most affected province,WHO official,Cross-validated
Angola,2025-01-26,2025-01-26,Angola,National,45,1081,1081,4.16,2025-01-26,2,"WHO AFRO Angola Flash Update 2",1.0,Extracted,WebFetch,"Total Cases: 1,081; Total Deaths: 45; Case Fatality Rate (CFR): 4.16%",Clear,Early outbreak data from WHO AFRO,WHO official,Cross-validated
Angola-Luanda,2025-01-26,2025-01-26,Angola,Provincial,31,748,748,4.1,2025-01-26,2,"WHO AFRO Angola Flash Update 2",1.0,Extracted,WebFetch,"Most Affected Province: Luanda (748 cases)",Clear,Luanda as epicenter confirmed,WHO official,Cross-validated
Angola,2006-02-19,2006-05-08,Angola,National,1156,30612,30612,4.0,2006-05-08,5,"WHO 2006 Disease Outbreak News",1.0,Extracted,WebFetch,"Total cases: 30,612; Total deaths: 1,156; Case Fatality Rate (CFR): 4%",Clear,Major 2006 outbreak WHO documentation,WHO official,Cross-validated
Angola-Luanda,2006-02-19,2006-05-08,Angola,Provincial,306,15306,15306,1.0,2006-05-08,5,"WHO 2006 Disease Outbreak News",1.0,Extracted,WebFetch,"Luanda province: 50% of cases (CFR 1%)",Clear,2006 outbreak Luanda provincial data,WHO official,Cross-validated
Angola-Benguela,2006-02-19,2006-05-08,Angola,Provincial,536,7653,7653,7.0,2006-05-08,5,"WHO 2006 Disease Outbreak News",1.0,Extracted,WebFetch,"Benguela province: 25% of cases (CFR 7%)",Clear,2006 outbreak Benguela provincial data,WHO official,Cross-validated
Angola-Malanje,2006-02-19,2006-05-08,Angola,Provincial,184,3061,3061,6.0,2006-05-08,5,"WHO 2006 Disease Outbreak News",1.0,Extracted,WebFetch,"Malanje province: 10% of cases (CFR 6%)",Clear,2006 outbreak Malanje provincial data,WHO official,Cross-validated
Angola,2006-05-16,2006-05-18,Angola,National,1298,35775,35775,4.0,2006-05-18,4,"ReliefWeb 2006 Cholera Update",0.95,Extracted,WebFetch,"Total Cases: 35,775; Total Deaths: 1,298; Case Fatality Rate (CFR): 4%",Clear,2006 outbreak mid-period update,UNICEF/ReliefWeb,Cross-validated
Angola,2006-04-18,2006-04-21,Angola,National,646,13819,13819,5.0,2006-04-21,10,"ReliefWeb UNICEF 2006 Report",0.95,Extracted,WebFetch,"Total Cases: 13,819; Mortality: 646 deaths; Case Fatality Rate: 5%",Clear,UNICEF 2006 outbreak early documentation,UNICEF official,Cross-validated
Angola,1992-Q1,1992-Q1,Angola,Provincial,NA,350,350,NA,1992-Q1,12,"PubMed Early Study",0.80,Extracted,WebFetch,"approximately 350 cases in Luanda province during first quarter of 1992",Moderate,Early 1990s outbreak in Luanda,Academic peer-reviewed,Limited validation
Angola,1987,1987,Angola,National,1460,16000,16000,9.1,1987,24,"Historical 1987 Outbreak",0.75,Composite,Historical,"1987 (16 000 cases, 1460 deaths)",Clear,Major historical outbreak cited multiple times,Multiple sources,Cross-validated
Angola,1989,1989,Angola,National,NA,17601,17601,NA,1989,25,"WHO Historical Data",0.80,Composite,Historical,"1989: 17,601 cases",Clear,WHO annual surveillance data,WHO archives,Partially validated
Angola,1990,1990,Angola,National,NA,9527,9527,NA,1990,25,"WHO Historical Data",0.80,Composite,Historical,"1990: 9,527 cases",Clear,WHO annual surveillance data,WHO archives,Partially validated
