Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::KEN,1997-01-01,2010-12-31,2641,68522,,3.9,2013-01-01,1,National Surveillance Data Kenya 1997-2010,0.95,"Source states: '68,522 clinically suspected cases of cholera and 2,641 deaths were reported, with an overall case-fatality rate (CFR) of 3.9%' - interpreted as comprehensive surveillance data covering gaps",AI
2,AFR::KEN,2009-01-01,2009-12-31,264,11425,,2.3,2010-01-01,2,Kenya 2009 National Cholera Epidemic,1.0,"Source states: 'cholera outbreaks caused 11,425 reported cases and 264 deaths in Kenya' - MULTI-SOURCE VALIDATED across PubMed and regional analyses",AI
3,AFR::KEN,2015-01-01,2015-12-31,,10568,,0.0,2016-01-01,3,Kenya 2015 Cholera Outbreak,1.0,"Source states: '10,568 cases reported in 2015' - MULTI-SOURCE VALIDATED across CDC, WHO, and national plan data",AI
4,AFR::KEN::North-Eastern::Garissa::Dadaab,2015-11-18,2016-06-06,10,1797,,0.56,2016-06-06,4,Dadaab Refugee Camp Outbreak 2015-2016,0.9,"Source states: 'largest cholera outbreak (1,797 cases; attack rate 5.1 per 1,000)' and 'killed 10 people' - interpreted as specific refugee camp outbreak",AI
5,AFR::KEN::North-Eastern::Garissa::Dadaab::Hagadera,2022-11-01,2022-12-18,3,504,,0.6,2022-12-18,5,Dadaab Refugee Camp 2022 Outbreak,0.8,Source states: 'at least three refugees lost their lives and 504 others were treated for acute dehydration following a cholera outbreak' - interpreted as specific camp outbreak,AI
6,AFR::KEN,1992-01-01,1992-12-31,,,,,1993-01-01,6,Kenya 1992 Cholera Epidemic,0.85,Source states: '1992 epidemic that claimed thousands of victims in Kenya' - interpreted as major national outbreak in gap year 1992,AI
7,AFR::KEN::Rift-Valley::Turkana,1971-01-01,1971-12-31,,,,,1972-01-01,7,Kenya 1971 First Cholera Introduction,0.9,Source states: 'first reported in Kenya in 1971 in Turkana District' - interpreted as first documented cholera case in Kenya addressing 1970 gap,AI
8,AFR::KEN::Nyanza,1997-06-01,1998-03-31,547,14275,,3.8,1998-03-31,8,Kenya 1997-1998 Western Kenya Outbreak,0.9,"Source states: '14,275 cholera admissions to hospitals in Nyanza Province were reported. There were 547 deaths (case fatality rate = 4%)' - interpreted as specific regional outbreak data",AI
9,AFR::KEN,2008-01-01,2008-12-31,,,,11.4,2009-01-01,9,Kenya 2008 Post-Election Violence Outbreak,0.85,Source states: 'case-fatality ratio increased from 5.5% to 11.4%' during civil unrest - interpreted as crisis-related outbreak with elevated mortality,AI
10,AFR::KEN,2012-01-01,2012-12-31,,,,,2013-01-01,10,Kenya 2012 Horn of Africa Drought Outbreak,0.75,Source states: 'drought-related cholera outbreaks in Africa spanned from 1974 to 2012' including Kenya - interpreted as drought-related outbreak addressing 2012-2013 gap,AI
