Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::KEN,1997-01-01,1999-12-31,1362,26901,,5.1,2010-12-31,1,National Surveillance Data on the Epidemiology of Cholera in Kenya 1997-2010,1.0,Source states: "Kenya's largest outbreak occurred during 1997–1999 resulting in 26901 cases and 1362 deaths (CFR 5.1%)" - interpreted as sCh cases
2,AFR::KEN,2007-01-01,2009-12-31,454,16616,,2.7,2010-12-31,1,National Surveillance Data on the Epidemiology of Cholera in Kenya 1997-2010,1.0,Source states: "country experienced a resurgence of epidemic cholera during 2007–2009 (16616 cases and 454 deaths; CFR 2.7%)" - interpreted as sCh cases
3,AFR::KEN,2009-01-01,2009-12-31,264,11425,,2.3,2009-12-31,2,Kenya National Cholera Epidemic with High Case Fatality Rates 2009,1.0,Source states: "In 2009 cholera outbreaks caused a reported 11425 cases and 264 deaths in Kenya" - interpreted as sCh cases
4,AFR::KEN::Nyanza,1997-06-01,1998-03-31,547,14275,,4.0,1998-12-31,3,Lake Victoria Cholera Transmission Study 1997-1998,1.0,Source states: "Between June 1997 and March 1998 14275 cholera admissions to hospitals in Nyanza Province in western Kenya were reported. There were 547 deaths (case fatality rate = 4%)" - interpreted as sCh cases
5,AFR::KEN::Turkana::Kakuma,2009-09-01,2009-12-31,4,224,,1.8,2009-12-31,4,Kakuma Refugee Camp Cholera Outbreak 2009,1.0,Source states: "A cholera outbreak with 224 cases and four deaths occurred in Kakuma Refugee Camp in Kenya from September to December 2009" - interpreted as sCh cases
6,AFR::KEN::Garissa::Dadaab,2015-11-01,2016-06-30,,1797,,5.1,2016-06-30,5,Dadaab Refugee Camp Cholera Outbreak 2015-2016,1.0,Source states: "The largest cholera outbreak in Dadaab's history occurred from November 2015 to June 2016 with 1797 cases and an attack rate of 5.1 per 1000 people" - interpreted as sCh cases
7,AFR::KEN,2010-08-01,2010-08-31,10,114,,8.8,2010-08-31,6,Western Kenya High Case Fatality Cholera Outbreak 2010,1.0,Source states: "A total of 114 cases with 10 deaths (Case Fatality Rate = 9%) were documented in this regional outbreak" - interpreted as sCh cases
8,AFR::KEN::Turkana,1971-01-01,1971-12-31,,,,,1971-12-31,7,Kenya First Cholera Report Turkana 1971,1.0,Source states: "Cholera was first reported in Kenya in 1971 in Turkana District and was associated with a pandemic originating in Southeast Asia in the 1960s" - historical first case marker
9,AFR::KEN::Kisumu,2007-07-11,2007-07-11,,,4,,2007-07-12,17,Kenya Kisumu District Outbreak 2007,0.9,Source states: "Four cases were admitted at the New Nyanza Provincial Hospital on July 11 2007" - interpreted as sCh cases
10,AFR::KEN::Nyanza,2008-01-01,2008-03-31,42,708,,5.9,2008-03-31,18,Nyanza Province Cholera Outbreak 2008,0.9,Source states: "708 cholera cases were recorded in health facilities across Nyanza Province with 42 cholera-related deaths by the end of March 2008" - interpreted as sCh cases
11,AFR::KEN::Homa_Bay,2015-02-10,2015-02-28,2,30,,6.7,2015-02-28,19,Homa Bay County Cholera Outbreak 2015,0.9,Source states: "By February 10 2015 Homa Bay County reported 30 cases with 2 deaths" - interpreted as sCh cases
12,AFR::KEN::Migori,2015-02-01,2015-02-28,6,55,,10.9,2015-02-28,20,Migori County Cholera Outbreak 2015,0.9,Source states: "Migori reported 55 cases with 6 deaths as of February 2015" - interpreted as sCh cases
13,AFR::KEN::Kuria_West,2010-08-01,2010-08-31,10,114,,8.8,2010-08-31,21,Kuria West District Cholera Outbreak 2010,0.9,Source states: "A total of 114 cases and with 10 deaths (Case Fatality Rate = 9%) were documented" - interpreted as sCh cases
14,AFR::KEN::Trans_Nzoia,2018-01-01,2018-12-31,4,,,,,2018-12-31,22,Trans Nzoia County Cholera Outbreak 2018,0.8,Source states: "four lives and left several others hospitalised" after cholera outbreak - interpreted as deaths
15,AFR::KEN::Vihiga,2017-07-01,2017-07-31,2,15,,13.3,2017-07-31,23,Vihiga County Cholera Outbreak 2017,0.9,Source states: "Vihiga had 15 cases with 2 deaths" during 2017 outbreak - interpreted as sCh cases
16,AFR::KEN::Mombasa,2025-06-01,2025-06-30,4,21,,19.0,2025-06-30,24,Mombasa County Cholera Outbreak 2025,0.9,Source states: "Mombasa (21)" cases and "four from Mombasa" deaths reported June 2025 - interpreted as sCh cases
17,AFR::KEN::Kwale,2025-03-01,2025-06-30,3,48,,6.3,2025-06-30,25,Kwale County Cholera Outbreak 2025,0.9,Source states: "Kwale (48)" cases and "three from Kwale" deaths reported 2025 - interpreted as sCh cases
18,AFR::KEN::Lamu,2023-11-05,2023-12-31,3,113,,2.7,2023-12-31,26,Lamu County Cholera Outbreak 2023,0.9,Source states: "113 cumulative cases and three deaths reported" in Lamu November 2023 - interpreted as sCh cases
19,AFR::KEN::Tana_River,2023-01-01,2023-03-31,4,251,,1.6,2023-03-31,27,Tana River County Cholera Outbreak 2023,0.9,Source states: "251 people having been suspected to have contracted the disease" with "claimed four lives" - interpreted as sCh cases
20,AFR::KEN::Garissa::Dadaab,2023-01-01,2023-12-31,11,1889,,0.6,2023-12-31,28,Garissa County Dadaab Cholera Outbreak 2023,0.9,Source states: "Garissa had a cumulative caseload of 1889 with 11 deaths" - interpreted as sCh cases
21,AFR::KEN::Mandera,2016-03-01,2016-12-31,18,1629,,1.1,2016-12-31,29,Mandera County Cholera Outbreak 2016,0.9,Source states: "1629 cases had been reported with 18 deaths recorded - Case Fatality Rate (CFR) of 1.1%" - interpreted as sCh cases
22,AFR::KEN::Wajir,2023-05-01,2023-12-31,9,495,,1.8,2023-12-31,30,Wajir County Cholera Outbreak 2023,0.9,Source states: "claimed nine lives and left at least 495 people infected in Wajir County" - interpreted as sCh cases
23,AFR::KEN::Turkana::Kakuma,2025-05-18,2025-06-30,1,30,,3.3,2025-06-30,31,Turkana Kakuma Cholera Outbreak 2025,0.9,Source states: "claimed one life since the first reported case on May 18" with "30 positive cases" - interpreted as sCh cases
24,AFR::KEN::Nairobi,2019-01-01,2019-07-14,,141,,,,2019-07-14,32,Nairobi County Cholera Outbreak 2019,0.9,Source states: "Nairobi (22 cases)" and "141 cases have been laboratory-confirmed" in 2019 outbreak - interpreted as sCh cases
25,AFR::KEN::Nairobi,2022-10-01,2023-03-31,,1196,,,,2023-03-31,33,Nairobi County Cholera Outbreak 2022-2023,0.9,Source states: "1,196 of those patients were from Nairobi county" by March 2023 - interpreted as sCh cases
26,AFR::KEN::Kiambu,2022-10-19,2022-10-31,,31,,,,2022-10-31,34,Kiambu County Cholera Outbreak 2022,0.9,Source states: "Kiambu (31)" cases in October 2022 outbreak traced to wedding festival - interpreted as sCh cases
27,AFR::KEN::Nakuru,2022-10-19,2022-10-31,,2,,,,2022-10-31,35,Nakuru County Cholera Outbreak 2022,0.9,Source states: "Nakuru (2)" cases in October 2022 outbreak - interpreted as sCh cases
28,AFR::KEN::Machakos,2022-10-01,2023-03-31,,215,,,,2023-03-31,36,Machakos County Cholera Outbreak 2022-2023,0.9,Source states: "highest caseload has been registered in Machakos county with 215 cases (37.8%)" - interpreted as sCh cases
29,AFR::KEN::Kitui,2023-01-01,2023-12-31,,27,,,,2023-12-31,37,Kitui County Cholera Outbreak 2023,0.9,Source states: "Kitui 27" cases during 2022-2023 outbreak - interpreted as sCh cases
30,AFR::KEN::Meru,2022-01-01,2023-12-31,,85,,,,2023-12-31,38,Meru County Cholera Outbreak 2022-2023,0.9,Source states: "Meru 85" cases during 2022-2023 outbreak - interpreted as sCh cases
31,AFR::KEN::Kajiado,2019-01-02,2019-07-14,,,,,,2019-07-14,39,Kajiado County Cholera Outbreak 2019,0.8,Source states: "Kajiado, Nairobi, Garissa, Machakos, Mandera, Embu, Narok, Wajir, and Mombasa Counties" reported cases 2019 - interpreted as affected county
32,AFR::KEN::Kajiado,2022-10-19,2022-10-31,,2,,,,2022-10-31,40,Kajiado County Cholera Outbreak 2022,0.9,Source states: "Kajiado (2)" cases in October 2022 outbreak - interpreted as sCh cases
