Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,Xinhua Zambia Cholera 96 Cases January 2025,https://english.news.cn/africa/20250130/18c3387eff024909bf278c3f7ca4ab80/c.html,Xinhua news agency report citing Zambia Ministry of Health data: 96 cases and 5 deaths as of January 30 2025 with geographic breakdown by district,2024-12-24/2025-01-30,Outbreak Report,Active,Level 3,Validated,WebSearch and WebFetch,English,Primary,Zambia Monitor; Africa CDC,WebSearch query Zambia cholera 2025 Nakonde Copperbelt,AI
2,Xinhua Zambia Declares End of Cholera Outbreak July 2025,https://english.news.cn/africa/20250704/4f46aacb241a4174bebc55313a3a3ad6/c.html,Xinhua news agency report of official declaration by Health Minister Elijah Muchima: 496 confirmed cases and 9 deaths during 2024-2025 outbreak declared ended July 3 2025,2024-12-24/2025-07-03,Outbreak Declaration,Active,Level 3,Validated,WebSearch and WebFetch,English,Primary,ZNPHI; WHO AFRO,WebSearch Zambia cholera 2025 end declared 496 cases,AI
3,Zambia Monitor 1186 Cases August 2025 Outbreak,https://www.zambiamonitor.com/zambia-reports-1186-cholera-cases-20-deaths-since-august-2025-outbreak/,Zambia Monitor citing ZNPHI and MoH data: 1186 cholera cases and 20 deaths since August 5 2025 outbreak began in Mpulungu District Northern Province. Lusaka Province epicentre of second wave. Cumulative as of March 2026.,2025-08-05/2026-03-11,Outbreak Report,Active,Level 3,Validated,WebSearch and WebFetch,English,Primary,ZNPHI; Zambia MoH,WebSearch Zambia cholera 2025 1186 cases 20 deaths,AI
4,News Diggers MOH 639 Cases January 2026,https://diggers.news/local/2026/01/17/moh-records-639-cholera-cases-10-deaths/,News Diggers citing Ministry of Health press briefing by Minister Dr. Elijah Muchima January 15 2026: 639 cumulative cases and 10 deaths since August 2025 outbreak. Northern Province accounts for 80% of cases.,2025-08-05/2026-01-15,Ministerial Press Briefing,Active,Level 2,Validated,WebSearch and WebFetch,English,Primary,Zambia MoH,WebSearch Zambia cholera 2025 639 cases 10 deaths,AI
5,Africa CDC Copperbelt Cholera Response 2025,https://africacdc.org/news-item/fighting-multiple-outbreaks-in-zambias-copperbelt/,Africa CDC report on Copperbelt Province cholera response: 140 cases recorded as of February 6 2025 in Kitwe Mufulira and Chililabombwe districts. Technical support deployed.,2025-01-01/2025-02-06,Institutional Report,Active,Level 2,Validated,WebSearch and WebFetch,English,Primary,Zambia MoH; WHO AFRO,WebSearch Zambia cholera 2025 Copperbelt 140 cases,AI
6,News Diggers Mpulungu September 2025 Cholera,https://diggers.news/local/2025/09/07/cholera-hits-northern-as-mpulungu-district-records-29-cases/,News Diggers report: Mpulungu District Northern Province records 29 confirmed positive cases out of 72 suspect cases as of September 7 2025. Zero deaths reported from Zambian side.,2025-08-05/2025-09-07,District Outbreak Report,Active,Level 3,Validated,WebSearch and WebFetch,English,Primary,Northern Province Health Directorate,WebSearch Zambia cholera 2025 Mpulungu September,AI
7,IWA Publishing Zambia Cholera History Narrative Review,https://iwaponline.com/jwh/article/22/12/2257/105780/Zambia-s-battle-against-cholera-outbreaks-and-the,Peer-reviewed narrative review of Zambia cholera history: confirms first outbreak 1977 with 178 cases and documents 29 outbreaks 1977-2018 with CFR 0.5-9.3%. Documents cholera-free period before 1977.,2025-01-01/2025-12-31,Academic Review,Active,Level 1,Validated,WebSearch,English,Secondary,JHU; WHO AFRO,WebSearch Zambia cholera history 1977 first outbreak,AI
8,PMC Cholera Resurges Zambia 2025 Challenges,https://pmc.ncbi.nlm.nih.gov/articles/PMC12036021/,Peer-reviewed study in PMC: documents 2025 Zambia cholera outbreak data including Copperbelt Province data. Confirms first case Nakonde January 2 2025 (15 cases) spreading to Chililabombwe.,2024-12-01/2025-06-30,Academic Study,Active,Level 1,Validated,WebSearch and WebFetch,English,Secondary,WHO AFRO; ZNPHI,WebSearch Zambia cholera 2025 PMC academic,AI
9,PLOS One Rapid Progression Zambia 2023-2024 Cholera,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0330969,Peer-reviewed retrospective facility study: covers January 21 2023 to July 7 2024 Zambia cholera outbreaks. Dataset of 3655 patients; CFR 4.2% in study cohort. Documents 23000+ cases and 740 deaths total.,2023-01-21/2024-07-07,Academic Study,Active,Level 1,Validated,WebSearch and WebFetch,English,Secondary,Zambia MoH; WHO AFRO,WebSearch Zambia cholera 2023 2024 total final cumulative,AI
10,Zambia MoH Press Statement Cholera Mpox December 2024,https://www.moh.gov.zm/?p=4152,Zambia Ministry of Health press statement: cholera outbreak declared in Nakonde December 24 2024. First 3 cases confirmed Nakonde Urban Clinic.,2024-12-24/2024-12-31,Official Government Statement,Active,Level 1,Validated,WebSearch,English,Primary,ZNPHI; WHO AFRO,WebSearch Zambia cholera December 2024 first case Nakonde,AI
11,Reliefweb Zambia Cholera Oct 2023 Disaster,https://reliefweb.int/disaster/ep-2024-000002-zmb,ReliefWeb consolidated situation page: October 2023 to July 2024 outbreak. Cumulative 23382 cases and 740 deaths. No new cases since July 11 2024. Nine provinces and 40 districts confirmed.,2023-10-15/2024-07-23,Consolidated Situation Report,Active,Level 2,Validated,WebSearch,English,Secondary,WHO AFRO; UNICEF; OCHA,WebSearch Zambia cholera 2023 2024 ReliefWeb,AI
12,Zambia Cholera 2023 First Wave Vubwi January,https://www.lusakatimes.com/2023/01/27/cholera-breaks-out-in-zambia-kills-one-in-vubwi/,Lusaka Times report: cholera first confirmed Vubwi district January 21 2023. 4 confirmed cases and 1 death. Linked to Mozambique outbreak.,2023-01-21/2023-01-27,News Report,Active,Level 3,Validated,WebSearch,English,Primary,Zambia MoH,WebSearch Zambia cholera January 2023 Vubwi first case,AI
13,Xinhua Zambia Cholera 1110 Cases March 2026,https://english.news.cn/africa/20260304/746d7d9661004ed8b69ecf1177c78163/c.html,Xinhua citing ZNPHI: cumulative 1110 cholera cases and 18 deaths since August 2025 outbreak. 1083 patients discharged. 20 of 116 districts affected including Lusaka. CFR 1.62%.,2025-08-05/2026-03-04,Outbreak Report,Active,Level 3,Validated,WebFetch,English,Primary,ZNPHI,WebSearch Zambia cholera 1100 cases cumulative 2025 2026,AI
14,WHO Zambia Eastern Province Response 2023,https://zambia.un.org/en/221020-who-zambia-releases-usd285000-support-cholera-response-eastern-province,UN Zambia/WHO: USD 285000 allocated for Eastern Province response. 191 suspected cases including 4 deaths by February 28 2023. Districts: Vubwi Chipata Chipangali Lusangazi.,2023-01-21/2023-02-28,Official Response Report,Active,Level 1,Validated,WebFetch,English,Primary,Zambia MoH; WHO AFRO,WebSearch Zambia cholera 2023 Eastern Province Vubwi cases WHO,AI
15,Chienge Cholera Outbreak Luapula Province 2023,https://www.sciencedirect.com/science/article/pii/S1201971224005083,Peer-reviewed study in IJID: Chienge District Luapula Province cholera outbreak May-June 2023. 79 total cases April 2018-June 2023 including 47 by May 18 2023. 1 community death CFR 1.27%. Lake Mweru fishing community.,2023-05-02/2023-06-09,Academic Study,Active,Level 1,Validated,WebSearch,English,Secondary,ZNPHI; Luapula Province Health Office,WebSearch Zambia cholera Chienge Luapula 2023 cases deaths,AI
16,CIDRZ Monze Southern Province 2025 Cholera,https://www.cidrz.org/2026/02/05/cidrz-supports-southern-province-epidemic-preparedness-prevention-control-and-management-committee-meeting-in-monze-district/,CIDRZ report: Southern Province recorded 43 cases and 3 deaths from cholera in Monze District plus 1 death in Gwembe District at close of 2025. Part of second wave of 2025 outbreak.,2025-11-01/2025-12-31,Institutional Report,Active,Level 2,Validated,WebSearch,English,Primary,Southern Province Health Directorate,WebSearch Zambia cholera Monze Southern Province 2025 43 cases,AI
17,PMC Zambia Cholera 2025 Challenges Academic Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC12036021/,Peer-reviewed PMC study: confirms 2020-2021 devoid of cholera cases in Zambia. Documents 2022 reemergence with 16 cases. Historical context for zero-transmission period.,2020-01-01/2022-12-31,Academic Study,Active,Level 1,Validated,WebSearch,English,Secondary,WHO AFRO; ZNPHI,WebSearch Zambia cholera 2020 2021 zero transmission WHO annual report,AI
18,Zambia Cholera Kabwe April 2025 WHO Assessment,https://reliefweb.int/report/zambia/who-zambia-launches-cholera-assessment-mission-central-province-amid-growing-outbreak,ReliefWeb/WHO: Kabwe District Central Province 68 cases as of April 1 2025. 60 cases from David Ramushu Secondary School. Outbreak detected March 26 2025.,2025-03-26/2025-04-01,WHO Assessment Report,Active,Level 1,Validated,WebSearch,English,Primary,WHO AFRO; Central Province Health Directorate,WebSearch Zambia cholera Kabwe 68 cases April 2025 Central Province,AI
19,Africa CDC Weekly Event-Based Surveillance July 2023,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-july-2023/,Africa CDC weekly surveillance report July 2023: Zambia reported 757 cases and 14 deaths since beginning of 2023. No new cases since June 15 2023 as of July 24 2023. Documents inter-wave zero-transmission period.,2023-01-21/2023-07-24,Surveillance Report,Active,Level 2,Validated,WebSearch,English,Secondary,WHO AFRO; ZNPHI,WebSearch Zambia cholera 2023 June July August gap between waves,AI
