Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 20566),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20566.csv,JHU cholera database entry with 2 observations. Frequency: Weekly. Updated: 2024-02-09,2011-01-18 to 2011-01-25,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,WHO AFRO Surveillance Report (UID: 20705),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20705.csv,JHU cholera database entry with 32 observations. Frequency: Weekly. Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2017-10-28,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,JHU Cholera Database (UID: 21241),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21241.csv,JHU cholera database entry with 14 observations. Frequency: Weekly. Updated: 2024-02-09,2012-07-29 to 2012-11-03,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,JHU Cholera Database (UID: 21395),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21395.csv,JHU cholera database entry with 3 observations. Frequency: Weekly. Updated: 2024-02-09,2022-12-12 to 2023-01-01,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,WHO AFRO Surveillance Report (UID: 20774),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20774.csv,JHU cholera database entry with 33 observations. Frequency: Other (90). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2018-01-08,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,JHU Cholera Database (UID: 12060),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection12060.csv,JHU cholera database entry with 1 observations. Frequency: Other (87). Updated: 2024-02-09,2003-11-28 to 2004-02-23,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,WHO AFRO Surveillance Report (UID: 20833),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20833.csv,JHU cholera database entry with 5 observations. Frequency: Other (68). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2018-03-15,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,WHO AFRO Surveillance Report (UID: 20770),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20770.csv,JHU cholera database entry with 10 observations. Frequency: Other (67). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2017-12-26,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,JHU Cholera Database (UID: 20521),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20521.csv,JHU cholera database entry with 1 observations. Frequency: Other (65). Updated: 2024-02-09,2012-09-01 to 2012-11-05,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,WHO AFRO Surveillance Report (UID: 20818),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20818.csv,JHU cholera database entry with 5 observations. Frequency: Other (62). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2018-02-27,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
11,WHO AFRO Surveillance Report (UID: 20826),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20826.csv,JHU cholera database entry with 5 observations. Frequency: Other (62). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2018-03-01,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
12,JHU Cholera Database (UID: 21239),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21239.csv,JHU cholera database entry with 1 observations. Frequency: Other (62). Updated: 2024-02-09,2012-12-01 to 2013-02-01,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
13,WHO AFRO Surveillance Report (UID: 20762),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20762.csv,JHU cholera database entry with 9 observations. Frequency: Other (59). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2017-12-19,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
14,WHO AFRO Surveillance Report (UID: 21234),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21234.csv,JHU cholera database entry with 2 observations. Frequency: Other (58). Updated: 2024-02-09 Source tags: WHOafro,2019-04-03 to 2019-05-31,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
15,WHO AFRO Surveillance Report (UID: 20731),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20731.csv,JHU cholera database entry with 1 observations. Frequency: Other (53). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2017-11-26,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
16,WHO AFRO Surveillance Report (UID: 20812),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20812.csv,JHU cholera database entry with 6 observations. Frequency: Other (49). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2018-02-18,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
17,JHU Cholera Database (UID: 21238),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21238.csv,JHU cholera database entry with 3 observations. Frequency: Other (49). Updated: 2024-02-09,2017-02-14 to 2017-04-04,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
18,JHU Cholera Database (UID: 21388),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21388.csv,JHU cholera database entry with 3 observations. Frequency: Other (47). Updated: 2024-02-09,2022-04-11 to 2022-05-28,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
19,JHU Cholera Database (UID: 21253),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21253.csv,JHU cholera database entry with 2 observations. Frequency: Other (46). Updated: 2024-02-09,2012-09-01 to 2012-10-17,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
20,WHO AFRO Surveillance Report (UID: 20724),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20724.csv,JHU cholera database entry with 1 observations. Frequency: Other (45). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2017-11-18,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
21,WHO AFRO Surveillance Report (UID: 20847),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20847.csv,JHU cholera database entry with 8 observations. Frequency: Other (43). Updated: 2024-02-09 Source tags: WHOafro,2017-10-04 to 2018-03-25,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
22,WHO AFRO Surveillance Report (UID: 20848),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection20848.csv,JHU cholera database entry with 33 observations. Frequency: Other (43). Updated: 2024-02-09 Source tags: WHOafro,2017-10-02 to 2018-04-04,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
23,JHU Cholera Database (UID: 21251),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Zambia/ObservationCollection21251.csv,JHU cholera database entry with 5 observations. Frequency: Other (40). Updated: 2024-02-09,2016-09-11 to 2016-10-21,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
