Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::ZMB::Lusaka,2003-11-28,2004-01-22,70,1721,,4.06,2004-01-28,1,WHO Disease Outbreak News 2004 Cholera Zambia,1.0,"Source states: '1721 cholera cases including 70 deaths (case fatality rate 4.06%) in Lusaka district' - WHO outbreak report with spread to Southern/Copperbelt/Northern/Central provinces"
2,AFR::ZMB,1991-01-01,1991-12-31,,13154,,,,2,Zambia's battle against cholera outbreaks - Journal of Water and Health,0.9,"Source states: '13,154 cases in 1991' - major outbreak year identified in comprehensive historical review"
3,AFR::ZMB,1999-01-01,1999-12-31,393,,,,,2,Zambia's battle against cholera outbreaks - Journal of Water and Health,0.9,"Source states: '393 deaths' in 1999 - substantial outbreak in late 1990s with over 10,000 cases estimated"
4,AFR::ZMB,2005-08-26,2006-04-09,148,6045,,2.45,2006-04-09,2,Zambia's battle against cholera outbreaks - Journal of Water and Health,0.9,"Source states: '6,045 cases and 148 deaths (Case Fatality Rate = 2.45%) between 26 August 2005, and 9 April 2006' - major outbreak season"
5,AFR::ZMB::Lusaka,2010-01-01,2010-12-31,115,6794,,1.6,2010-12-31,3,Cholera epidemiology in Zambia 2000-2010 - PubMed,0.9,"Source states: '6794 cases (500% increase compared to 2003) and 115 deaths (CFR 1.6%) were reported with Lusaka Province accounting for 85% of the total cases' - endemic status confirmed"
6,AFR::ZMB,1994-01-01,1995-12-31,0,0,,0.0,1995-12-31,2,Zambia's battle against cholera outbreaks - Journal of Water and Health,0.8,"Source states: '1994–1995' among 'years devoid of cholera cases' - validated zero-transmission period documented in surveillance review"
7,AFR::ZMB,2013-01-01,2015-12-31,0,0,,0.0,2015-12-31,2,Zambia's battle against cholera outbreaks - Journal of Water and Health,0.8,"Source states: '2013–2015' among 'years devoid of cholera cases' - validated zero-transmission period before 2015 confirmed"
8,AFR::ZMB,1977-01-01,1977-12-31,,178,,,,4,SADC cholera Zambia historical data sources,0.9,"Source states: 'The first cholera outbreak recorded in Zambia occurred in 1977 with 178 cases' - first documented cholera outbreak in Zambia"
9,AFR::ZMB,1989-01-01,1989-12-31,,44,,,,4,SADC cholera Zambia historical data sources,0.9,"Source states: 'escalation from 44 cases in 1989 to a crisis peaking with 13,154 cases in 1991' - pre-major outbreak baseline"
10,AFR::ZMB,1992-01-01,1992-12-31,,11659,,,,4,SADC cholera Zambia historical data sources,0.9,"Source states: 'outbreaks with approximately 11,000 cases occurred in 1991, 1992' with specific reference to '11,659 cases in 1992' - major outbreak continuation"
11,AFR::ZMB,1999-01-01,1999-12-31,,11535,,,,4,SADC cholera Zambia historical data sources,0.9,"Source states: '11,535 cases in 1999' - major late 1990s outbreak complementing existing death data"
12,AFR::ZMB,1993-01-01,1993-12-31,426,,,,,4,SADC cholera Zambia historical data sources,0.9,"Source states: 'In terms of fatalities, the years that stand out in Zambia's cholera chronicles include 1993 with 426 deaths' - significant outbreak mortality data"
13,AFR::ZMB::Lusaka,2023-10-01,2024-02-21,682,19719,,3.46,2024-02-21,5,WHO AFRO Zambia provincial cholera surveillance data,1.0,"Source states: 'As of 21 February 2024, with over 19,719 confirmed cases and 682 deaths' with '89.3% of cases occurred in Lusaka province' - major 2023-2024 outbreak"
14,AFR::ZMB::Lusaka,2017-10-01,2018-02-28,114,5000,,2.28,2018-02-28,5,WHO AFRO Zambia provincial cholera surveillance data,1.0,"Source states: 'approximately 5,000 cases and 114 deaths in Lusaka, Zambia' during 2017-2018 outbreak - significant urban outbreak"
15,AFR::ZMB::Lusaka,2016-02-01,2016-04-07,12,664,,1.81,2016-04-07,5,WHO AFRO Zambia provincial cholera surveillance data,1.0,"Source states: 'As of 7 April, a total of 664 cases and 12 deaths had been reported in Lusaka' - 2016 outbreak data"
16,AFR::ZMB::Copperbelt::Chililabombwe,2025-01-30,2025-01-30,,70,,,,6,Zambia Ministry of Health cholera outbreak reports,0.9,"Source states: 'By January 30, 2025, the outbreak had spread to other parts of the country, with 70 cases recorded in Chililabombwe' - recent Copperbelt outbreak"
17,AFR::ZMB::Copperbelt::Kitwe,2025-01-30,2025-01-30,,4,,,,6,Zambia Ministry of Health cholera outbreak reports,0.9,"Source states: 'four in Kitwe' recorded by January 30, 2025 - Copperbelt provincial spread"
18,AFR::ZMB::Central::Kabwe,2025-03-26,2025-04-01,,68,,,,6,Zambia Ministry of Health cholera outbreak reports,0.9,"Source states: 'Kabwe District in Central Province recorded 68 cases of cholera, with the majority—60 cases—reported from David Ramushu Secondary School' - school-based outbreak"
19,AFR::ZMB::Eastern,2023-01-21,2023-02-28,4,191,,2.09,2023-02-28,5,WHO AFRO Zambia provincial cholera surveillance data,1.0,"Source states: 'Since the outbreak was announced by the Minister of Health on January 26, 2023, a total of 191 suspected cases of cholera, including 4 deaths have been reported' - Eastern Province cross-border outbreak"
20,AFR::ZMB::Muchinga::Nakonde,2024-12-24,2025-01-30,,21,,,,6,Zambia Ministry of Health cholera outbreak reports,0.9,"Source states: 'By January 30, 2025, the outbreak had spread to other parts of the country, with 21 in Nakonde' - Tanzania border outbreak"
21,AFR::ZMB::Copperbelt::Ndola,2024-01-01,2024-04-30,,221,,,,7,Zambia district-level cholera surveillance data,0.9,"Source states: 'Ndola Teaching Hospital recorded the highest number of confirmed cholera cases among three major referral hospitals in Copperbelt Province, with 221 confirmed cases (24.8% of total cases) during January-April 2024' - hospital-based surveillance"
22,AFR::ZMB::Luapula::Chienge,2023-05-02,2023-05-18,,47,,,,7,Zambia district-level cholera surveillance data,0.9,"Source states: 'By May 18, 2023, the district had recorded 47 cases' with outbreak first suspected on May 2, 2023 - Lake Mweru fishing community outbreak"
23,AFR::ZMB::Central::Mumbwa,2023-12-15,2023-12-15,,1,,,,5,WHO AFRO Zambia provincial cholera surveillance data,1.0,"Source states: 'On 15 December 2023, Central Province recorded its first cholera case in Mumbwa district' - first case in Central Province"
24,AFR::ZMB::Southern::Mazabuka,2016-01-01,2016-12-31,,50,,,,7,Zambia district-level cholera surveillance data,0.9,"Source states: 'cholera cases were reported in Mazabuka (50) and Monze (49) districts of Southern Province' during 2016 outbreak - provincial outbreak distribution"
25,AFR::ZMB::Lusaka::Chilanga,2024-01-01,2024-01-31,,10,,,,6,Zambia Ministry of Health cholera outbreak reports,0.9,"Source states: 'Minister Masebo provided a breakdown of the cases within Lusaka Province, specifying that Chilanga reported 10 cases during a January 2024 update' - peri-urban area outbreak"
26,AFR::ZMB::Southern::Chirundu,2008-12-01,2008-12-17,4,17,,23.53,2008-12-17,8,IOM cholera border response Chirundu,0.8,"Source states: 'Chirundu on the Zambian border saw 17 admissions at the Chirundu Clinic, a designated CTC, with 4 deaths reported as of 17 December 2008' - border treatment center data"
27,AFR::ZMB::Lusaka::George,2024-01-01,2024-01-31,,120,,,,6,Zambia Ministry of Health cholera outbreak reports,0.9,"Source states: 'about 171 patients were under treatment in cholera centers, with 120 admitted at George township clinic in Lusaka' - treatment center capacity data"
28,AFR::ZMB::Eastern::Petauke,2023-12-01,2023-12-13,,2,,,,6,Zambia Ministry of Health cholera outbreak reports,0.7,"Source states: 'As of December 13, 2023, Eastern Province reported cases from Vubwi (1) and Petauke (2), with the two cases from Petauke pending laboratory confirmation' - pending confirmation cases"
