Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO Disease Outbreak News 2024 Ghana,https://reliefweb.int/disaster/ep-2024-000231-gha,Ghana cholera outbreak October 2024 - comprehensive case reporting,2024-10-04 to 2024-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_Systematic,English,1,WHO_AFRO_CDC,Priority_TIER1
2,Ghana Red Cross DREF Operation Report 2024,https://reliefweb.int/report/ghana/ghana-cholera-outbreak-2024-dref-operation-mdrgh020,Ghana cholera outbreak humanitarian response with detailed case numbers,2024-10-04 to 2024-12-23,Humanitarian,Complete,Level_2,Validated,WebSearch_Systematic,English,1,UNICEF_WHO,Priority_TIER2
3,ECDC Ghana Cholera Surveillance 2025,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,European surveillance data for Ghana cholera 2025,2025-01-01 to 2025-04-25,Surveillance,Complete,Level_1,Validated,WebSearch_Systematic,English,1,WHO_Africa_CDC,Priority_TIER1
4,WHO 1999 Disease Outbreak News Ghana,https://www.who.int/emergencies/disease-outbreak-news/item/1999_09_02-en,Historical WHO report Ghana cholera 1999,1999-01-01 to 1999-08-31,Surveillance,Complete,Level_1,Validated,WebSearch_Historical,English,1,WHO_Archive,Priority_TIER1
5,Ghana Ministry of Health WHO Official Report 1999-2005,https://pmc.ncbi.nlm.nih.gov/articles/PMC6003169/,Ghana cholera comprehensive surveillance data 1999-2005 period,1999-01-01 to 2005-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_Historical,English,2,WHO_MoH_Ghana,Priority_TIER1
6,East Akim Municipality Cholera Outbreak Investigation 2010,https://pmc.ncbi.nlm.nih.gov/articles/PMC3645159/,Academic investigation of mining-related cholera outbreak East Akim,2010-10-01 to 2010-11-20,Investigation,Complete,Level_1,Validated,WebSearch_Academic,English,1,GHS_Academic,Academic_PubMed
7,Ghana Cholera Surveillance System Evaluation 2011-2013,https://pmc.ncbi.nlm.nih.gov/articles/PMC5881562/,Osu Klottey District cholera surveillance system performance assessment,2011-01-01 to 2013-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_Academic,English,1,GHS_CDC_Guidelines,Academic_PubMed
8,ReliefWeb Ghana Cholera Outbreak 2012,https://reliefweb.int/disaster/ep-2012-000069-gha,WHO notification Ghana cholera outbreak Greater Accra Region 2012,2012-01-01 to 2012-08-31,Humanitarian,Complete,Level_2,Validated,WebSearch_Systematic,English,1,WHO_MoH_RedCross,Priority_TIER2
9,BMC Public Health Ghana Cholera 2014 Epidemiological Study,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-017-4803-9,Major academic study 2014 cholera outbreak Greater Accra epidemiological links,2014-06-01 to 2015-01-31,Investigation,Complete,Level_1,Validated,WebSearch_Academic,English,1,GHS_Academic_WHO,Academic_BMC
10,ReliefWeb Ghana Cholera Outbreak 2013,https://reliefweb.int/disaster/ep-2013-000009-gha,WHO Ghana Health Service declaration cholera outbreak Ashanti region,2012-12-01 to 2013-01-21,Humanitarian,Complete,Level_2,Validated,WebSearch_Systematic,English,1,WHO_GHS,Priority_TIER2
11,PMC Central Region Ghana Cholera 2016,https://pmc.ncbi.nlm.nih.gov/articles/PMC7837350/,Academic study protracted cholera outbreak Central Region Cape Coast,2016-10-24 to 2017-01-18,Investigation,Complete,Level_1,Validated,WebSearch_Academic,English,1,GHS_Academic_CRHD,Academic_PMC
12,BMC Research Notes Brong Ahafo Cholera 2014,https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-017-2728-0,Large cholera outbreak Brong Ahafo Region academic investigation,2014-07-30 to 2014-12-31,Investigation,Complete,Level_1,Validated,WebSearch_Academic,English,1,BA_Regional_Surveillance,Academic_BMC
13,IDSR Assessment Ghana Cholera 2012 Volta,https://idpjournal.biomedcentral.com/articles/10.1186/s40249-016-0192-z,Assessment cholera outbreak response Akatsi District Volta Region,2012-09-11 to 2012-09-26,Investigation,Complete,Level_1,Validated,WebSearch_Academic,English,1,GHS_WHO_Framework,Academic_IDSR
14,ReliefWeb Ghana Cholera Outbreak 2013 Ashanti,https://reliefweb.int/disaster/ep-2013-000009-gha,WHO Ghana Health Service declaration cholera outbreak Ashanti region,2012-12-01 to 2013-02-28,Humanitarian,Complete,Level_2,Validated,WebSearch_Systematic,English,1,WHO_GHS,Priority_TIER2
15,BMC Ghana Surveillance 2015 Outbreak Continuation,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-017-4803-9,Continuation of 2014 cholera outbreak into 2015 surveillance data,2015-01-01 to 2015-03-31,Investigation,Complete,Level_1,Validated,WebSearch_Academic,English,1,GHS_Academic_WHO,Academic_BMC
16,PMC Central Region Ghana Cholera 2016 Cape Coast,https://pmc.ncbi.nlm.nih.gov/articles/PMC7837350/,Academic study protracted cholera outbreak Central Region Cape Coast,2016-10-24 to 2017-01-18,Investigation,Complete,Level_1,Validated,WebSearch_Academic,English,1,GHS_Academic_CRHD,Academic_PMC
17,ModernGhana 2024 Ashanti Region Cholera Cases,https://www.modernghana.com/news/1368808/ashanti-region-records-first-five-cholera-cases.html,Ashanti Region first cholera cases 2024 district breakdown,2024-12-28 to 2024-12-28,Surveillance,Complete,Level_3,Validated,WebSearch_Geographic,English,1,GHS_Ashanti,Regional_News
