Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO Disease Outbreak News Ghana Cholera 1999,https://www.who.int/emergencies/disease-outbreak-news/item/1999_09_02-en,WHO Disease Outbreak News report on cholera outbreak in Ghana's Upper East Region Builsa district August-September 1999,1999-08-01 to 1999-09-02,Outbreak Report,Active,Level 1,Validated,WebFetch,English,Primary,"PMC2628349,PMC6003169",Systematic_Search,AI
2,PMC Assessment Response Cholera Two Districts Ghana 2012,https://pmc.ncbi.nlm.nih.gov/articles/PMC5090876/,Peer-reviewed assessment of cholera response in Akatsi and KEEA districts in Ghana's 2012 epidemic with national case and death totals,2012-09-01 to 2012-11-30,Academic_Research,Active,Level 1,Validated,WebFetch,English,Primary,"JHU,PMC7837350",Systematic_Search,AI
3,PMC East Akim Cholera Outbreak 2010,https://pmc.ncbi.nlm.nih.gov/articles/PMC3645159/,Peer-reviewed outbreak investigation of cholera in East Akim Municipality following gold miner activities with national context,2010-10-01 to 2011-04-30,Academic_Research,Active,Level 1,Validated,WebFetch,English,Primary,"PMC5090876,PMC6003169",Systematic_Search,AI
4,PMC Brong Ahafo Cholera Outbreak 2014,https://pmc.ncbi.nlm.nih.gov/articles/PMC5553860/,Peer-reviewed study of cholera outbreak in Brong Ahafo Region Ghana during national 2014 epidemic,2014-07-30 to 2014-12-31,Academic_Research,Active,Level 1,Validated,WebFetch,English,Primary,"PMC6003169,PMC4883745",Systematic_Search,AI
5,Graphic Online Ghana Cholera 720 Cases 2016,https://www.modernghana.com/news/751310/720-cholera-cases-recorded-in-2016.html,News report on Ghana's 2016 annual cholera cases total of 720 across regions,2016-01-01 to 2016-12-31,News_Report,Active,Level 3,Validated,WebSearch,English,Secondary,PMC7837350,Systematic_Search,AI
6,PMC Protracted Cholera Outbreak Central Region Ghana 2016,https://pmc.ncbi.nlm.nih.gov/articles/PMC7837350/,Peer-reviewed epidemiological study of 2016 cholera outbreak in Cape Coast Metropolis Central Region Ghana,2016-10-17 to 2017-01-18,Academic_Research,Active,Level 1,Validated,WebFetch,English,Primary,"PMC5090876,PMC6003169",Systematic_Search,AI
7,WHO AFRO Ghana Cholera Support 2014,https://www.afro.who.int/news/who-provides-technical-support-fight-cholera-outbreak-ghana,WHO AFRO news article on technical support provided during 2014 Ghana cholera outbreak with case and death data,2014-06-01 to 2015-01-31,WHO_Report,Active,Level 1,Validated,WebSearch,English,Primary,"PMC6003169,JHU",Systematic_Search,AI
8,Graphic Online Ghana Zero Cholera Since 2020,https://www.graphic.com.gh/news/general-news/nation-records-zero-cholera-cases-since-2020.html,Ghana newspaper report confirming zero cholera cases from 2020 through early 2023 validated by Ghana Health Service,2020-01-01 to 2023-12-31,News_Report,Active,Level 3,Validated,WebSearch,English,Primary,"WHO_AFRO,JHU",Systematic_Search,AI
9,RGG News Ghana 2024 Cholera 4155 Cases,https://rggnews.com/ghana-records-4155-cholera-cases-and-35-deaths-as-outbreak-eases/,News report on Ghana 2024 cholera outbreak with 4155 suspected cases and 35 deaths as of December 26 2024,2024-10-01 to 2024-12-26,News_Report,Active,Level 3,Validated,WebFetch,English,Secondary,"WHO_AFRO,GNA",Systematic_Search,AI
10,Ghana Parliament Update Cholera 2025,https://www.parliament.gh/floor?dis=37,Parliamentary statement on Ghana cholera 2024-2025 outbreak with 6145 cases 719 confirmed and 49 deaths as of February 13 2025,2024-10-01 to 2025-02-16,Government_Report,Active,Level 1,Validated,WebFetch,English,Primary,"WHO_AFRO,GHS",Systematic_Search,AI
