Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database,retracted_on,retracted_reason
48,AFR::GHA,2025-05-01,2025-05-31,0,0,,0.0,2025-05-31,36,WHO AFRO Monthly Regional Cholera Bulletin May 2025,0.9,"Source confirms zero cholera transmission 2025-05-01..2025-05-31. Source states: 'In 2025, a cumulative total of 2 325 cases and 13 deaths were reported in Ghana, with a CFR of 0.6%. In May, no new cases were reported. In April 74 cases and no deaths were reported as of 27 April 2025.'. Evidence type: Documented_Absence. Surveillance system status during absence: operational. First month of effective gap G2 (2025-05-01..2026-09-19). WHO AFRO states explicitly that no new cases were reported in Ghana in May 2025 and the 2025 cumulative is unchanged at 2325/13. Surveillance recorded as operational: Ghana was an actively reporting country in the same bulletin series in the immediately preceding months, was running phase-5 subnational OCV campaigns in Central Region in April 2025, and the WHO AFRO Weekly Bulletin Week 26 (data to 10 June 2025) independently records 'there are no patients in admission' for Ghana.",AI,2026-09-19,"Retracted within the same agent run. Row 48 asserted a DOCUMENTED ZERO for May 2025 on the strength of the WHO AFRO Monthly Regional Cholera Bulletin May 2025 ('In May, no new cases were reported'). WHO HQ situation report #27 (9 June 2025) contradicts it: Ghana's row is NOT flagged as a non-reporter for the 1-25 May 2025 window and records 6 cases and 0 deaths in that window, with the 2025 cumulative rising from 2325 (AFRO, 27 Apr) to 2480. A documented zero here would be rendered as sCh=0 by py/build_weekly_timeseries.py and become a false negative. Replaced by a 6-case observation for 2025-05-01..2025-05-25 citing situation report #27, which records the conflict."
13,AFR::GHA,2021-01-01,2021-12-31,0,0,,0.0,2023-02-28,8,Graphic Online Ghana Zero Cholera Since 2020,0.9,Source states: 'Ghana recorded zero cholera cases since 2020' as of February 2023 news report - confirmed zero transmission for 2021. Surveillance system operational during this period. Evidence type: Documented_Absence from Ghana Health Service via news report,AI,2026-09-19,"Contradicted by WHO primary source. Row 13 asserted a Documented_Absence zero for calendar 2021 on the basis of a February 2023 Graphic Online article reporting a Ghana Health Service claim of 'zero cholera cases since 2020'. WHO's Weekly Epidemiological Record annual report 'Cholera, 2021' (WER No 37, 16 September 2022) Table 1 records Ghana with 2 cases, 0 imported, 0 deaths, CFR 0.0%, and Table 2 shows both were RDT-tested, both positive, 100% confirmed by culture/PCR. py/build_weekly_timeseries.py renders a documented zero as sCh=0, so this row was a false negative for a year in which Ghana had laboratory-confirmed cholera. Replaced by a 2-case observation citing WER Cholera 2021."
63,AFR::GHA,2025-01-27,2025-02-23,4,792,,0.51,2025-02-28,59,WHO AFRO Monthly Regional Cholera Bulletin March 2025,0.9,"Source states: 'In 2025, a cumulative total of 1 740 cases and 11 deaths were reported in Ghana, with a CFR of 0.6%. [February 2025 bulletin, data as of 23 February 2025] / In 2025, a cumulative total of 948 cases and seven deaths were reported in Ghana, with a CFR of 0.7%. [January 2025 bulletin, data as of 26 January 2025]' - interpreted as 792 sCh cases, 4 deaths. DERIVED monthly increment for 27 January - 23 February 2025: 1740 - 948 = 792 cases and 11 - 7 = 4 deaths, taken as the difference between two consecutive issues of the same WHO AFRO bulletin series, so the two cumulatives are on a consistent basis. Quality flag: SIMPLE conversion. National total - monthly increment; do NOT sum with the 2025 cumulative rows (45, 55, 56). This closes the only month of 2025 with no incident figure. Note the AFRO series runs higher than the WHO HQ series throughout 2025 (AFRO 948 to 26 Jan vs HQ 675 for 1-26 Jan), so this increment is on the AFRO basis.",AI,2026-09-19,"Mis-attributed by this agent: the row cites the January and February 2025 AFRO bulletins in its quote but was written against source index 59 (the March 2025 bulletin). Re-added immediately as a new row against source index 58 (the February 2025 bulletin, which carries the 1740/11 cumulative the derivation rests on). No change to the values."
62,AFR::GHA::Greater_Accra,2014-06-01,2014-12-31,122,20261,,0.60,2015-10-02,57,"WHO Weekly Epidemiological Record - Cholera, 2014",0.9,"Source states: 'In Ghana, the outbreak started in June; during 2014, 28 944 cases and 243 deaths were reported (CFR, 0.84%). The epidemic spread to all 10 regions of the country and affected 130 health districts. The most affected regions were Greater Accra, Central, and Eastern regions. The Greater Accra Region recorded 70% of all cases and 50% of all deaths in Ghana.' - interpreted as 20261 sCh cases, 122 deaths. DERIVED, NOT DIRECTLY REPORTED. The source states a national 2014 total of 28 944 cases and 243 deaths and that Greater Accra accounted for 70% of cases and 50% of deaths; 0.70 x 28 944 = 20 261 cases and 0.50 x 243 = 122 deaths. Quality flag: ESTIMATED (percentage-of-documented-total conversion), not a reported count - treat the figures as approximate to the precision of the stated percentages. Provincial subset - do NOT sum with the national 2014 rows (indices 25, 26) nor with the Greater Accra district rows La-Dadekotopon (index 20, 1907 cases) and Shai-Osudoku (index 21, 315 cases), which are districts inside this region.",AI,2026-09-19,"Superseded within the same agent run by a directly reported figure. Row 62 estimated Greater Accra 2014 at 20 261 cases and 122 deaths by applying the WER-stated 70% / 50% shares to the national total. Ohene-Adjei et al. (BMC Public Health 2017, PMC5637323) report the region's actual surveillance total as 20 199 cases and 121 deaths with a district-level breakdown. The estimate was within 0.3% of the reported value, which validates the conversion, but a reported figure should be preferred over a derived one."
20,AFR::GHA::Greater_Accra::La_Dadekotopon,2014-06-01,2014-12-31,0,1907,,0.00,2015-01-31,18,PMC Economic Evaluation 2014 Cholera Outbreak Ghana,0.9,"Source states: 'At the end of 2014, La-Dadekotopon and Shai-Osudoku documented 1907 and 315 cholera cases respectively' - La-Dadekotopon is high incidence district in Greater Accra - interpreted as 1907 sCh. Provincial subset — do not sum with national row for 2014 [AGENT Agent 1 baseline collector REVISION 2026-09-19] CONFLICT: Ohene-Adjei et al. (PMC5637323) Table 3, the Greater Accra district table for the 2014 outbreak, gives La Dadekotopon 2327 cases, against the 1907 recorded here from the economic-evaluation paper PMC5714944. The 2327 figure comes from a review of all district surveillance records for the region and is the more likely complete count; 1907 may be the subset used for the costing study. Both recorded; no row changed. (reason: Agent 1: district cross-check from the Greater Accra 2014 surveillance table)",AI,2026-09-19,"CONFLICT RESOLVED in favour of PMC5637323 (Ohene-Adjei et al., BMC Public Health 2017), source index 62. Row 20 recorded La-Dadekotopon 2014 at 1907 cases / 0 deaths from the economic-evaluation paper PMC5714944. Three reasons to supersede. (1) ARITHMETIC CLOSURE: PMC5637323 Table 3 lists all 15 affected Greater Accra districts and they sum EXACTLY to the regional total the same paper states, 20 199 cases and 121 deaths (10504+103+49+68+153+190+1955+1337+369+2327+326+1447+22+246+1103 = 20199; 65+1+0+1+1+0+5+2+0+15+6+14+0+1+10 = 121). It is the complete regional surveillance line list. PMC5714944 reconciles to nothing: its two districts sum to 2222, a number it uses only as the sampling frame for a household costing survey. (2) DIFFERENT ASCERTAINMENT, NOT A SUBSET: PMC5714944 says '2222 cholera cases were reported in health facilities; HIA (1907) and LIA (315)' - facility registers - and its figure is LOWER than the line list for La-Dadekotopon (1907 vs 2327) but HIGHER for Shai-Osudoku (315 vs 246). A subset relation would move in one direction only, so the two are different case-ascertainment bases, and the surveillance line list is the one that matches the regional and national totals. (3) FALSE ZERO ON DEATHS: row 20 carried deaths=0 because the economic paper reports no deaths at all, whereas the surveillance table records 15 deaths in La-Dadekotopon. Left in place the row would assert a CFR of 0 for a district with the second-highest death toll in the region. Replaced by a new row citing source index 62 at 2327 cases / 15 deaths, which records the 1907 alternative in its processing_notes."
21,AFR::GHA::Greater_Accra::Shai_Osudoku,2014-06-01,2014-12-31,0,315,,0.00,2015-01-31,18,PMC Economic Evaluation 2014 Cholera Outbreak Ghana,0.9,"Source states: 'La-Dadekotopon and Shai-Osudoku documented 1907 and 315 cholera cases respectively' end of 2014 - Shai-Osudoku is low incidence district in Greater Accra - interpreted as 315 sCh. Provincial subset — do not sum with national row for 2014 [AGENT Agent 1 baseline collector REVISION 2026-09-19] CONFLICT: Ohene-Adjei et al. (PMC5637323) Table 3 gives Shai Osu Doku 246 cases for the 2014 Greater Accra outbreak, against the 315 recorded here from PMC5714944. Both recorded; no row changed. The same table also supplies district totals not yet in this dataset - Ledzokuku Krowor 1447, Tema 1103, La Nkwantanang 326, Ga Central 153, Ada East 103, Ashaiman 68, Adentan 49, Ningo Prampram 22, Ada West nil - which Agent 2 should extract. (reason: Agent 1: district cross-check from the Greater Accra 2014 surveillance table)",AI,2026-09-19,"CONFLICT RESOLVED in favour of PMC5637323 (Ohene-Adjei et al., BMC Public Health 2017), source index 62, for the same reasons given on the retraction of row 20. Row 21 recorded Shai-Osudoku 2014 at 315 cases / 0 deaths from the economic-evaluation paper PMC5714944; the Greater Accra regional surveillance line list gives 246 cases and 1 death. The two papers are not in a subset relation - PMC5714944 is higher here (315 vs 246) and lower for La-Dadekotopon (1907 vs 2327) - so they use different case-ascertainment bases, facility registers versus the district surveillance line list, and only the line list reconciles with the regional total of 20 199 / 121 and with the WER statement that Greater Accra carried about 70 percent of the national 2014 caseload. Row 21 also carried a false deaths=0. Replaced by a new row citing source index 62 at 246 cases / 1 death, recording the 315 alternative in its processing_notes."
27,AFR::GHA,2017-01-01,2017-12-31,0,0,,0.0,2018-01-31,22,GHS Ghana Health Service Zero Cholera 2017,0.95,"Multiple sources state: 'no case in 2017' and 'between 2017 and 2023, Ghana did not record a cholera outbreak' - interpreted as zero transmission for 2017. Surveillance system operational: GHS records show active surveillance. Evidence type: Documented_Absence from Ghana Health Service records. Note: GHS RTI data showing 24358 cases for 2017 inconsistent with all other sources and likely year label error - not used [AGENT Agent 1 baseline collector REVISION 2026-09-19] CONFIRMED by WHO primary source: WER annual report 'Cholera, 2017' lists Ghana among the countries that reported 0 cases and deaths in 2017, 'fulfilling the vital public health surveillance service of zero reporting'. Ghana therefore actively submitted a nil return to WHO for 2017; this is a true documented absence, not an inference. Confidence raised to 0.95. This also settles the note already on this row about the anomalous GHS RTI figure of 24 358 cases for 2017 - that figure is not a cholera count. (reason: Agent 1: explicit WHO zero-reporting confirmation located for 2017) [AGENT Agent 2 geographic expansion REVISION 2026-09-19] DOUBLE-COUNTING LABEL added by Agent 2: National total - includes provinces not individually listed. This 2017 national zero overlaps the tail of the 2016-17 Cape Coast outbreak, which has sub-national rows running to 4 and 18 January 2017 (indices 10, 11, 110, 111, 112). The national row is the primary count for 2017 as a whole; do not sum it with those. Note also the tension the overlap exposes: a documented national zero for calendar 2017 sits against 12 Cape Coast cases reported for 1-18 January 2017 (index 11). Flagged for Agent 3, which owns absence rows; no value changed here. (reason: Agent 2: adding the double-counting label the validator requires, and flagging that the 2017 national zero overlaps 12 documented January 2017 Cape Coast cases)",AI,2026-09-19,"Agent 3 audit: replaced by a correctly-cited and correctly-bounded row. Two defects. (1) CITATION: this row cited metadata index 22 'GHS Ghana Health Service Zero Cholera 2017', whose URL is in fact the graphic.com.gh news article 'Nation records zero cholera cases since 2020' - the same URL as metadata index 8, a Level 3 news source - while carrying confidence 0.95, which only the WHO WER can justify. (2) PERIOD: the row asserted zero for the whole of calendar 2017, but PMC 'Protracted cholera outbreak, Central Region' documents 12 cholera cases in Cape Coast Metropolis between 1 and 18 January 2017 (row 11), the tail of the outbreak that began 17 October 2016. Replacement row cites WER Cholera 2017 directly and starts 19 January 2017."
14,AFR::GHA,2022-01-01,2022-12-31,0,0,,0.0,2023-02-28,8,Graphic Online Ghana Zero Cholera Since 2020,0.95,"Source states: 'Ghana recorded zero cholera cases since 2020' as confirmed by February 2023 news report - zero transmission for 2022. Evidence type: Documented_Absence from Ghana Health Service via news report. Cross-validated with WHO weekly data showing zero cases [AGENT Agent 1 baseline collector REVISION 2026-09-19] UPGRADED AND CONFIRMED by WHO primary source: WER annual report 'Cholera, 2022' Table 2, 'Countries reported 0 cholera cases and deaths in 2022, fulfilling the public health surveillance service of zero reporting', lists Ghana among 14 African countries. This is an explicit WHO zero return from Ghana, not merely an absence from a case table, and it is far stronger than the news report originally cited. Confidence raised to 0.95. (reason: Agent 1: explicit WHO zero-reporting confirmation located for 2022)",AI,2026-09-19,"Agent 3 audit: citation repair. The row's zero is correct and WHO-confirmed, but it cited metadata index 8 (graphic.com.gh, 'Nation records zero cholera cases since 2020', Level 3 news) while carrying confidence 0.95 - a weight only the WER can justify, and from a source demonstrably wrong for 2021. Replaced by a row citing WHO WER 'Cholera, 2022' (metadata 55) directly."
15,AFR::GHA,2023-01-01,2023-12-31,0,0,,0.0,2024-01-31,8,Graphic Online Ghana Zero Cholera Since 2020,0.95,"Source states Ghana cholera-free since 2020 - extended to 2023 based on report published February 2023 and no outbreak reported for 2023 with subsequent 2024 outbreak starting October 2024. Evidence type: Documented_Absence based on Ghana Health Service surveillance and no outbreak reports for 2023 [AGENT Agent 1 baseline collector REVISION 2026-09-19] UPGRADED from Inferred_Absence to Documented_Absence: WER annual report 'Cholera, 2023' Table 2, 'Countries reported 0 cases and deaths in 2023, fulfilling the public health surveillance service of zero reporting', lists Ghana among 28 African countries. Ghana actively submitted a zero return to WHO for 2023; the year no longer rests on inference from the absence of outbreak reports. Confidence raised to 0.95. (reason: Agent 1: explicit WHO zero-reporting confirmation located for 2023) [AGENT Agent 2 geographic expansion REVISION 2026-09-19] DOUBLE-COUNTING LABEL added by Agent 2: National total - includes provinces not individually listed. This national zero for calendar 2023 now overlaps a sub-national row, the North Tongu District documented absence for 1-24 October 2023 (index 143). The two agree - both are zeros - so there is no arithmetic conflict; the district row adds the specific and valuable information that the Akosombo and Kpong dam-spillage flood disaster, which displaced about 35,000 people across eight Lower Volta districts, did not seed cholera in the worst-affected district. Do not sum. No value changed. (reason: Agent 2: adding the machine-checkable double-counting label after a 2023 sub-national row was added)",AI,2026-09-19,"Agent 3 audit: citation repair. The zero is correct and WHO-confirmed, but the row cited metadata index 8 (graphic.com.gh, Level 3 news) at confidence 0.95. Replaced by a row citing WHO WER 'Cholera, 2023' (metadata 56) directly."
51,AFR::GHA,2025-07-01,2025-07-27,0,0,,0.0,2025-08-28,40,WHO Multi-country outbreak of cholera - external situation report #29,0.4,"Source confirms zero cholera transmission 2025-07-01..2025-07-27. Source states: 'Ghana§ 2 480 14 7 0.6  [...]  § Countries which did not report cholera cases between 1 and 27 July 2025'. Evidence type: Inferred_Absence. Surveillance system status during absence: operational. Zero incident cases for 1-27 July 2025. Evidence is Inferred_Absence rather than Documented_Absence because the WHO footnote wording ('did not report cholera cases') does not by itself separate zero incidence from non-reporting; the inference is carried by the cumulative, which is unchanged at 2480/14 from situation report #28 (data to 29 June) through #29 (data to 27 July). Surveillance operational: Ghana appears as an actively reporting country in the adjacent situation reports #27 and #30. [AGENT Agent 2 geographic expansion REVISION 2026-09-19] CONTRADICTED BY A DISTRICT-LEVEL SOURCE - CONFIDENCE CUT 0.9 -> 0.4, EVIDENCE CLAIM SHOULD BE REVIEWED BY AGENT 3. This row asserts zero cholera cases nationally for 1-27 July 2025. The Ghana News Agency of 18 July 2025, quoting Emmanuel Kwesi Dawood, Central Regional Director of NADMO, states that the Abura-Asebu-Kwamankese District of Central Region 'has this year recorded 16 suspected cases of cholera mostly in Moree, with five confirmed, early July'. Five laboratory-confirmed cases in early July 2025 cannot coexist with a true national zero for that month. The probable explanation is that WHO's situation report recorded no Ghanaian RETURN for July 2025 rather than a returned zero - the precise failure mode CLAUDE.md warns about, in which absence of reporting is rendered by py/build_weekly_timeseries.py as sCh=0 and becomes a false negative. The new district row (Abura-Asebu-Kwamankese, 16 suspected / 5 confirmed for 2025 to 18 July) records the contrary evidence. This row is NOT retracted by Agent 2 because absence rows are Agent 3's remit and because the district figure is cumulative-for-the-year, so it does not by itself fix how many cases fell inside 1-27 July; but it should not be treated as a documented zero at its former weight. (reason: Agent 2: a named Central Region NADMO director reports five laboratory-confirmed cholera cases in Abura-Asebu-Kwamankese District in early July 2025, contradicting this national documented zero) [AGENT Agent 2 geographic expansion REVISION 2026-09-19] DOUBLE-COUNTING LABEL: National total - includes provinces not individually listed. Do not sum with the overlapping Abura-Asebu-Kwamankese district row (index 136), which is the row that contradicts this zero. (reason: Agent 2: adding the machine-checkable double-counting label the validator requires)",AI,2026-09-19,"Agent 3 adjudication of the contested July 2025 zero: this is NON-REPORTING, not absence, and three independent lines prove it. (1) WHO situation report #29, read directly from the PDF by Agent 3, marks Ghana with the section mark and leaves ALL FOUR last-28-day cells EMPTY - not zero - under the footnote 'Countries which did not report cholera cases between 1 and 27 July 2025'; countries that did report, such as Kenya and Rwanda, carry explicit 0 values in the same columns. (2) WHO AFRO's June 2025 Monthly Regional Cholera Bulletin states in the Ghana section 'The last report from the country was in April with 74 cases, no deaths reported as of 27 April 2025', and the bulletin's country table gives Ghana a last-update date of 27-Apr-25 while every other country shows a June date. Ghana had stopped reporting. (3) WHO itself later backfilled the missing cases: between situation report #29 (cumulative 2 480 to 27 July) and #30 (cumulative 2 554 to 31 August) Ghana's 2025 cumulative rose by 74 while the stated 27 July - 31 August increment was only 15, so about 59 cases were added retrospectively to the period BEFORE 27 July - the very months recorded here as zeros. And cholera was in fact present: the Ghana News Agency of 18 July 2025 quotes Emmanuel Kwesi Dawood, Central Regional Director of NADMO, that Abura-Asebu-Kwamankese District had recorded 16 suspected cases, 'with five confirmed, early July'. Per CLAUDE.md a Surveillance_Gap is not a valid zero: py/build_weekly_timeseries.py would render this row as sCh=0 for four weeks in which cholera was demonstrably circulating. The period is left genuinely empty and recorded in data/GHA/cholera_presence_ai.csv instead."
