country,iso,workflow_status,current_agent,agents_completed,start_time,last_updated,total_sources,total_observations,data_quality_score,completion_percentage,notes
Angola,AGO,COMPLETED,,"cholera-baseline-collector, geographic-expansion-specialist, zero-transmission-validator, obscure-source-explorer, cross-reference-integrator, cholera-quality-auditor",2025-08-04T14:20:52.000000,2025-08-04T16:12:33.817143,38,39,APPROVED,100.0,"COMPLETED: 6-agent workflow for Angola (AGO) - Enhanced coverage from 60.6% to ~75%, 87.5% gap-filling success rate, 39 observations added, 38 sources validated"
Benin,BEN,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Botswana,BWA,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Burkina Faso,BFA,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Burundi,BDI,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Cameroon,CMR,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Central African Republic,CAF,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Chad,TCD,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Congo,COG,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Côte d'Ivoire,CIV,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Democratic Republic of Congo,COD,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Equatorial Guinea,GNQ,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Eritrea,ERI,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Eswatini,SWZ,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Ethiopia,ETH,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Gabon,GAB,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Gambia,GMB,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Ghana,GHA,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Guinea,GIN,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Guinea-Bissau,GNB,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Kenya,KEN,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Liberia,LBR,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Malawi,MWI,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Mali,MLI,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Mauritania,MRT,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Mozambique,MOZ,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Namibia,NAM,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Niger,NER,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Nigeria,NGA,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Rwanda,RWA,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Senegal,SEN,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Sierra Leone,SLE,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Somalia,SOM,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
South Africa,ZAF,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
South Sudan,SSD,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Tanzania,TZA,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Togo,TGO,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Uganda,UGA,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Zambia,ZMB,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
Zimbabwe,ZWE,NOT_STARTED,,,,,0,0,,0.0,No workflow status file found
