Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::SEN,2005-01-01,2005-12-31,458,31719,,1.44,2005-12-31,1,WHO Disease Outbreak News 2005 Senegal,1.0,"Source states: 'In 2005, there were 31,719 cholera cases with 458 deaths in the Republic of Senegal' - interpreted as sCh cases with confirmed deaths"
2,AFR::SEN,2005-01-01,2005-03-23,8,2054,,0.39,2005-03-29,1,WHO Disease Outbreak News 2005 Senegal,1.0,"Source states: 'From January 1-March 23, 2005, the Ministry of Health reported 2,054 cases and 8 deaths' - interpreted as sCh cases early outbreak period"
3,AFR::SEN,2005-06-27,2005-07-03,4,469,,0.85,2005-07-15,4,WHO Disease Outbreak News Update 7,1.0,"Source states: 'From 27 June to 3 July 2005, Ministry of Health reported 469 cases and 4 deaths (case fatality rate 0.9%)' - interpreted as sCh cases weekly period"
4,AFR::SEN,2007-08-03,2007-10-14,11,2144,,0.51,2007-10-15,5,ReliefWeb Senegal Cholera 2007,0.8,"Source states: 'From 3 August 2007 to 14 October 2007, 2,144 cholera cases were registered with 11 deaths, a lethality rate of 0.51%' - interpreted as sCh cases"
5,AFR::SEN,2008-01-01,2008-12-31,,1263,,,2008-12-31,2,PubMed Cholera Senegal 2004-2006,0.9,"Source states: 'Since 2004, Senegal has reported cholera cases every year, with 1,263 cases in 2008' - interpreted as sCh cases annual total"
6,AFR::SEN::Dakar,1995-08-01,1996-12-31,,934,323,,1997-01-01,6,ScienceDirect Dakar Cholera 1995-1996,0.9,"Source states: 'À l'hôpital Fann de Dakar, sur 934 malades vus en consultation...323 cas ont été confirmés par coproculture' - interpreted as 934 sCh and 323 cCh cases"
7,AFR::SEN,2009-01-01,2009-12-31,0,0,0,0.0,2009-12-31,7,PLOS NTD Cholera Dynamics Benin-Mauritania,1.0,"Source states: 'Cholera cases were not recorded in Senegal during 2009' - interpreted as zero-transmission period validated by surveillance"
8,AFR::SEN,2009-01-01,2015-12-31,,13,,,2015-12-31,7,PLOS NTD Cholera Dynamics Benin-Mauritania,0.9,"Source states: 'Since 2009, Senegal has reported only 13 suspected cholera cases' - interpreted as sCh cases total 2009-2015 period"
9,AFR::SEN,2000-01-01,2000-12-31,0,0,0,0.0,2000-12-31,12,WHO IRIS Senegal Zero Transmission,1.0,"Source states: 'The absence of recorded cholera cases in Senegal up to 2004' - interpreted as zero-transmission period 2000 validated by surveillance absence"
10,AFR::SEN,2001-01-01,2001-12-31,0,0,0,0.0,2001-12-31,12,WHO IRIS Senegal Zero Transmission,1.0,"Source states: 'The absence of recorded cholera cases in Senegal up to 2004' - interpreted as zero-transmission period 2001 validated by surveillance absence"
